Herr Präsident, die WTO-Ministerratstagung in Genf war kein Glanzstück!	Mr President, the WTO ministerial conference in Geneva was no pièce de résistance !
Selbst unser Berufsoptimist Sir Leon Brittan konnte nur das Prädikat "relativer Erfolg" verleihen.	Even a born optimist like Sir Leon Brittan could only describe it as "relatively successful' .
Das Presseecho war dann noch eindeutiger.	Its reception in the press was even clearer.
Die Genfer Gegenveranstaltungen brachten es auf den Punkt: Fünfzig Jahre nach Etablierung des GATT-Systems gibt es keinen Grund zum Feiern.	The non-event in Geneva got to the heart of the matter: 50 years after the establishment of the GATT system, there is no reason to celebrate.
Weltweit sind nämlich die Ungleichheiten größer geworden.	Global disparities have worsened.
Die armen Länder sind noch ärmer geworden, die Umwelt steht vielerorts vor dem Kollaps, arbeitsrechtliche Errungenschaften werden demontiert.	The poor countries have become poorer, in many areas the environment is on the brink of collapse, advances in workers' rights are being dismantled.
Statt nun die Liberalisierung weiter auf die Spitze zu treiben, sollte es zuallererst darum gehen, die vergangenen Jahre zu evaluieren.	Instead of continuing to carry liberalization to extremes, it should principally be a question of evaluating the years that have gone by.
Was ist schiefgelaufen, wenn die Entwicklungsländer noch mehr Handelsanteile verlieren?	What has gone wrong when the developing countries are losing even more of their share of trade?
Was ist falsch geregelt, wenn die WTO-Panels regelmäßig gegen die Umwelt und die Menschen entscheiden?	What is wrong when WTO panels routinely rule contrary to the interests of the environment and humans?
Wir brauchen keine Liberalisierung des Handels mit biotechnologisch veränderten Lebensmitteln, sondern einen Mechanismus, der davor schützt!	We do not need trade in genetically modified food to be liberalized; we need some mechanism to protect us from it!
Wir brauchen eine Statutenänderung der WTO!	The WTO is in need of constitutional reform!
Der Handel mit unter schädlichen Bedingungen hergestellten Produkten darf nicht länger per Panel erzwungen werden.	Trading in products manufactured under harmful conditions must no longer be forced through by a panel.
Konkret, Sir Leon Brittan, sind Sie bereit, sich für die Änderung des Artikels 20 des GATT einzusetzen?	In concrete terms, Sir Leon Brittan, are you prepared to press for Article 20 of the GATT to be amended?
Ganz wesentlich ist noch eines: Wir brauchen Transparenz!	There is another matter of great importance: we need transparency.
Good government verlangt die EU heute von Drittweltländern, bevor sie Entwicklungshilfe gibt.	Today, the EU requires good government on the part of third countries before development aid can be granted.
Good government verlangen wir von der WTO.	We are demanding good government of the WTO.
Was ganz wichtig ist - das gilt auch für die griechische Regierung -, good government verlangen wir auch von unseren eigenen Regierungen, bevor wir in eine neue Verhandlungsrunde eintreten!	Very importantly - and also for the Greek government - we demand good government on the part of our own governments before we enter into a new round of negotiations.
