Herr Präsident, meine sehr geehrten Damen und Herren!	Mr President, ladies and gentlemen, time is running out.
Die Zeit drängt. Daher sage ich: Schluss mit den Sonntagsreden, Schluss mit den Schuldzuweisungen und den parteitaktischen Spielchen, egal wo sie betrieben werden!	Therefore, I would like to call for an end to the soapbox speeches, the finger-pointing and the party political game-playing, regardless of where these things are taking place.
Wir haben Nägel mit Köpfen zu machen und haben Schritt für Schritt die Antworten auf die Krise zu geben.	We need to do the job properly and to respond to the crisis on a step-by-step basis.
Was sind die Ursachen der Krisen?	What are the causes of the crisis?
Einige der Ursachen sind - das betonen wir doch laufend -, dass die Regeln nicht eingehalten wurden, dass die Sanktionen blockiert wurden und dass die Währungsunion nicht auf ein zweites Bein gestellt wird.	We have constantly been emphasising the fact that the causes include a failure to comply with the rules, the blocking of sanctions and the lack of progress on taking the monetary union to the next stage.
Wir verlangen mit unserer Economic Governance jetzt, dass der Stabilitäts- und Wachstumspakt präventiv und korrektiv verstärkt wird, dass es bei der Durchsetzung von Sanktionen eine umgekehrte Mehrheit gibt und dass die Kommission ein Durchgriffsrecht hat, wenn es notwendig ist, damit der Bürger darauf vertrauen kann, dass die Regeln eingehalten werden.	With our plans for economic governance, we are now calling for the Stability and Growth Pact to be strengthened, both in terms of preventive and corrective measures, for a majority in favour of the implementation of sanctions and for the Commission to have the right to intervene, when necessary, so that the citizens of Europe can rely on the rules being followed.
Das Zweite ist: Wir wollen, dass die Währungsunion auf ein zweites Bein gestellt wird.	My second point is that we want the monetary union to be taken to the next stage.
Das heißt, dass wir die Wirtschaftsunion schaffen, dass wir die politische Union nicht aus dem Auge verlieren.	This means establishing the economic union and not losing sight of the goal of political union.
Ich muss hier schon auch eines sagen: Ich bin enttäuscht über das Ergebnis des Trilogs.	I have to say that I am disappointed by the results of the trialogue.
Es geht im Moment nicht mehr.	It is not functioning properly at the moment.
Aber dass der Rat im wirtschaftspolitischen Dialog nicht zustimmt, dass das Europäische Parlament und die Sozialpartner Teil dessen sind, ist eine Schwächung der Einigung.	However, the fact that we do not have the Council's agreement in the dialogue on economic policy and that the European Parliament and the two sides of industry are involved in this is reducing our ability to become more integrated.
Wir wollen die Einigung stärken.	We want to increase our levels of integration.
Und dass der Rat nicht dazu imstande ist, die Imbalance, die wir in unserer Gesellschaft haben, anzugehen und dem Parlament die Möglichkeit zu geben, die Minister der Mitgliedstaaten auch uns gegenüber direkt Rechenschaft ablegen zu lassen, ist eine Schwächung des Trilog-Ergebnisses.	Because the Council is not able to address the current imbalance in our society and to give Parliament the opportunity of making the ministers from the Member States directly accountable to us, the results of the trialogue are being weakened.
Wir stehen zum Trilog-Ergebnis.	We stand by these results.
Wir wollen die offenen Fragen klären und eine Einigung herbeiführen.	We want to resolve the open issues and bring about integration.
Wenn wir uns jetzt durch die Schwäche des Rates auch schwächen lassen, haben wir die Lehre aus der Krise nicht gezogen.	If we allow our position to be weakened because of the weakness of the Council, we have not learned any lessons from the crisis.
(Der Redner ist damit einverstanden, eine Frage nach dem Verfahren der "blauen Karte" gemäß Artikel 149 Absatz 8 Geschäftsordnung zu beantworten.)	(The speaker agreed to take a blue-card question under Rule 149(8) of the Rules of Procedure)
