Frau Präsidentin! Vor allen Dingen gilt mein Dank den beiden Berichterstatterinnen.	Madam President, I would like, in particular, to thank the two rapporteurs.
Wie viele Kollegen auch schon gesagt haben, gilt anscheinend die Gleichung "Mehr Geld ist gleich bessere Politik".	As many fellow Members have already said, it would seem that we are using the equation 'more money equals better policies'.
Ich glaube, andersherum wird ein Schuh daraus, d. h., dass bessere Politik mehr Geld rechtfertigt.	However, I believe that precisely the opposite is true, in other words, that better policies justify more money.
Es muss sein, dass die Gelder, die wir bereitstellen, effizient ausgegeben werden.	It needs to be the case that the money we make available is spent in an efficient way.
Das als wesentliches Kriterium zu betrachten und die entsprechende Kontrolle wird auch zum Erfolg führen.	Regarding that as an essential criterion, together with the corresponding controls, will also lead to success.
Es hat keinen Zweck, wenn wir heilige Kühe wie den Agrarhaushalt und die Struktur- und Kohäsionspolitik finanzieren, ohne sie gleichzeitig zu reformieren und zu modernisieren.	There is no point in us financing sacred cows such as the agricultural budget and structural and cohesion policy if we do not, at the same time, reform and modernise them.
Viele Kollegen haben angesprochen, und ich stimme ihnen völlig zu, dass wir die Schwerpunkte im Bereich Forschung und Entwicklung, erneuerbare Energien, Energiesicherheit und Bildungsmobilität setzen müssen.	Many of my fellow Members have said - and I absolutely agree with them - that we need to focus on the areas of research and development, renewable energies, energy security and educational mobility.
Erlauben Sie mir, zum Thema Disziplin auch noch einen Schwenk auf die Einigung in Deauville zu machen, denn Disziplin müssen wir auch von den Mitgliedstaaten erwarten.	With regard to the subject of discipline, allow me to return once again to the agreement reached in Deauville, because discipline is something that we must also expect from the Member States.
Der Nachrichtendienst AFP zitiert einen französischen Vertreter: "Es gibt Ayatollahs in Deutschland, die eine durchweg preußische Strenge in diesen Fragen haben", sagte er mit Blick auf die bisher unnachgiebige Haltung der Bundesregierung.	The news service AFP quoted a French representative: 'There are Ayatollahs in Germany who take a Prussian hard line on such questions', he said, referring to the unyielding position of the German Government.
Ich persönlich bezweifele, dass der französische Vertreter Europas savoir vivre so versteht, dass Geld, das man nicht hat, mit vollen Händen ausgegeben wird und kommende Generationen für heute gemachte Schulden bezahlen müssen.	Personally, I doubt that the French representative of Europe has such a savoir vivre belief that money that we do not have should be given out freely and future generations be made to pay for debts incurred today.
Ich kann mir nicht vorstellen, dass es das ist, was die Mitgliedstaaten möchten, und es wäre auch an der Zeit, das in den entsprechenden Haushaltsverhandlungen über die Disziplin zu zeigen, die wir auch im Mai gefordert und bewiesen haben.	I cannot believe that that is what the Member States want to do, and it is also high time we demonstrated that in the relevant budget negotiations by showing the discipline that we called for and displayed in May.
