Berichterstatter. - Herr Präsident! Die Europäische Union greift zum Mittel des Strafrechts.	rapporteur. - Mr President, the European Union is resorting to the instrument of criminal law.
Es sollen also namens der Europäischen Union künftig auch Strafen ausgesprochen werden, und zwar zunächst wegen Verstößen gegen das Umweltrecht.	In other words, sentences are to be passed in future in the name of the European Union, and these powers are to be exercised initially in respect of infringements of environmental law.
Das ist ein weit reichender und bemerkenswerter Schritt, denn das Strafrecht ist der Europäischen Union eigentlich entzogen.	This is a far-reaching and remarkable step, because criminal law is actually outside the sphere of competence of the European Union.
Es gehört sogar zum Kernbereich der mitgliedstaatlichen nationalen Souveränität.	Indeed, it is one of the core areas of the Member States' national sovereignty.
Deswegen musste der Weg zu dieser Richtlinie auch erst über zwei Entscheidungen des Europäischen Gerichtshofs eröffnet werden.	That is precisely why it took two rulings from the European Court of Justice to break the ground for this directive.
Kurios genug, denn sowohl Rat als auch Kommission und Parlament sind sich seit langem darüber einig, dass Umweltrecht auch mit Hilfe von Strafmaßnahmen umgesetzt werden darf: Es hat einiger Jahre bedurft, ehe geklärt war, wer hier tätig werden darf - die Mitgliedstaaten im Rahmen von Rahmenbeschlüssen oder die Gemeinschaft in Gestalt der Richtlinie.	That is curious in itself, because both the Council and the Commission and Parliament have long been in agreement that penal measures are a valid instrument for the enforcement of environmental law. It took several years, however, to establish where responsibility lay for such measures - with the Member States on the basis of framework decisions or with the Community on the basis of a directive.
Der Europäische Gerichtshof hat sich - was nicht überrascht - der Haltung der Kommission angeschlossen.	The European Court of Justice endorsed the position adopted by the Commission, which is not surprising.
Im Übrigen ist der Streit sicherlich auch für die Zukunft entschärft, da der neue Vertrag von Lissabon diese Problematik aufnimmt und zugunsten der Gemeinschaft noch weitergehender löst, als das durch die Entscheidungen des EuGH schon einmal geschehen ist.	Moreover, having now been defused, the conflict is unlikely to resurface, since the new Treaty of Lisbon addresses the problem and comes down more heavily in favour of the Community than the rulings of the ECJ.
Hier liegt auch der Grund dafür, dass wir ein first reading agreement abgeschlossen haben.	This, indeed, is the reason why we concluded a first-reading agreement.
Wir wollten nämlich vermeiden, dass das Verfahren von neuem beginnen muss, wenn in diesem Jahr keine Lösung zustande kommt.	We wanted to avoid having to restart the whole procedure from scratch if a solution did not materialise this year.
Mit Rücksicht auf geänderte materielle Rechtsgrundlagen und im Hinblick auf die anstehenden Europa-Wahlen hätte zweifellos beträchtliche Zeit vergehen können, bis ein entsprechendes Gesetz hätte geschaffen werden können.	Given a change in the substantive legal basis and in view of the forthcoming European elections, a considerable length of time might no doubt have elapsed before the appropriate legislation could be enacted.
Deswegen waren wir einmütig der Meinung, dass wir alles daransetzen müssen, um eine Lösung in erster Lesung zu erzielen.	This is why we unanimously took the view that we must make every effort to reach a solution at first reading.
Mit "wir" meine ich die slowenische Ratspräsidentschaft - ich bedauere außerordentlich, dass sie hier heute nicht vertreten ist, zumal ich gerade aus diesem Anlass eine dezente Krawatte angelegt habe -, die Kommission und - und das möchte ich besonders hervorheben - die Kolleginnen und Kollegen Schattenberichterstatter, die sehr kollegial und kooperativ waren und sehr sachlich mitgearbeitet haben.	When I say 'we', I mean the Slovenian Presidency - and I very much regret that it is not represented here, especially since I put on a tasteful tie in its honour - the Commission and the shadow rapporteurs, to whom I wish to pay special tribute for their amicable, constructive and informed cooperation.
Die Arbeit war eine reine Freude.	It was a joy to work with them.
Das neue Gesetz enthält drei Säulen, die ich wenigstens kurz zitieren möchte.	The new directive rests on three pillars, which I should like at least to outline briefly.
Erstens haben wir nicht nur tatbestandsmäßige Handlungen definiert, die künftig unter Strafe stehen sollen, sondern auch in einem Anhang festgelegt, welche Vorschriften im Einzelnen als Grundlage für ein strafbares Handeln herangezogen werden können.	First of all, we have not only defined the criminal acts that would henceforth be punishable but also set out in an annex the specific provisions under which offenders may be charged.
Das folgt dem strafrechtlichen Bestimmtheitsgebot.	That accords with the principle of nulla poena sine lege.
Nicht irgendein Umweltverstoß, sondern der Verstoß gegen präzise in einem Anhang festgelegte Gesetze begründet eine mögliche Strafbarkeit.	It is not just any criminal offence which would be punishable but the infringement of one of the legal provisions precisely defined in the annex.
Es war wichtig, dass dies hier verankert worden ist.	It was important to enshrine this principle in the legislation.
Der zweite Punkt ist gewissermaßen die Berücksichtigung des Verhältnismäßigkeitsprinzips.	The second point is, to a certain extent, an incorporation of the proportionality principle.
Die Keule des Strafrechts kann nicht gegen jeden auch noch so lächerlichen Verstoß geschwungen werden, sondern er muss von einigem Gewicht sein.	The purpose of the directive cannot be to throw the book at everyone who commits even the most trivial environmental transgression but rather to combat significant offences.
Deswegen ist Bagatellunrecht aus der Strafbarkeit ausgeschlossen worden.	For this reason, petty offences would not be punishable under the directive.
Drittens haben wir auch festgelegt, dass nur rechtswidriges Verhalten Grundlage für Strafbarkeit sein kann.	Thirdly, we also laid down that punishability would presuppose unlawful conduct.
Diese drei Grundsätze haben wir übereinstimmend in dem Entwurf verankert.	We unanimously enshrined these three principles in the draft.
Ansonsten haben wir auch durchaus die Definitionen verbessert.	We also decidedly improved the definitions.
Ich bin nun sehr gespannt auf die Debatte.	I now keenly await the debate.
Ich bedanke mich nochmals bei allen Kolleginnen und Kollegen, die diesen Kompromiss möglich gemacht haben.	Let me reiterate my thanks to all the Members of the House who have made this compromise possible.
