Herr Präsident, ich habe gleich drei gute Gründe, diesem Bericht Alber voll und ganz zuzustimmen.	Mr President, I have three good reasons for whole-heartedly supporting Mr Alber's report.
Als Hochschullehrer sowohl des Staatsrechts als auch des Europäischen Rechts bin ich sehr erfreut darüber, daß es nunmehr einen seriösen Text für meine Studierenden geben wird, in dem die Feinheiten der sonst ja gar nicht immer so einfachen und vor allem so einfach zu verstehenden Solange-Judikatur des Deutschen Bundesverfassungsgerichts in sehr präziser Form dargestellt sind und vor allem auch in die rechte Perspektive gerückt werden.	As a university lecturer in both constitutional law and European law, I am delighted that a serious text is now available for my students, in which the nuances of the not so simple and not so easy to understand Solange judgement of the German Federal Constitutional Court is set out very precisely and above all in the correct perspective.
Dieser Bericht Alber kann daher für zahlreiche - um nicht zu sagen zahllose - Seminararbeiten und Diplomarbeiten Material und Grundlage liefern, was man von vielen anderen akademischen Schriften in dieser Form ja so nicht sagen kann.	The Alber Report will therefore provide material for numerous, nay countless, seminar papers and dissertations, which cannot be sand of many other academic texts of this type.
Als langjähriger, engagierter Vertreter der Idee Europa begrüße ich es, daß mit diesem Bericht eine klare Absage an die vielen Ja-aber-Europäer gegeben wird.	As one who has long been committed to the idea of Europe, I welcome the fact that this report represents a clear rejection of the many "yes, but' Europeans.
Eine Absage an jene, die verbal immer wieder bei jeder passenden und unpassenden Gelegenheit für mehr Europa eintreten, die sich dann aber immer wieder, wenn es ernst wird, auf ihre nationalen besonderen Interessen und Rechtslagen ausreden wollen; an jene, die beispielsweise nicht nur in Deutschland, sondern etwa auch in meinen Land den Euro wollen, so sagen sie es jedenfalls, aber nur nicht gerade jetzt und nur nicht gerade in dieser Form und nur nicht gerade zu den im Vertrag vorgesehenen Bedingungen; auch an jene, die in vielen Mitgliedstaaten der Union Subsidiarität einmal so und einmal so einsetzen wollen, je nach dem, wie sie es haben wollen oder wie es gerade in die jeweilige Interessenlage paßt.	A rejection of those who always speak out for a greater role for Europe on every appropriate or inappropriate occasion, but who then, when things get serious, fall back on their country's special interests and legal situation; a rejection of those, for example, who not only in Germany but also in my own country say that they want the Euro, but not just yet, and not quite like this, and not quite as laid down in the treaty. It is also a rejection of those who, in many Member States, want one kind of subsidiarity one day and another the next, depending on what they are after or on how it suits their interests at that particular time.
Ihnen wird in diesem Bericht Alber sehr klar gesagt, daß es ein gemeinsames Europa nur dann gibt, wenn die Mitgliedstaaten ihre Souveränität teilen und in Teilen auf die Gemeinschaft übertragen und diesen Souveränitätsverzicht auch in der weiteren Folge respektieren.	The Alber report very clearly tells these people that there can only be a common Europe when Member States share sovereignty and partly transfer it to the Community, and then continue to respect this surrender of sovereignty.
Im Bericht Alber wird allerdings auch gesagt - und auch das halte ich für sehr wichtig -, daß es ein gemeinsames Europa nur geben kann und geben wird, wenn sich dieses Europa mit allen Mitteln auch um einen entsprechenden Grundrechtsschutz kümmert, wie das eben dieser Bericht in aller Form fordert.	Yet the Alber report also says - and I consider this to be very important - that there can only be a common Europe, now and in the future, if this Europe uses all the means at its disposal to protect fundamental rights, exactly as this report formally requests.
Als Hochschullehrer und als engagierter Vertreter der Idee Europa habe ich gute Gründe, zu diesem Bericht Alber ein drittes Mal Ja zu sagen.	As a university lecturer and as one who is committed to the European ideal, I have good grounds for saying 'yes' to this Alber report a third time.
Dieser Bericht, und das wurde schon mehrfach gesagt, schafft Siegbert Alber ein gutes Entree in seine neue wichtige Funktion als Generalanwalt beim Europäischen Gerichtshof.	This report, and this has already been said several times, provides an excellent starting point for Siegbert Alber in his important new post as Advocate-General to the European Court of Justice.
Dort wird Siegbert Alber dann - dessen bin ich mir sicher - dazu beitragen, daß mit und in den Entscheidungen des Europäischen Gerichtshofs Europa nicht nur verwirklicht, sondern auch dem Bürger nahegebracht wird.	In that post Siegbert Alber will, I am quite sure, contribute to ensuring that Europe not only becomes a reality through the decisions of the European Court of Justice, but also that it is brought closer to its citizens.
Dafür wird er mit seiner kenntnisreichen und verbindlichen Form beitragen, und weil ich ihn in der kurzen Zeit, in der ich sein Kollege sein durfte, auch ein wenig kennengelernt und seinen feinen Humor zu schätzen gelernt habe, habe ich die Hoffnung, daß es in Zukunft Entscheidungen des Europäischen Gerichts geben wird, zu denen man nicht nur anerkennend nicken kann, die man nicht nur respektieren und akzeptieren kann, sondern bei denen vielleicht auch ein gelegentliches Schmunzeln erlaubt sein wird.	He will make this contribution in his usual friendly and knowledgeable manner, and because during the short time that I have worked alongside him I have got to know him a little and have come to appreciate his fine sense of humour, I hope that in future the European Court of Justice will make judgements that one cannot just acknowledge with a nod, not only respect and accept, but I also hope that a quiet smile to oneself will sometimes be in order.
