Herr Präsident! Auch ich möchte den Familien mein Beileid aussprechen.	Mr President, I would also like to express my condolences to the families involved.
Aber es wird die Betroffenen - die Familien in Trauer und die Schwerverletzten - wenig trösten, wenn wir hier immer wieder betonen, dass die Eisenbahn noch immer zu den sichersten Verkehrsträgern zählt und dass im Vergleich zum Straßenverkehr die Zahl der Unfälle sehr niedrig ist.	However, it will be of little consolation to those affected - the mourning families and the seriously injured - if we continue to emphasise that the railway is the safest form of transport and that the number of accidents is very low compared with those on the roads.
Natürlich stellt sich gleich die Frage der Umstände.	Of course, the question of the circumstances arises.
Wie konnte es zu dieser Katastrophe kommen?	How could a disaster of this kind occur?
Doch mit dieser Frage müssen sich, wie bereits gesagt, die technischen Experten und später die Gerichte auseinandersetzen.	However, as has already been said, this question must be dealt with by the technical experts and later by the courts.
Für uns muss die Frage lauten: Was ist bei der Erstellung eines gemeinsamen europäischen Eisenbahnmarktes im bisherigen Prozess schiefgelaufen?	The question we have to answer is as follows: what has gone wrong in the process of creating a common European rail market?
Und zweitens: Wie können wir mit allen zur Verfügung stehenden Mitteln weitere Unfälle vermeiden?	And secondly, how can we prevent further accidents using all the means available to us?
Denn jeder Unfall ist einer zu viel.	Every accident is one too many.
Als Eisenbahner habe ich die Entwicklung selbst miterlebt und erlaube mir, auf einige Probleme hinzuweisen, die zum Teil die Sicherheit beeinträchtigen.	As a former railway employee, I have experienced the changes myself. I would like to mention some of the problems which, to a certain extent, have an impact on safety.
Anstatt gleich zu Beginn der neunziger Jahre den Wettbewerb für die Eisenbahnunternehmer einzuführen, hätte vorab eine technische Harmonisierung stattfinden müssen.	At the beginning of the 1990s, instead of introducing competition on the railways, we should first have started a process of technical harmonisation.
All diese Probleme, die Kommissar Kallas angesprochen hat, hätten in den neunziger Jahren bewältigt werden müssen, und der Markt hätte erst auf der Grundlage einer technischen Harmonisierung für den Wettbewerb geöffnet werden dürfen.	We should have overcome all the problems that Mr Kallas mentioned in the 1990s. We should only have opened up the market to competition on the basis of technical harmonisation.
Die Fragmentierung der Unternehmen hat dazu geführt, dass viele Akteure am System Eisenbahn mitwirken - ein System, das eigentlich nur ordnungsgemäß funktioniert, wenn es als einheitliches System betrieben wird.	The fragmentation of the companies has resulted in many players being involved in the rail system and this is a system which only functions properly when it is operated as a single entity.
Deshalb tragen meines Erachtens die Mitgliedstaaten, die Eisenbahnunternehmen, die Infrastrukturbetreiber, aber auch die Kommission, die - wie gesagt - Richtlinien und Verordnungen erlassen hat, ohne zwischenzeitlich eine Evaluierung vorzunehmen, eine gemeinsame Verantwortung an den jüngsten Unfällen.	Therefore, in my opinion, the Member States, the rail companies, the infrastructure operators and also the Commission, which, as has already been said, introduced directives and regulations without carrying out an interim evaluation, share the responsibility for the most recent accidents.
Diese Evaluierung ist erst vor kurzem erfolgt.	The evaluation was only completed a short time ago.
Die Eisenbahnunternehmen haben den Fehler gemacht, die falsche Strategie zu wählen und zu lange auf ein europäisches System zu warten.	The rail companies have made the mistake of choosing the wrong strategy and of waiting too long for a European system.
Sie haben sich laufend um eine Kostenreduzierung bemüht, nicht ausreichend qualifiziertes Personal eingestellt, wie eben angedeutet, aber auch zu wenig investiert.	They have constantly attempted to reduce costs, have employed staff without the necessary level of skills, as already mentioned, and they have also invested too little.
Drei Punkte möchte ich noch hervorheben: Die Geldmittel müssen dringend erhöht werden, um die geplanten Modernisierungen voranzutreiben.	There are three points that I would like to highlight. The funding must be increased immediately in order to speed up the planned modernisation programme.
(Der Präsident entzieht dem Redner das Wort.)	(The President cut off the speaker)
