Herr Präsident! Ich habe diesen Bericht anders gelesen als Kollegin De Keyser, nämlich positiver.	Mr President, my reading of this report differs from Mrs De Keyser's in that it is more positive.
Ich möchte aber eine Bemerkung an Sie, Herr Gomolka, vorwegschicken: Ich glaube, dass man bei der richtigen Darstellung von Ursache und Wirkung vielleicht noch ein bisschen tiefer gehen muss.	However, I would like to preface my remarks with a comment directed at you, Mr Gomolka. I believe we have to go a bit deeper still if we are to show cause and effect as they really are.
Ich habe als wissenschaftlicher Berater auf der Genfer Abrüstungskonferenz erlebt, wie 1985 die USA, die westeuropäischen Hauptmächte und die Sowjetunion geschwiegen haben, als dort der C-Waffen-Einsatz der irakischen Armee gegen den Iran vorgetragen wurde.	When I was a scientific consultant at the Geneva Conference on Disarmament, I saw how, in 1985, the USA, the principal western European powers and the Soviet Union kept quiet when it was reported that the Iraqi army was using chemical weapons against Iran.
Mit einer solchen Politik baut man natürlich auch Diktatoren einschließlich ihres Zugangs zu Massenvernichtungswaffen auf.	Policies like that, of course, build up dictators and facilitate their access to weapons of mass destruction.
Natürlich ist der Bericht nicht konsequent.	The report is, of course, inconsistent.
Es gibt Widersprüche.	There are contradictions in it.
Aber ich hebe drei Dinge hervor: Erstens kritisiert er unmissverständlich die unverantwortliche Politik Saddam Husseins gegenüber seinem eigenen Volk und gegenüber der internationalen Gemeinschaft.	I would, though, highlight three things about it. For a start, it criticises Saddam Hussein's irresponsible policy towards his own people and towards the international community in a way that cannot be misinterpreted.
Er formuliert die notwendigen Forderungen.	It draws up demands that are necessary.
Zweitens - und das habe ich eben anders gelesen - hebt er die für mich entscheidende Frage einer Konfliktlösung hervor, indem er - ich zitiere: 'die Bedeutung einer multilateralen politischen Lösung in der Region unter Schirmherrschaft der UNO betont als einzige Lösung, um Stabilität und Frieden in der Region zu gewährleisten.'	Secondly - and it is this that I read in a quite different light - it raises what for me is the crucial issue of how the conflict is to be resolved, by emphasising, and I quote: 'the importance of achieving a multilateral political solution in the region, under the aegis of the UN, as the only means of guaranteeing stability and peace in the region'.
Es darf nicht zum Krieg kommen.	There must be no war.
Der hätte gerade in dieser Region die bedrohlichsten Folgen, auch für unser gesamtes Verhältnis zur islamischen und arabischen Welt.	In this region of all regions, it would have the most menacing consequences, which would extend to every aspect of our relations with the Islamic and Arab world.
Drittens: Es wird in diesem Bericht zumindest für all jene Fälle, in denen es keine militärische Relevanz hat, gefordert, dass die Wirtschafts- und Handelssanktionen aufgehoben werden.	This report, thirdly, calls for the lifting of economic and trade sanctions, at any rate in all cases without military interest.
Sie sind kontraproduktiv und für die irakische Zivilbevölkerung, vor allen Dingen für die Kinder, katastrophal.	They are counterproductive and have catastrophic effects on Iraq's civilian population, above all for children.
Deswegen, sehr geehrte Frau Berichterstatterin, möchte ich Ihnen für diesen Bericht danken, auch wenn es von dieser Seite des Parlaments komisch klingt, aber ich habe ihn als einen Bericht gelesen, der in wirklich guter Tradition von Liberalität geschrieben wurde.	Hence, Baroness Nicholson, our esteemed rapporteur, I would like to thank you for this report; even though it might sound strange coming from this side of the chamber, I did find it a report written in the truly fine tradition of liberality.
