Der Herr Abgeordnete hat völlig recht.	The honourable Member is absolutely right.
Das ist eigentlich logisch. Ideal wären weltweit geltende Normen.	What you say is indeed logical, and ideally standards would be applicable internationally.
In vielen Bereichen haben wir schon einen globalen Markt; Sie haben zu Recht die Telekommunikation angesprochen.	In many sectors, we already have a global market, and you rightly mention telecommunications.
Deswegen bemühen wir uns gemeinsam mit den europäischen Normungsorganisationen, diese Normen immer auch zu weltweit geltenden Normen zu machen.	Together with the European standardization organizations, therefore, we are attempting to ensure that these standards apply worldwide.
Dafür gibt es praktisch zwei Wege: Einmal die Mitarbeit in den bereits bestehenden internationalen Normungsorganisationen.	In practice, there are two ways of doing this: the first is to participate in the work of the international standardization bodies which already exist.
Wir sind hier aktiver als jeder andere. So werden etwa fast 80 % der Arbeiten für solche internationalen Normen, übrigens auch der finanziellen Mittel, die dafür notwendig sind, von der Europäischen Union erbracht.	Here we are more active than anyone else: for example, almost 80 % of the work leading to such international standards - and, incidentally, of the financial resources too - is provided by the European Union.
Diese enorme Zahl habe ich selbst zunächst nicht für möglich gehalten, aber wir haben einmal in einer Sitzung mit unseren amerikanischen Freunden, die sich immer darüber beklagt haben, daß wir unsere europäischen Normen als eine Art Protektion verwenden wollen, geprüft, wer wie aktiv ist in den internationalen Normungsorganisationen.	I myself would not have thought this massive percentage possible, but at a meeting with our American friends, who have always accused us of seeking to use our European standards as a form of protectionism, we looked into who does what in the international standardization bodies.
Die Europäer tragen den Hauptteil dieser Arbeit.	The Europeans carry out the bulk of this work.
Zweitens gibt es eine sehr wirkungsvolle Methode, nämlich wenn sich eine Norm faktisch auf dem Markt durchgesetzt hat.	Secondly, there is a method which is very effective once a standard has already made an impact on the market.
Das beste Beispiel dafür ist GSM, die technische Norm für den Mobilfunk.	The best example of this is GSM, the technical standard for mobile communications.
Wenn eine solche Norm sich faktisch in einem Markt durchgesetzt hat, dann überträgt sich das auch auf den globalen Markt, und wir hoffen, daß viele der Normen, die wir in diesem neuen Bereich der Telekommunikation erarbeiten, sich auch global durchsetzen werden.	Once such a standard has made its impact on the market, this impact spreads to the global market, and we hope that many of the standards which we are drawing up in this new sector - telecommunications - will have a global impact.
