. – Herr Präsident!	.
Vielleicht eine Bemerkung vorweg: Was sich Teile der Docker gestern hier in Straßburg geleistet haben, geht weit über das erträgliche Maß hinaus, das in der Politik zulässig ist.	Mr President, perhaps I might say, before I say anything else, that the behaviour indulged in by some of the dockers yesterday here in Strasbourg goes far beyond what is tolerable or permissible in political life.
Protest und Demonstration Ja, aber Gewalt und Randale Nein - das können wir nicht zulassen, und das müssen wir verurteilen!	By all means protest and demonstrate, but violence and vandalism are out – they cannot be allowed and must be denounced.
Nun zur Sache selbst.	Let me now turn to the matter in hand.
Wir haben uns ja in der Vergangenheit über saubere Meere und saubere Häfen unterhalten und dafür gekämpft.	In the past, we talked about clean waters and clean ports and campaigned for them.
Wir haben dazu Gesetze auf den Weg gebracht, z. B. die Richtlinie vom November 2000 über die .	We enacted legislation on the subject, one example being the November 2000 directive on port waste facilities.
Wenn das irgendwo hingehört, dann in die , in die Müllentsorgungsanlagen der Häfen; da ist es richtig aufgehoben.	If the port package belongs anywhere, that is where it belongs, in amongst the port’s waste; that is the right place for it.
Weil das so ist, werden Sozialdemokraten und viele andere diese Richtlinie über morgen ablehnen.	That being so, Social Democrats and many others will, tomorrow, reject this ‘port package II’ directive.
Warum?	Why is this so?
Das ist ganz einfach.	The answer is quite simple.
Der Kommissionsentwurf geht schlicht und ergreifend an der Realität der meisten Häfen Europas vorbei. Die Kommission will in unzumutbarer Weise in funktionierende, ökonomisch erfolgreiche Strukturen eingreifen und mit riesigem und teurem bürokratischem Aufwand Wettbewerb exekutieren, den es in den allermeisten Häfen ja gibt.	The Commission’s draft takes no account whatever of the realities of life in most of Europe’s ports; its intention of interfering in functioning, economically successful structures and using an enormous and expensive bureaucracy to impose on ports a competition that already exists in almost all of them, is intolerable.
Schließlich – und das ist das Wichtigste – geht es auch um eine Menge qualifizierter Arbeitsplätze, um Familien, um berufliche Existenzen, die dabei auf dem Spiel stehen und gefährdet sind.	At the end of the day, the most important thing is that what is at stake is a lot of skilled jobs; families and livelihoods are at risk, and that is what this is all about.
Ich habe bislang noch keinen einzigen Grund gehört, warum es richtig wäre, diese Arbeitsplätze aufs Spiel zu setzen und den sozialen Frieden in europäischen Häfen ohne Not zu gefährden.	I have not, so far, heard a single reason to justify putting these jobs at risk and needlessly jeopardising social harmony in Europe’s ports.
Es gibt keinen Grund dafür.	There is no reason to do so.
Die Grundfreiheiten, die immer wieder angeführt werden, sind in den Häfen angeblich nicht gewährleistet.	We are told that the fundamental freedoms – which are constantly invoked – are not guaranteed in ports.
Es mag ja einige solcher Häfen in Europa geben; in den meisten Häfen existiert knallharter Wettbewerb.	There may be a few ports like that in Europe, but unremitting competition is a fact of life in most of them.
Natürlich ist in den meisten Häfen der Platz der Hafenanbieter begrenzt, und es kommt nicht immer jeder Anbieter sofort zum Zuge, aber dieser Anbieter wird deshalb noch lange nicht diskriminiert.	It is only natural that there is limited space in most ports for those who want to provide port services, and by no means will every one of them get their chance at once, but that is far from saying that any one of them is discriminated against.
Ich will ein Beispiel nennen. Nehmen wir eine Fußgängerzone in bester City-Lage. Auch da ist der Platz begrenzt.	Let me give, as an example, a pedestrian area in the smartest part of a city.
Auch da kommt nicht jeder Anbieter mit seinem Dienst zum Zuge. Aber will die Kommission etwa künftig ein Ausschreibungsverfahren vorschreiben, weil ein deutscher Frisör auf den Ramblas in Barcelona nicht sofort einen Laden mieten kann?	Not everyone gets the chance to practise his profession there either, but does the Commission want to do something like stipulate a tendering process in future, simply because a German hairdresser is unable to rent a salon on the Ramblas in Barcelona just when he chooses to?
Das geht doch nicht!	That is simply not on.
Es geht um den maritimen Standort in Europa. Es geht auch darum, wie wir Europäer uns den anderen Kontinenten gegenüber aufstellen.	This is not just about Europe as a location for maritime business but also about how we Europeans measure up against the other continents.
Wenn wir unser europäisches Sozialmodell behalten wollen, darf man die europäischen Häfen nicht den asiatischen Unternehmen auf dem Silbertablett servieren. Nebenbei gesagt sind unsere Häfen in Europa heute schon viel effizienter als die asiatischen.	If we want to maintain our European social model, we cannot go presenting Asian businesses with European ports on a silver platter – and, by the way, our European ports are in any case much more efficient than Asian ones these days.
Herr Kommissar, Sie haben dieses dubiose Paket von Ihrer Vorgängerin de Palacio geerbt.	You, Commissioner, inherited this questionable package from your predecessor, Mrs de Palacio.
Wir wissen, dass Sie kein Erbschleicher sind. Schlagen Sie dieses Erbe aus!	Knowing that you are not the sort to go hunting for legacies, we suggest that you rid yourself of this one – we will help you do it.
Wir helfen Ihnen dabei. Wir wollen einen Vorschlag von Ihnen, der im Kern wirklich europäisch gesehen werden muss.	The sort of proposal we want from you is one that cannot, in essence, be seen as anything other than European.
Wir brauchen eine europäische Hafenpolitik mit einem fairen Wettbewerb zwischen den Häfen. Wir brauchen eine vernünftige Hinterlandpolitik, und wir müssen europäische Häfen gegenüber dem Rest der Welt vernünftig aufstellen.	What is needed is a European policy on ports, and fair competition between them, along with a proper policy on the ports’ hinterlands. We have to get European ports to compete properly with the rest of the world.
Für eine solche Politik, Herr Kommissar, haben Sie unsere Unterstützung, und dabei wollen wir gern eng mit Ihnen zusammenarbeiten.	If that is the sort of policy you want, Commissioner, then we are right behind you and will gladly work together with you in producing one.
