Herr Präsident, seit November haben massive Veränderungen in Weißrußland stattgefunden.	Mr President, since November there have been huge changes in Belarus.
Mein letzter Besuch im März hat mich eine Veränderung erkennen lassen, die ich vorher bei anderen Besuchen nie erlebt habe.	My last visit in March opened my eyes to a change that had never been apparent during my previous visits.
Wie mit diesem Vertrag umgegangen wird, wie wenig die Öffentlichkeit einbezogen wird, ist typisch dafür.	The way in which this treaty is being handled and the lack of public consultation are manifestations of this change.
Die Wirklichkeit im Land sieht so aus, daß Parlamentarier verurteilt werden, daß sie Gefängnisstrafen bekommen, daß sie zu Geldstrafen verurteilt werden, obwohl sie nach wie vor Immunität genießen.	The reality in that country is that parliamentarians are being convicted, imprisoned and fined, although on paper they continue to enjoy immunity.
Deswegen, denke ich, sollten wir es nicht versäumen, diese Parlamentarier einzuladen.	That is why I believe we must not miss the opportunity to invite these parliamentarians here.
Die Antwort von Herrn Lukaschenko ist sehr plakativ, denn während er diese Antwort schrieb, kam es zu diesen Verhaftungen.	Mr Lukashenko's reply to us is very telling, for while he was writing his reply, these arrests were taking place.
Die freie Presse hat überhaupt keine Chance mehr.	The free press is in a no-win situation.
Nun wurde damit gedroht, daß die Zeitungen - die letzten freien Stimmen im Land - eingestellt werden sollen.	The latest threat is that the newspapers - the only free voices left in the country - are to be closed down.
Deshalb ist es notwendig, die Maßnahmen im TACISDemokratieprogramm, die noch möglich sind, auch wirklich sehr schnell umzusetzen und allen Teilen der Bevölkerung den Zugang dazu zu gewähren.	That is why it is essential that those measures in the TACIS democratization programme which are still possible should be implemented very quickly indeed and that access to them should be granted to all sections of the population.
Am schwierigsten ist es derzeit, die Tschernobyl-Hilfe für die geschädigten Kinder weiter durchzuführen, und ich bekomme eine Menge Anrufe und Klagen, daß die NGO sehr große Probleme haben, die humanitäre Hilfe frei und ohne ständige staatliche Einmischung an die Betroffenen weiterzuleiten.	The most difficult thing at the present time is to continue dispensing aid to the children who are victims of Chernobyl, and I receive numerous phone calls and complaints about the severe problems faced by the NGOs in trying to pass on humanitarian aid to the victims freely and without constant state interference.
Ich bitte deshalb die Fraktionen, einen diesbezüglichen mündlichen Änderungsantrag von uns zu akzeptieren.	I therefore ask the other groups to accept our oral amendment on this subject.
Erschütternd und Zeichen für die stalinistische Entwicklung in diesem Land ist auch die Gründung der staatlichen Jugendorganisation, die faschistoide Züge trägt.	What is particularly disturbing and symptomatic of the development of Stalinism in this country is the creation of state youth organizations with some of the trappings of fascism.
Es ist wichtig, einen Dialog zu führen, aber einen Dialog, der in erster Linie fordert, daß die Grundvoraussetzungen dafür geschaffen werden.	It is important to conduct a dialogue, but the prerequisite of dialogue is the creation of conditions in which it can take place.
Ferner ist wichtig, daß ein OSZEBeauftragter unterstützt wird, der einen runden Tisch initiiert, an dem der Dialog mit den demokratischen Kräften wieder gefördert wird. Denn es ist auch nötig, daß diese demokratischen Kräfte die ihnen zukommende Anerkennung von unserer Seite bekommen und daß sie nicht zum Freiwild von diktatorischem Handeln werden.	Another important point is that support should be given to the OSCE envoy who is initiating round-table talks in order to promote the restoration of dialogue with the forces of democracy, for it is also essential that these democrats be given due recognition from our side and that they do not become fair game for dictatorial actions.
