im Namen der Verts/ALE-Fraktion. - Herr Kommissar! Herzlichen Dank für Ihre Ausführungen.	on behalf of the Verts/ALE Group. - Commissioner, thank you very much for your remarks.
Es war recht spannend zu hören, was Sie uns über den Verlauf und den Zeitplan geschildert haben.	It was quite thrilling to hear what you told us about the process and the timetable.
Die Frage, was im Juni auf dem Tisch liegen wird, ist nicht nur zentral für den Alpenraum.	The issue that will be on the table in June is crucial, and not only for the Alpine region.
Ich glaube, dass ist Ihnen als Mann in den Bergen - Sie haben sich ja selber so bezeichnet - offensichtlich bekannt und wichtig.	I believe that you - a man of the mountains, as you have described yourself - are patently aware of this and that it is important to you.
Es ist für alle Straßen, für alle Länder und für alle Anrainer wichtig, die einen hohen Anteil von Schwerverkehr auf ihren Verkehrswegen und vor allem auf ihren Straßen haben.	It has major implications for all roads as well as for all countries whose transport routes, and especially roads, carry high volumes of traffic and for all who live near these busy arteries.
Die enormen Kosten dieser Verkehrsströme sind für die Mitgliedstaaten, die besonders betroffen sind, eine enorm große Last.	The huge costs generated by such heavy traffic place an enormous burden on the countries most affected by it.
Diese Last wird durch die externen Kosten - und das sagen sehr viele Studien, die derzeit schon bekannt sind - mehr als verdoppelt.	This burden is more than doubled, according to numerous studies that have already appeared, by external costs.
Das muss berücksichtigt werden, und es ist notwendig, dass es viel stärker ins Handeln der Kommission aufgenommen wird.	That point must be taken into consideration, and its importance needs to be far more clearly reflected in the actions of the Commission.
Wir werden aber nicht zufrieden sein können, Herr Kommissar, mit einer philosophisch-mathematischen Betrachtung zum Thema Anrechnung der externen Kosten.	We shall not be content, however, Commissioner, with a philosophical and mathematical treatment of the issue of assessing external costs.
Wir brauchen eine Umsetzung. Wir brauchen sie aber nicht erst in zwanzig Jahren, wenn der letzte Lobbyist überzeugt ist.	We need implementation, but we cannot wait for twenty years until the last lobbyist has been convinced.
Wir werden auch nicht warten können, bis man auch für das Fahrrad noch berechnet hat, wie umweltschädlich es ist, sondern wir werden letzten Endes sofort handeln müssen.	Nor shall we be able to wait until the environmental pollution from bicycles has been calculated too. The bottom line is that we shall have to act immediately.
Wir brauchen einen Vorschlag für eine Regelung noch im Jahr 2008, wir brauchen die Diskussion darüber, und wir müssen diese Auseinandersetzung jetzt führen und nicht erst in 20 Jahren, wenn der Letzte noch überzeugt werden muss von Staaten, die oft von dem Problem nicht so betroffen sind, wie es die zentralen Staaten in der Europäischen Union sind.	We need a proposal for a regulatory instrument in the course of 2008, we need to discuss it, and we need to conduct this debate now, not in twenty years' time because we have had to wait until everyone has been convinced by governments of countries which are, in many cases, far less seriously affected by the problem than those in the central part of the European Union.
Herr Kommissar, die Berge brauchen Ihr Handeln.	Commissioner, the mountains need you to act.
Die sensiblen Gebiete wie die Städte und andere Schutzzonen brauchen eine schriftliche Verordnung, die klar sagt, was angerechnet werden kann.	Sensitive places such as cities and other protected areas need a written regulation that clearly states what is reckonable.
Die Mitgliedstaaten können diese Last nicht mehr alleine tragen und sie sollen auch die Umweltschäden nicht mehr lange allein tragen müssen.	The Member States can no longer bear the burden of environmental pollution alone, and they should not be required to do so for much longer.
