Herr Präsident, meine lieben Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, you have heard the news.
Sie haben die Nachricht gehört: Der Ausschuss für Haushaltskontrolle schlägt für alle Institutionen die Entlastung für den Haushalt 2001 vor, ausgenommen den Ausschuss der Regionen, der seine Hausaufgaben bis zum Herbst noch erledigen muss, das heißt, er muss die Widersprüche bei Reise- und Tagegeldabrechnungen und weitere Punkte ausräumen und einer umfassenden Rechnungsprüfung unterziehen.	The Committee on Budgetary Control proposes discharge for the 2001 Budget in respect of all institutions except the Committee on the Regions, which still has until the autumn to finish its homework, that is, it must clear up the contradictions in travel and subsistence payments and other points and undergo a comprehensive audit.
Gleichermaßen wird vorgeschlagen, für fünf Agenturen, die Zuschüsse aus dem EU-Haushalt erhalten, die Entlastungen zu verschieben, bis deren Gründungsakte der neuen Haushaltsordnung angepasst sind.	It is also proposed postponing discharge for five agencies that receive money from the EU Budget until their constituent acts are brought into line with the new Financial Regulation.
Doch lassen Sie mich zunächst allen Berichterstattern Dank sagen für ihre gewissenhafte und verantwortungsvolle Arbeit, gleichzeitig auch den Ausschussmitgliedern für ihre konstruktive Zusammenarbeit und insbesondere dem Ausschusssekretariat für die hervorragende Unterstützung.	Let me begin, however, by thanking all the rapporteurs for their conscientious and responsible work and the members of the committees for their constructive cooperation and in particular the committee secretariat for its excellent support.
Mit dem Entlastungsverfahren für 2001 haben wir Neuland betreten, denn es sind Regeln in Kraft getreten, die nicht immer klar sind und die zu Schwierigkeiten führen können.	We have broken new ground with the discharge procedure for 2001 because rules have come into force that are not always clear and may lead to difficulties.
Die erste Frage betrifft die Abstimmung während der April-Tagung.	The first question concerns the vote during the April meeting.
Der Ausschuss für Haushaltskontrolle hat zwei Möglichkeiten: erstens den Vorschlag, die Entlastung zu gewähren, oder zweitens den Vorschlag, die Entlastung zu verschieben.	The Committee on Budgetary Control has two options: first, to propose the discharge be granted or, second, to propose the discharge be postponed.
Würde im zweiten Fall das Plenum den Vorschlag verwerfen, so würde die Entlastung als gewährt gelten.	If, in the second case, the plenary were to reject the proposal, discharge would be considered granted.
Dies ist ein implizites Votum, das dem Gewicht der Entlastung aus meiner Sicht in keiner Weise gerecht wird.	That is an implicit vote of approval, which in my opinion does no justice to the weight of the discharge.
Was bliebe dann noch von einer ursprünglich stringenten Entscheidung übrig, die einem solchen indirekten Entlastungsbeschluss anzupassen wäre und damit verwässert würde?	What would then remain of an original stringent decision that would have to be watered down by being adjusted to such an indirect discharge decision?
Ist der Rechnungsabschluss in dem Fall noch korrekt, jetzt, wo wir im Gegensatz zu früher für jeden Entlastungsbericht einen Rechnungsabschluss geben müssen, was zu hinterfragen ist?	Are the accounts in that case still correct, now that, in contrast with the former case, we have to provide accounts for every discharge report, something which seems questionable?
Immerhin müssen die gesamten Entlastungen im Amtsblatt veröffentlicht werden.	All the discharges must nevertheless be published in the Official Journal.
Gestern Abend hat sich der Ausschuss für Haushaltskontrolle einer weiteren Neuregelung unterzogen.	Yesterday evening the Committee on Budgetary Control had to comply with another new rule.
