Herr Präsident, werte Kommissarin! Was ist die Steigerung von lächerlich?	Mr President, Commissioner, what is the comparative of ridiculous?
Eine Parlamentsdebatte zur Geisterstunde, kurz vor der Geisterstunde.	A parliamentary debate at the witching hour, just before the witching hour.
Ich bitte um Entschuldigung, dass ich mich verspätet habe, so wie andere Kollegen auch, aber das hat schon eine besondere Bewandtnis.	I apologise for being late, as were other fellow Members, but I do have an explanation.
Wir sehen uns um und wir denken, kaum einer ist da, und die wenigen, die da sind, die vorher da waren und gesprochen haben, gehen dann auch ganz schnell, so wie Gespenster, die kurz irgendwo auftauchen und wieder verschwinden.	We look around and think, hardly anyone is here and the few that are here, who were here before and have already spoken, evaporate like ghosts which materialise somewhere else shortly afterwards and then disappear again.
Ginge es nur um eine Geisterdebatte, so wäre das nicht weiter schlimm.	If this were merely a ghost debate, it would not much matter.
Aber es geht um Steuergeld, um Transparenz, um die Demokratie, um die Substanz von moderner Wirtschaft und Mobilität.	But we are taking about taxes, transparency, democracy, the substance of a modern economy and mobility.
Zum Glück haben wir einen Harry Potter unter uns, und das ist heute Abend Rolf Linkohr, der sich ein bisschen darum kümmert, dass wir auch im Bereich dieser Fragen ein Stück vorankommen, und der ein wachsames, unbeirrbares Auge hat für eine Grundlage, die ganz vielen unter uns überhaupt nicht mehr bewusst ist, eine Grundlage für unsere gegenwärtige Gesellschaft.	Luckily we have a Harry Potter among us, played tonight by Rolf Linkohr, who is doing his best to ensure that we make some sort of progress here and who has a watchful, unwavering eye for fundamental principles of which many of us are simply no longer aware, fundamental principles for our present society.
Wenn man sieht, dass nur noch 11 Abgeordnete da sind, so ist das selbstentlarvend für die Kraft und auch die Ohnmacht dieses Parlaments.	The fact that only 11 Members are still here says much about both the strength and the powerlessness of this Parliament.
Trotzdem ist die Debatte eine zentrale; denn womit haben wir es zu tun? Mit drei Problemen, glaube ich.	Nonetheless, the debate is a central debate, when you think what the problems are, and there are three problems, I think.
Erstens haben wir es weiterhin mit der Demokratie, mit der sozialen Gerechtigkeit und der Ökologie in Europa zu tun.	First, there is the problem of democracy, social justice and ecology in Europe.
Selbst wenn es uns gelingt, im Bereich der Demokratie die Durchbrüche zu erzielen, die wir brauchen, und im sozialen Gefüge die Verteilungsgerechtigkeit aufrecht zu erhalten, die es tendenziell gab, bleibt uns am Schluss noch die große ökologische Frage.	Even if we manage to achieve the breakthroughs which we need in the area of democracy and maintain the tendency towards an equitable mix in the social fabric, the huge ecological question still remains.
Damit beschäftigt sich dieser Bericht.	And this is the subject of this report.
Ein Punkt in diesem Bericht, glaube ich, fordert unsere Aufmerksamkeit, denn es ist ein wirklich wichtiger, nämlich der Änderungsantrag 6, der - wenn er im Plenum durchkäme, und das hoffe ich sehr - die Wende bringen würde von einem allgemeinen Vorschlagen gegenüber dem Rat hin zu einer klaren Forderung, dass wir endlich mit der Steuerharmonisierung vorankommen.	One point in this report demands our attention because it is, I think, a really important point. I refer to Amendment No 6 which, if it gets through plenary - and I hope it does - will change a general proposal to the Council into a clear demand to push ahead, at long last, with tax harmonisation.
Die Steuerharmonisierung, gerade auch im Bereich der Energie, ist eine absolute Grundlage dafür, dass die Bürger verstehen, dass wir nicht nur sozial, sondern auch demokratisch zusammengewachsen sind.	Tax harmonisation, especially in the energy sector, is an absolute priority if our citizens are to understand that we have converged not just socially but democratically too.
Diese Ungleichgewichte müssen aufhören, dass z.B. ein Lkw-Unternehmer aus meiner Heimat Österreich ganz andere Wettbewerbsbedingungen vorfindet als ein anderer ein paar Kilometer weiter in Deutschland oder in Frankreich.	We must put a stop to imbalances whereby a truck driver from Austria, for example, is exposed to totally different conditions of competition than another driver a few kilometres down the road in Germany or France.
Da ist die Kommission gefordert, da ist vor allen Dingen der Rat gefordert.	This is where we call on the Commission and, more importantly, the Council, to do something.
Ich hoffe, dass wir auch über dieses Vehikel des Energieberichtes ein Stückchen in diesem Bereich vorankommen.	I hope that we will make some headway here via this energy report.
Ohne Transparenz ist eine Demokratie nicht möglich, auch nicht in Europa.	Without transparency there can be no democracy, not even in Europe.
Deswegen trete ich sehr massiv dafür ein, dass wir nicht nur den Bericht annehmen, sondern auch im Bereich der Steuerharmonisierung vorankommen.	That is why I am ardently in favour not just of accepting the report but also of pushing ahead with tax harmonisation.
