. – Herr Präsident!	.
Im Namen der EVP-ED-Fraktion danke ich allen, die uns darin unterstützen, eine Aussprache über ein Land zu führen, dessen Bürger mehr denn je unsere Verbundenheit brauchen; auch Ihnen, Herr Kommissar Kallas. Heute vor 46 Jahren schlugen chinesische Truppen in Lhasa den friedlichen Protest der Tibeter gegen die gewaltsame Besetzung ihres Heimatlandes nieder.	Mr President, speaking on behalf of the Group of the European People’s Party (Christian Democrats) and European Democrats, I wish to thank all those – including you, Commissioner Kallas – who have supported our request for a debate on a country whose citizens need us alongside them more than ever.
Tausende wurden verhaftet. Bis heute sind über eine Million durch Hunger, Folter und Exekution ums Leben gekommen, und mehr als drei Viertel ihrer Kultstätten und Klöster wurden systematisch zerstört.	Forty-six years ago today, in Lhasa, Chinese troops crushed the Tibetans’ peaceful protests against the armed occupation of their country, killing 87 000 of them, and arresting thousands of others.
Der 10. März ist ein Tag der Trauer. Er ist aber auch ein Tag des Widerstandes gegen verordnetes Schweigen, gegen die Verletzung der Menschenrechte, gegen die Unterdrückung der kulturellen, religiösen und humanen Identität.	To date, over a million Tibetans have died as a result of hunger, torture and execution, and over three-quarters of their shrines, temples and monasteries have been systematically destroyed.
Weltweit werden heute tibetische Flaggen gehisst. Jährlich beteiligen sich 2 000 Städte und Gemeinden in der Europäischen Union daran, mehr als 650 allein in meinem Heimatland Deutschland.	While 10 March is a day of mourning, it is also a day of resistance to enforced silence, to the violation of human rights, to the suppression of cultural, religious and human identity.
Übermorgen werden wir in Berlin mit Tausenden von Menschenrechtlern zusammen sein, darunter immer mehr Jugendliche und politisch Verantwortliche. Wir werden vor dem Brandenburger Tor zusammenkommen, um der Opfer zu gedenken.	Today, as every year, Tibetan flags are being hoisted all around the world, in 2 000 cities and municipalities in the European Union, over 650 of them in Germany – my own country – alone.
Das Europäische Parlament hat wesentliche Beschlüsse gefasst, die den Tibetern Mut machen. Dazu zählt der ausgezeichnete Romeva-Bericht über Waffenausfuhren.	The day after tomorrow, in Berlin, we will be joining thousands of campaigners for human rights, including an increasing number of young people and political office-holders, remembering the victims before the Brandenburg Gate.
In ihm wird der Rat aufgefordert, das Embargo gegen den Waffenhandel mit China aufrechtzuerhalten. Dieser Appell ist in unserer gemeinsamen Entschließung zur Menschenrechtskonvention in Genf bestätigt worden.	This House has adopted significant resolutions that have given the Tibetans courage, among them the outstanding Romeva Report on arms exports, in which the Council was urged to maintain the embargo on the sale of armaments to China – an appeal backed up by our joint resolution on the Geneva Human Rights Convention.
Übermorgen tritt in Peking der chinesische Volkskongress mit 3 000 Delegierten zusammen.	The day after tomorrow, the 3 000 delegates to the Chinese People’s Congress will be assembling in Beijing.
Es wird ein Antiabspaltungsgesetz verabschiedet werden, das einen möglichen Militärschlag gegen Taiwan rechtfertigen soll.	They will be adopting an anti-secession law, intended to back up a possible military strike against Taiwan.
Eine derartige Konfrontation auch nur indirekt zu unterstützen, ist ein fataler nicht wieder gutzumachender Fehler. Immer wieder haben wir, Herr Kommissar, darauf hingewiesen und die unbedingte Fortsetzung des Dialoges zwischen Vertretern des Dalai Lama mit den chinesischen Behörden gefordert.	To endorse such a confrontation, even if only indirectly, is a fatal and irreparable error, as we, Commissioner, have pointed out time and time again, calling at the same time for the continuation of dialogue between representatives of the Dalai Lama and the Chinese authorities.
Es reicht nicht aus, kurz vor wichtigen Staatsbesuchen anzukündigen, dass Gespräche stattfinden, die dann immer wieder ohne konkrete Ergebnisse bleiben.	It is not enough to announce, immediately before important state visits, that talks are in progress, only for them, again and again, to prove fruitless.
In seiner Botschaft zum Jahrestag des Volksaufstandes erklärt seine Heiligkeit, der Dalai Lama, seine Entschlossenheit, eine Lösung zu finden, die sowohl die chinesischen Interessen berücksichtigt als auch dem tibetischen Volk ein Leben in Frieden, Freiheit und Würde ermöglicht.	In his message on the occasion of the anniversary of the popular uprising, His Holiness the Dalai Lama declares his determination to find a solution that both takes account of Chinese interests and enables the Tibetan people to live in peace, freedom and dignity.
Die interfraktionelle Tibet-Intergruppe unseres Parlaments wird sich weiter dafür einsetzen, dass Menschenrechtler, NGOs, Kolleginnen und Kollegen aus anderen nationalen Parlamenten immer wieder bei uns im Europäischen Parlament zu Wort kommen.	Our Parliament’s Tibet Intergroup, composed of representatives from all the political families, will continue to campaign for human rights campaigners, NGOs, members of other national parliaments to be heard in this House again and again.
Für unsere Solidarität mit dem berechtigten Anliegen des tibetischen Volkes ist kein Tag besser geeignet als der heutige 10. März.	In terms of our solidarity with the Tibetan people and their justified claims, there is no more appropriate day than today, 10 March.
Zeigen wir unseren in Städten, Gemeinden und Parlamenten gemeinsam Flagge. Tashi delek – glückliches Gedeihen.	And so, to those of us who join in showing our colours in cities, towns and parliaments, ‘Tashi delek’ – good fortune.
