Herr Präsident!	Thank you, Mr President.
Ich begrüße ausdrücklich, daß der Rat als erstes eine gemeinsame Strategie mit Rußland veabschieden will.	I very much welcome the fact that the Council firstly wants to adopt a common strategy with Russia.
Nach dem Amsterdamer Vertrag erfordert eine gemeinsame Strategie die Konsultation des Europäischen Parlaments.	According to the Treaty of Amsterdam a common strategy requires the consultation of the European Parliament.
Angesichts des Zeitplanes des Parlaments ist eine derartige Konsultation nach Meinung des Rates nicht möglich, wenn die gemeinsame Strategie vom Juni-Gipfel beschlossen werden soll, da der endgültige Entwurf des Dokuments erst am 17. Mai vorliegen soll.	In view of Parliament's schedule the Council feels that consultation is not possible if the common strategy is to be decided at the June summit, as the final draft of the document will not be available until 17 May.
Insofern ist es besonders wichtig, dem Rat klarzumachen, daß das Verfahren eines Berichtes mit Empfehlungen an den Rat zu einer gemeinsamen Strategie eine Ausnahmelösung darstellt, die den besonderen Umständen in einem Wahljahr geschuldet ist.	It is therefore particularly important that we make it clear to the Council that the procedure of a report with recommendations to the Council on a common strategy is a one-off solution because of the elections.
Bei jeder zukünftigen gemeinsamen Strategie wird das Parlament auf einer Konsultation durch den Rat bestehen.	In all future common strategies Parliament will insist on being consulted by the Council.
Lassen Sie mich noch auf einige inhaltliche Fragen eingehen, obwohl es schwierig ist, Empfehlungen zu geben zu einem Text, der nicht vorliegt.	I should like to look at a few issues of substance, although it is difficult to make recommendations about a text that we do not have before us.
Ich möchte eines besonders hervorheben: Ich möchte dem Bestreben des Berichterstatters widersprechen, die gemeinsame Strategie für unsere Beziehungen mit Rußland, die zu diesem Zeitpunkt von überaus großer Bedeutung ist, hinauszuschieben, weil diese Strategie weit über die bilateralen Beziehungen zu diesem Land hinausgeht.	I would like to emphasise one point in particular: I would oppose the rapporteur's endeavours to postpone the common strategy on our relations with Russia, which is of the utmost importance at this present juncture, as the strategy goes far beyond bilateral relations with this country.
Die Mitgliedstaaten wie auch die Kommission haben eindeutig unterstrichen, daß jegliche Verzögerung bei der Annahme der Strategie zu Mißinterpretationen auf der russischen Seite führen könnte, und ich denke, daß es in unser aller Interesse ist, daß es in der derzeitigen komplizierten internationalen Lage nicht zur Verstärkung von Spannungen zwischen der Europäischen Union und Rußland kommt.	Both the Member States and the Commission have stated clearly that any delay in adopting the strategy could be misinterpreted by the Russians, and I believe that it is in all our interests to avoid any increase in tension between the European Union and Russia in the current complicated international situation.
Die Bemühungen Rußlands um eine Lösung des Konflikts auf dem Balkan unterstreichen nur einmal mehr die Bedeutung dieses Landes für die europäische Sicherheitsarchitektur, und ich unterstütze damit ausdrücklich den Ratspräsidenten in seinem Wunsch, diese Strategie so schnell wie möglich zu verabschieden.	Russia's efforts to solve the conflict in the Balkans serve only to further underline the importance of this country for Europe's security structure, and I very much support the President-in-Office's desire to adopt this strategy as quickly as possible.
Die bisherige Politik der Europäischen Union gegenüber der Russischen Föderation ist nicht immer beispielhaft gewesen, aber ich möchte meiner Hoffnung Ausdruck verleihen, daß eine Kombination einer allumfassenden Strategie und der neuen TACIS-Verordnung, die im Jahr 2000 in Kraft treten soll, zu einer deutlichen Verbesserung der Entscheidungsfindung und Umsetzung in der Europäischen Union in bezug auf die Rußlandpolitik führen wird.	The European Union's policy towards the Russian Federation has not always been exemplary to date, but I would hope that the combination of a comprehensive strategy and the new TACIS regulation that is due to enter into force in the year 2000 will lead to a significant improvement in decision-making and implementation in the European Union's policy on Russia.
