Herr Präsident! Zunächst möchte ich Sie bitten, folgende Korrektur zur Kenntnis zu nehmen.	Mr President, I would like, first of all, to ask you to take note of the following correction.
Ich wollte eigentlich für den Änderungsantrag 8 zu Artikel 16 stimmen und nicht dagegen, weil ich selbstverständlich auch dafür bin, dass die Lebenshaltungskosten unterschiedlich gewichtet werden.	I actually wanted to vote in favour of Amendment No 8 to Article 16, rather than against it, as I am of course in favour of differential weighting of living expenses.
Jetzt zu meiner eigentlichen Stimmerklärung. Ich war bislang immer für ein Statut der Abgeordneten, habe aber aus folgenden Gründen gegen den Bericht Rothley gestimmt: Ich kann nicht verstehen, warum es uns heute nicht gelungen ist, endlich für Transparenz und die Berücksichtigung der tatsächlichen Kosten bei den Reisekosten zu sorgen.	Now, by way of an actual explanation of how I voted, let me say that I have always been in favour of a Statute for Members of the European Parliament, but the reasons why I voted against the Rothley Report were as follows: I cannot understand why, today, we have not managed to make the actual costs of travel transparent and take them into account.
Bislang musste das Statut immer als Deckmantel dafür herhalten, dass es eine solche Regelung nicht gab.	Before now, the Statute always had to serve as a pretext for such a rule not existing.
Nun wollen wir ein Statut, sprechen uns aber gegen Transparenz und die Berücksichtigung der realen Kosten aus.	Now, we want a Statute, but we are rejecting transparency and the accounting for the real costs.
Das finde ich unehrlich, das kann man den Bürgern und Bürgerinnen nicht erklären, die selbstverständlich für ihre Dienstreisen auch nur die tatsächlichen Kosten abrechnen können.	I find that dishonest; we cannot explain it to the public, who, when they travel on business, can of course claim only the actual costs.
Ich finde es auch nicht richtig, dass wir das Rentenalter nicht deutlich erhöht haben.	Nor do I think it right that we have not substantially raised the pensionable age.
(Beifall) Wir haben gerade in der Bundesrepublik eine Debatte über die Erhöhung des Rentenalters für die Bürgerinnen und die Bürger, und ich halte es für selbstverständlich, dass dies auch für uns gilt.	(Applause) In Germany, we have just had a debate on increasing the retirement age for people at large, and I think the same should obviously apply to us.
Ansonsten bin ich auch dafür, dass wir genauso besteuert werden, wie unsere Wählerinnen und Wähler, dass hier nicht der Eindruck erweckt wird, hier würden Sonderrechte für Abgeordnete geschaffen.	Apart from that, I am also in favour of us paying the same taxes as those who elected us, so as not to give the impression that we are establishing special rights for Members of this House.
Daher musste ich leider entgegen meinem ursprünglichen Willen gegen das Statut stimmen.	That is why I had to go against my original intention and vote against the Statute.
Ich denke das Parlament?	I think that Parliament?
(Der Präsident entzieht der Abgeordneten das Wort.)	(The President cut off the speaker)
