Herr Präsident! Ich möchte mich hauptsächlich auf den Bericht unseres Kollegen Cunha beziehen.	Mr President, I would like to speak principally on the report by Mr Cunha.
Zu den anderen Berichten will ich nur die Frage der Roggenintervention herausgreifen, die nach den Kommissionsvorschlägen ersatzlos gestrichen werden soll.	As regards the other reports, I want to mention only the question of intervention in rye, which the Commission proposes should be done away with and not replaced.
Ich unterstütze deshalb den Vorschlag zur Intervention, wie wir sie im Ausschuss mit dem Bericht Souchet beschlossen haben.	I therefore support the proposal on intervention in the form in which we modified it in the Souchet report in the Committee.
Für definierte Standorte, die aufgrund der naturräumlichen Gegebenheiten nur in begrenztem Umfang betriebswirtschaftliche Alternativen zulassen, muss es auch in Zukunft Ausgleichsmöglichkeiten geben.	There must continue in future to be the possibility of compensation for certain specified sites, the natural characteristics of which allow only a limited number of economic alternatives.
Doch nun zum Bericht Cunha, den ich voll unterstütze.	Let me turn, though, to the Cunha report, which I wholeheartedly endorse.
Wesentliche Elemente, die wir als Sozialdemokraten immer wieder gefordert haben, wie die obligatorische Modulation und die obligatorische cross compliance oder Elemente im Bereich des Tierschutzes sind in dem Bericht verankert.	It incorporates elements that we social democrats have repeatedly called for, such as the requirement for both modulation and cross-compliance, as well as aspects related to the protection of animals.
Die dem Artikel 1 vorangestellte Präambel gibt dabei unsere Schwerpunkte als Parlament wieder: Sicherung der Einkommen der Landwirte bei gleichzeitiger Förderung von Umweltschutz und Beschäftigung im ländlichen Raum.	The preamble inserted before Article 1 reflects this House's priorities: a secure income for farmers along with support for environmental protection and employment in rural areas.
Wichtig ist mir dabei, dass das Europäische Parlament den Einstieg in die Entkoppelung der Beihilfen von der Produktion deutlich befürwortet. In der im Ausschuss abgestimmten Fassung bleibt dieses Bekenntnis aber sehr schwach und unpräzise.	What I see as important in this is that Parliament is strongly advocating that a start be made on decoupling aid from production; in the text voted on by the Committee, though, this affirmation is still very muted and vague.
Ich bin der Meinung, dass wir hier eine Formulierung wählen müssen, die unsere Forderungen deutlicher macht.	This, in my view, is where we have to choose a form of words that clarifies what we are calling for.
Die SPE-Fraktion hat daher Änderungsanträge eingereicht, die den Einstieg der Entkoppelung im Jahre 2005 bei 50 % ansetzt und darüber hinaus nach der Vorlage eines Kommissionsberichts 2007 eine schrittweise Erhöhung dieses Prozentsatzes und die Ausweitung der Entkoppelung auf weitere Sektoren vorsieht.	It is for this reason that the Group of the Party of European Socialists has tabled amendments providing for decoupling to start, in 2005, at 50% and, following the presentation of a report from the Commission in 2007, for it to rise progressively and be extended to other sectors.
Das ist besonders wichtig, da wir uns im Rahmen der Kompromissanträge auf eine teilweise Entkoppelung von nur zwei Sektoren geeinigt haben.	This is especially important, as, in the compromise motions, we have agreed on the partial decoupling of only two sectors.
Neben diesem sicherlich begrüßenswerten Einstieg in die Entkoppelung sollten wir aber die weiteren Perspektiven nicht aus den Augen verlieren.	Much as we should, certainly, welcome this introduction of decoupling, we should not lose sight of the longer-term perspective.
Ich hoffe daher, dass die Anträge 126 und 127 der SPE-Fraktion unterstützt werden, da wir mit diesen Anträgen als Parlament eine deutlichere Botschaft an die Adresse des Rates schicken würden.	So I hope that the Group of the Party of European Socialists' Amendments Nos 126 and 127 will be endorsed, as these amendments will enable Parliament to send the Council a more emphatic message.
Lassen Sie mich zum Schluss noch einen weiteren wichtigen Punkt ansprechen: die nachwachsenden Rohstoffe.	Let me conclude by addressing yet another important aspect, that of renewable raw materials.
Hier gibt es erhebliche Potenziale, die den Landwirten in vielen Regionen sinnvolle Anbaualternativen bieten und gleichzeitig positive Effekte auf die Umwelt haben.	These offer farmers in many regions great potential for viable alternative crops while, at the same time, having a positive effect on the environment.
Ich begrüße ausdrücklich, dass der Anbau von nachwachsenden Rohstoffen auf Stilllegungsflächen durch unsere Änderung im Gegensatz zum Vorschlag der Kommission auch weiterhin ermöglicht werden könnte.	The possibility that our amendment - in contrast to the Commission proposal - will continue to enable set aside areas to be used for cultivating renewable raw materials is one that I very much welcome.
