Frau Präsidentin, Herr Kommissar, Herr Ratspräsident! Für uns ist die Agenda ein Paket.	Madam President, Commissioner, Mr President-in-Office, for us the Agenda is a package.
Ich sage bewußt zu Beginn, am Ende werden die Ergebnisse zählen und nicht allein die Einhaltung des Zeitplans.	At the outset, I will say quite deliberately that in the end, it is the results which will count and not only whether we keep to the timetable.
Für mich sind die Kommissionsvorschläge im Agrarbereich zu weitgehend.	For me, the Commission's proposals on agriculture go too far.
Ich denke, die Abstimmungen im Ausschuß für Landwirtschaft und ländliche Entwicklung haben deutlich gemacht, daß es für die Kommissionsvorschläge, so wie sie heute sind, in diesem Hause keine Mehrheit geben wird.	I think that the votes in the Committee on Agriculture and Rural Development have made it clear that there will be no majority in this House in favour of the Commission proposals, as they currently stand.
Schauen wir doch nach Amerika, dann stellen wir fest, daß die farm bill zwei Jahre nach ihrem Inkrafttreten bereits in Teilen erneut diskutiert wird.	After all, if we look at America, we find that two years after the farm bill came into force, discussions on parts of it have already been reopened.
Machen wir doch nicht den strategischen Fehler, auch Teile der Verhandlungsmasse, die wir für die kommende WTO-Runde benötigen, heute schon sozusagen wegverhandeln zu wollen.	Let us not make the strategic mistake of already wanting, as it were, to negotiate away some of the negotiating points which we need for the forthcoming WTO round.
Ich sage sehr deutlich, Herr Kommissar Fischler, wer so handelt, hat noch nie mit Vieh gehandelt.	I tell you quite clearly, Commissioner Fischler, that anyone who works in this way has never worked with cattle.
Herr Ratspräsident, sagen wir vielleicht gemeinsam der deutschen und der europäischen Öffentlichkeit: Wir haben überhaupt keine Probleme - verbunden mit den notwendigen Anpassungen auf beiden Seiten -, die Agrarwirtschaft der Beitrittskandidaten zum Jahre 2004 voll zu integrieren, wenn gleichzeitig auch die Grundfreiheiten des Binnenmarktes - Freizügigkeit für Menschen, Kapital, Dienstleistungen und Waren - realisiert sind, damit es auch in diesem Hause endlich mal eine faire Debatte über andere Schwierigkeiten und Stolpersteine im Vergleich zur Agrarpolitik gibt.	Mr President-in-Office, perhaps we should issue a joint statement to the German and European public, saying: we do not have any problem, in terms of both sides making the necessary adjustments, with fully integrating the agricultural economies of the applicant countries by 2004, provided that the basic freedoms of the internal market - free movement of people, capital, services and goods - are established at the same time. There could then at long last be a fair debate in this House about the other difficulties and stumbling-blocks connected with the agricultural policy.
Ich möchte zur Finanzierung sagen, daß natürlich im Rahmen der Agenda die Frage der Beitragsgerechtigkeit und eines ausgewogenen, ausbalancierten Haushalts auf der Einnahmen- und Ausgabenseite zur Diskussion steht.	On the financial side, I should like to say that obviously the issue of fair contributions and a balanced budget in terms of both income and expenditure forms part of the Agenda debate.
Auch die Frage der Kofinanzierung gehört in dieses Verhandlungspaket hinein.	The question of cofinancing also belongs in this negotiating package.
Das Parlament wird sich dazu ja endgültig im Februar äußern.	As you know, Parliament will be giving its definitive opinion on this in February.
Ich muß natürlich auch gestehen, Herr Ratspräsident, daß bei den deutschen Bauern die Frage der Kofinanzierung deswegen so kontrovers und strittig diskutiert wird, weil sie im Hinblick auf die Umsetzung der flankierenden Maßnahmen und der zögerlichen Konfinanzierung einiger Bundesländer erhebliche Probleme auf sich zukommen sehen könnten, wenn man diesem Ansatz folgen würde.	I must of course also confess, Mr President-in-Office, that the reason why the question of cofinancing is so controversial with German farmers and the subject of such contentious debate is that they might see themselves being faced with considerable problems - in view of the transposition of the accompanying measures and the reluctance of several Länder to cofinance them - if we were to choose this approach.
Sie wissen, daß auch Niedersachsen nicht gerade auf der Hitliste der Umsetzung der flankierenden Maßnahmen in Deutschland gestanden hat.	As you know, even Lower Saxony was not exactly at the top of the list for transposing the accompanying measures in Germany.
Nun hat ja jeder seine Gutachter.	These days, of course, everyone has their experts.
Herr Kommissar Fischler, ich möchte sehr deutlich sagen, daß die jüngst von der Kommission zu Hilfe genommenen Gutachter, die Sie ja ausdrücklich benannt haben als Zeugen für die Vorschläge der Kommission, Gutachten erstellt haben, die modelltheoretisch auf sehr waghalsigen Grundlagen basieren.	Commissioner Fischler, I should like to say very clearly that the experts recently drafted in by the Commission, whom you specifically referred to as testifying for the Commission proposals, produced reports which are based on very foolhardy theories.
Denn wenn gesagt wird, durch die Preissenkung profitieren die Verbraucher, die Tarifpartner werden diese Preissenkung berücksichtigen, und es gibt dann einen entsprechenden Effekt auf die Preise, dann hätten die Schweinefleischpreise in den letzten Monaten erheblich niedriger sein müssen.	This is because if you are going to say that price reductions will benefit consumers, that unions and employers will take account of these price reductions and that this will affect prices accordingly, then the price of pigmeat in recent months ought to have been substantially lower.
Wenn wir uns in dieser Ratspräsidentschaft über Beschäftigungspolitik streiten und unterhalten, sollten wir auch nicht vergessen, daß diese Gutachter von einem erheblichen Rückgang der Zahl der in der Landwirtschaft Beschäftigten ausgehen, wenn diese Vorschläge so durchgehen.	When, during this presidency, we are debating and arguing about employment policy, we should not forget that these experts are assuming that there will be a substantial decline in the number of those employed in agriculture, if these proposals go through as they stand.
Auch deswegen sind sie grundlegend zu ändern.	That is another reason why they need to be fundamentally amended.
