Herr Präsident! Ich möchte einen Antrag zur Tagesordnung stellen.	Mr President, I have a motion in relation to the agenda.
Ich beantrage im Namen der Sozialdemokratischen Fraktion, dass die Kommission in dieser Sitzungswoche eine Erklärung bezüglich ihrer Haltung zum Europäischen Sozialmodell abgibt, und wir beantragen, dass diese Erklärung von Kommissar McCreevy und Kommissionspräsident Barroso gemeinsam abgegeben wird.	On behalf of the Socialist Group in the European Parliament, I move that the Commission should, in the course of this part-session, make a statement on its position in relation to the European social model, and we move that this statement be delivered jointly by Commissioner McCreevy and Mr Barroso, the Commission’s President.
Ich möchte das begründen: Wenn unsere Informationen richtig sind, hat Kommissar McCreevy in Schweden seine Vorstellungen vom Europäischen Sozialmodell zum Besten gegeben. Konkret hat er gesagt, dass das skandinavische Modell des europäischen Sozialstaats nicht das ist, was die Kommission für kompatibel mit dem europäischen Binnenmarkt hält.	By way of justification for this, let me say that, unless we have been misinformed, Commissioner McCreevy, in Sweden, gave the world the benefit of his views on the European Social Model, stating that the Scandinavian model of the European welfare state is not one that the Commission regards as compatible with the European internal market.
Wenn das die Meinung der Kommission ist, dann stößt dies auf den energischen Widerstand der Sozialdemokratischen Fraktion.	If that is what the Commission thinks, then they can reckon with determined resistance from the Socialist Group in the European Parliament.
Ich höre gerade, es stößt auch auf den Widerstand anderer Fraktionen, z. B. der Grünen, und das freut uns sehr.	I now gather that they can count on resistance from other groups, the Greens among them, and we are very glad to hear it.
Gerade das skandinavische Modell ist, wenn es um die Gestaltung des sozialen Europa geht, eine der Grundlagen, an denen wir Europäer uns orientieren können. Es ist also absolut inakzeptabel, dass der Präsident der Kommission in jeder Sitzung hier behauptet, er sei ein Verteidiger des Europäischen Sozialmodells, jedoch anschließend zulässt, dass seine Kommissare durch die Landschaft laufen und das Gegenteil behaupten.	When it comes to fashioning a social Europe, the Scandinavian model is one of the fundamentals on which we Europeans can rely, and so it is quite utterly unacceptable that the President of the Commission should assert to this House in every one of its sittings that he defends the European Social Model and then goes on to allow his Commissioners to go about saying the very opposite.
Das geht nicht!	That is not on!
Deshalb beantragt unsere Fraktion, dass die Kommission diese Erklärung abgibt.	Our group therefore asks that the Commission should make this statement.
Es sind nur noch wenige Tage bis zum Gipfel, der sich mit dem Europäischen Sozialmodell befassen soll.	The summit at which the European Social Model is to be considered is now only a few days away.
Wenn dies das Sozialmodell des Herrn McCreevy sein soll, dann sage ich Ihnen im Namen der Sozialdemokratischen Fraktion, dass sich die Kommission warm anziehen muss, denn dann kommt es zu einem Kampf um die Richtung dieser Europäischen Union, und das wird nicht die Richtung von Herrn McCreevy sein, davon können Sie ausgehen!	If it is to turn out to be the social model favoured by Commissioner McCreevy, then I can tell you on behalf of the Socialist Group in this House that the Commission had better prepare for stormy weather, for there will then be a fight about the direction that this European Union of ours is to take, and you can take it from me that it will not be going Mr McCreevy’s way!
Wir verlangen, dass die Kommission hier schnell und klar Position bezieht!	We demand that the Commission should not delay in clearly stating where it stands on this.
