Herr Brok, Sie haben jetzt das Wort für zweieinhalb Minuten.	Mr Brok, you now have the floor for two-and-a-half minutes.
Sie meinten, es seien drei, aber wenn ich Ihnen zweieinhalb gebe, werden es ohnehin immer mindestens drei!	You thought it would be three, but if I give you two-and-a-half, it will be at least three anyway.
Brok (PPE-DE).	Brok (PPE-DE).
Herr Präsident, ich bedanke mich für das Signal!	Mr President, thank you for the warning.
Ich glaube, wir müssen erkennen, dass wir einen breit angelegten Diskussionsprozess vor uns haben, in dem deutlich werden wird, dass der intergouvernementale Ansatz unter Führung des Rates angesichts von 27 Mitgliedsländern nicht funktionsfähig ist und dass von daher durch die exekutive Führung der Kommission und die gleichberechtigte Gesetzgebung des Parlaments der klassische Monnet-Ansatz der einzige sein wird, der Handlungsfähigkeit innerhalb der Europäischen Union wird herstellen können.	We must, I think, acknowledge that we have a broadly-structured discussion process before us, during which it will become apparent that the intergovernmental approach under the leadership of the Council will be unworkable with 27 Member States and that the executive leadership of the Commission, with Parliament as equal co-legislator, i.e. the classic Monnet approach, will therefore be the only way of ensuring that we are able to act within the European Union.
Aber, Frau Ratspräsidentin, Ihr Hinweis darauf, dass man gespannt sei auf die Vorschläge des Europäischen Parlaments, macht mich schon misstrauisch. Denn das Europäische Parlament hat hier nicht Vorschläge zu machen, sondern, wenn ich das Papier von Nizza richtig lese, sollen Rat, Parlament und Kommission die gesamte Debatte gemeinsam gestalten.	However, Madam President-in-Office, your comment that you were looking forward to the contribution of the European Parliament has already aroused my suspicions, because the European Parliament has no contribution to make here; according to my reading of the Nice paper, the Council, Parliament and Commission are supposed to shape the overall debate together.
Das heißt, wir sind nicht Lieferanten für Sie, sondern gemeinsame Veranstalter dieses breiten europäischen Dialoges.	In other words, we are not your sub-contractors, we are joint project managers of this broad, European dialogue.
Das scheint mir in der Vorbereitung bisher in keiner Weise gewährleistet zu sein, was für mich schon ein wenig verräterisch zu sein scheint.	As far as I can see, there is as yet no guarantee of this whatsoever in the preparations, which I find somewhat telling.
Wir müssen meines Erachtens drei Stufen sehen: Die breite öffentliche Debatte, die von den drei Institutionen geführt wird - und zwar gemeinsam - und die im Laufe dieses und des nächsten Jahres durchzuführen ist, aber auch den gesamten Prozess bis zum Ende begleiten muss.	In my opinion, there are three stages: the broad, public debate led - and I mean led jointly - by the three institutions, which must be held over the course of this and next year, but which must also accompany the overall process through to the end.
Dann die inhaltliche Vorbereitungsphase, die meines Erachtens logisch daraus folgend im Rahmen eines Konvents oder wie immer man es bezeichnen will durchgeführt werden muss, wobei, Frau Ratspräsidentin, für Laken und für uns nicht nur wichtig ist, dass der Konvent eingerichtet ist, sondern auch klar sein muss, welchen Status das Ergebnis dieses Konvents hat, damit er nicht eines unter vielen Papieren, sondern das Papier produziert, das die Verhandlungsgrundlage für die entscheidende Runde der Regierungschefs sein wird.	Then comes the preparation of the subject matter which, in my view, should follow on logically within the framework of a convention or whatever else you want to call it, whereby it is important for Laeken and for us, Madam President-in-Office, not only for the convention to be set up but for there to be no doubt as to the status of its outcome, by which I mean that it will not produce one of many papers but the paper which will be the basis for negotiation for the decisive round of Heads of Government.
Ich möchte Sie darauf hinweisen, dass, da Ungarn und die Tschechische Republik die Erweiterungsverträge ja gerade schon wegen der fehlenden Stimmen im Europäischen Parlament für diese Länder bereits dazu nutzen werden, auch institutionelle Fragen zu behandeln, die Herstellung besserer Entscheidungsfähigkeiten im Rat auch bereits in diesen Erweiterungsverhandlungen zum Tragen kommen sollte und deswegen die Erweiterungsverhandlungen auch Bestandteil des Post-Nizza-Prozesses sind.	I should like to point out that, as Hungary and the Czech Republic will be using the enlargement agreements to deal with institutional matters, precisely because they have no voice in the European Parliament, the question of improved decision-making procedures in the Council should be taken into consideration during enlargement negotiations, meaning that enlargement negotiations also form part of the post-Nice process.
Ich möchte gleichzeitig auch noch darauf zurückkommen, wie der Zeitplan ablaufen sollte.	At the same time, I should like to pick up on the question of the timetable.
Ich habe wie eine Reihe von Kollegen Sorgen, das im Jahr 2004 mitten im Europa-Wahlkampf abzuschließen.	I, like many of my fellow members, are worried about wrapping this up in 2004 in the middle of the European election campaign.
Ich meine, dass es aus diesem Grunde gut wäre, dieses Jahr und das nächste Jahr für den breiten öffentlichen Prozess zu nutzen, aber bereits in der zweiten Hälfte des nächsten Jahres mit dem Konvent zu beginnen, um das gesamte Jahr 2003 für die Verhandlungen zur Verfügung zu haben und sie Ende 2003 oder spätestens Anfang 2004 abzuschließen, damit das Ergebnis Bestandteil der Erörterung des Europa-Wahlkampfes werden kann.	I think it would therefore be a good idea if we used this year and next year for the broad public process and started on the convention in the second half of next year, so that we have the whole of 2003 for negotiations and can wrap things up at the end of 2003 or by the beginning of 2004 at the latest so that the outcome can be discussed during the European election campaign.
Ich meine, damit könnten wir auch ein öffentliches Plebiszit für die Ergebnisse zu Wege bringen und den Dialog gewissermaßen durch die Bekundung des Willens der Bürger dieser Europäischen Union abschließen.	This would allow us to initiate a public plebiscite on the outcome and to seal the dialogue, as it were, with the expression of the will of the people of this European Union.
(Beifall)	(Applause)
