Herr Präsident! Zuerst möchte ich Frau Rothe zu dem Bericht beglückwünschen.	Mr President, first I want to congratulate Mrs Rothe on her report.
Das ist ein außerordentlich guter und detaillierter Bericht, der uns weiterbringt.	It is an extremely good and detailed report and it is a step forward.
Ich will an dieser Stelle zur Ehrenrettung der Europäischen Union, die ja während dieser Debatte zu Recht häufig kritisiert wurde, sagen, daß wir in den letzten Jahren doch eine ganze Reihe von Projekten finanzieren konnten, weil wir die Mittel für erneuerbare Energien erhöht haben, und zwar vor allem, weil das Europäische Parlament dies im Haushaltsverfahren durchgesetzt hat.	Let me say at this point, to rescue the reputation of the European Union which has often been criticized during this debate, that in recent years we were able to finance a whole range of projects because we increased the appropriations for renewable energy sources, thanks mainly to the European Parliament's efforts during the budgetary procedure.
Das muß man hier mal ganz deutlich sagen.	This has to be said quite plainly here.
Es ist nicht alles so schlecht, wie es draußen manchmal dargestellt wird.	Things are not all quite as bad as people outside sometimes describe them.
Wenn die Mitgliedstaaten ihrer Pflicht nachkämen, in gleicher Weise Mittel bereitzustellen, dann wären wir ein erhebliches Stück weiter.	If the Member States fulfilled their obligations and made corresponding resources available, we could make considerable progress.
Trotzdem müssen weitere europaweite Initiativen folgen, und Frau Rothe hat dies in ihrem Bericht sehr gut dargestellt.	Nevertheless, further Europe-wide initiatives are necessary, and Mrs Rothe put this very well in her report.
Ich hoffe, wir werden dem auch zustimmen.	I hope we will endorse it.
Zum Beispiel wünsche ich mir, daß unsere großen Programme wie das Mittelmeerprogramm oder die Unterstützung für Ost- und Mitteleuropa, für die frühere Sowjetunion, für Asien, für Afrika, für Lateinamerika, daß diese Mittel verstärkt für erneuerbare Energien genutzt werden.	For instance, I hope that the funding for our major programmes, such as the Mediterranean programme, or the support for Eastern and Central Europe, for the former Soviet Union, for Asia, Africa and Latin America, will be concentrated more on renewable energy sources.
Das sagt sich leicht, aber die Umsetzung ist sehr viel schwerer.	That is easy to say, but far more difficult to put into practice.
Zum Beispiel wurden im Regionalfonds eine ganze Reihe von Mitteln, und zwar in der Größenordnung von vielen Millionen ECU, nicht ausgeschöpft, weil die Komplementärmittel fehlten, weil die entsprechenden Mitgliedstaaten weder die öffentlichen noch die privaten Mittel aufbrachten.	For instance, a large number of appropriations, accounting for many millions of ECU, were not fully utilized in the Regional Fund because the complementary resources were not available, which is because the Member States in question did not produce either the public or the private resources.
Ich erwarte aber in der Zukunft eine Vereinfachung des Zugangs und der Zahlungs- und Abrechnungsmodalitäten, wie es übrigens in Ziffer 8 von Frau Rothes Bericht angesprochen wurde.	For the future I expect a simplification of the access and payment and clearing procedures, as also called for in paragraph 8 of Mrs Rothe's report.
Es ist leider so, daß viele kleine und mittlere Unternehmen oder Institute, die sich mit erneuerbaren Energien beschäftigen, einen geringen finanziellen Vorteil haben, wenn sie an EU-Projekten teilnehmen.	It is unfortunately the case that many small and medium-sized undertakings and institutes derive little financial benefit from taking part in EU projects.
Weil allein schon die Vorbereitung, das Ausfüllen der Dokumente, die Vorbereitung der Projekte so kostenintensiv ist, daß ihr finanzieller Gewinn nachher sehr gering ist.	The preparations alone, the filling in of forms, the preparation of the projects, are so cost-intensive that in the end the financial profits are very small.
Das muß man verändern.	That has to be changed.
Zum Abschluß möchte ich sagen, es gibt gerade bei den erneuerbaren Energien noch viele Überraschungen, etwa bei der Dünnschicht-Technologie, bei der Photo-voltaik, da ist Forschung nötig, das muß aber auch entsprechend gefördert werden.	Finally, let me say that there are still many surprises awaiting us with renewables, for instance in thin-film or photovoltaic technology, where research is needed and must also receive the necessary encouragement.
Es ist bereits Wissen vorhanden, das genutzt werden muß und, wenn ich das am Schluß noch sagen darf, vielleicht auch in unseren eigenen Gebäuden genutzt werden muß.	Know-how already exists and it must be used and, let me say in conclusion, perhaps it should be used in our own buildings too.
Wir bauen ein neues Parlament in Brüssel und in Straßburg.	We are building a new Parliament in Brussels and in Strasbourg.
Wo wird die Technologie, die wir entwickeln, dort angewandt?	Where is the technology we are developing being applied there?
Auch hier kann man einiges verbessern.	Here too there is room for improvement.
