Vielen Dank, Herr Präsident!	Thank you.
Sehr verehrte Kollegen! Demographische Umfragen ergeben, daß Menschen heute immer älter werden und daher auch der Bedarf an bestimmten sozialen Dienstleistungen steigt.	Mr President, ladies and gentlemen, demographic surveys show that the population is ageing and that, as a result, the need for certain social services is increasing.
Dies gilt vor allem für Frauen ohne gute Ausbildung, die von der Härte des Arbeitsmarkts wahrscheinlich am stärksten betroffen sind.	This applies in particular to women who have not had a good education and who are probably those most affected by conditions on the labour market.
Dem Einsatz dieser Frauen im Dienstleistungssektor stehen aber oft sehr hohe Lohnnebenkosten entgegen, und es droht daher ein Abdriften in die Schattenwirtschaft.	However, there are often very high non-wage labour costs involved in employing these women in the service sector, thus the danger arises that these women may drift into the black economy.
Aus diesem Grunde sollten alle Modelle, die anders sind, wie Genossenschaften, Vereine oder Hilfswerke, verwendet werden, um diesen Problemen entgegenwirken zu können.	For this reason, any models which differ from this, such as cooperatives, associations and relief organizations, should be used to counteract these problems.
Die Europäische Union hat 1993 in ihrem Weißbuch Wachstum, Wettbewerbsfähigkeit, Beschäftigung eine Strategie zur Schaffung von mehr Arbeitsplätzen definiert und empfiehlt eine aktive Arbeitsmarktpolitik.	In its 1993 White Paper on Growth, Competitiveness and Employment, the European Union defined a job creation strategy and recommended an active labour market policy.
Ein neues Weißbuch zur Ergänzung ist zu begrüßen.	A new White Paper is a welcome development.
Die Europäische Kommission rechnet explizit die häusliche Dienstleistung zu jenem Bereich, in dem Arbeitsplätze in großer Zahl geschaffen werden können.	The European Commission considers domestic services to be an area in which a high number of jobs could be created.
Eine Möglichkeit wäre ein sogenannter Dienstleistungsscheck, der die sozialversicherte Tätigkeit in privaten Haushalten erleichtert, weil der Arbeitnehmer mit diesem Scheck automatisch sozialversichert wäre, auch bei geringfügiger Beschäftigung.	One possibility would be service contracts which facilitate work in private households, where the employee would automatically have social insurance as a result of the contract, even where a low number of hours are worked.
Durch dieses Modell bietet sich vor allem für viele Frauen in sozialwirtschaftlichen Dienstleistungen eine Chance.	This model offers an opportunity to many women, particularly in social economy services.
Der Nachteil dabei ist sicherlich, daß niedrige Lohnverhältnisse bestehen.	The disadvantage in this is certainly that wages are low.
Doch sollte dabei nicht übersehen werden, daß diese sozialen Dienstleistungen einen guten Start für arbeitslose, weniger qualifizierte Frauen bedeuten.	However, it should not be overlooked that these social services constitute a good start for unemployed women who are less qualified.
In diesem Sinne hoffe ich, daß diese angeführten Modelle ein weiterer Schritt in Richtung einer gerechteren Eingliederung von Frauen in den Arbeitsmarkt bedeuten.	I hope, therefore, that the models described represent a significant step towards fairer integration of women into the labour market.
