Herr Präsident, Kolleginnen und Kollegen! Ich könnte eigentlich sagen, Johannes hat alles gesagt.	Mr President, ladies and gentlemen, I could actually say that Johannes Swoboda has said it all.
Ich könnte es genauso sagen.	I could say exactly that.
Aber ich will vielleicht noch einige andere Akzente setzen.	However, perhaps I can highlight some slightly different points.
Die Eile, die wir an den Tag legen, ist auch damit begründet, dass wir einfach zeigen wollen, dieses Parlament steht hinter diesem Land, steht hinter Mazedonien, und wir wollen ihm helfen, auch die derzeitige Krise schnell zu überwinden.	The speed with which we are acting is also due to the fact that we simply want to show that Parliament is backing this country, Macedonia, and we also want to help it to overcome the current crisis as quickly as possible.
Wir freuen uns natürlich, dass das Parlament in Mazedonien zu hundert Prozent auch die europäische Karte gezogen und diesem Abkommen zugestimmt hat.	Of course we are also pleased that in Macedonia this House has totally subscribed to the European ideal and given its assent to this agreement.
Das zeigt uns, für wen es sich entschieden hat.	This demonstrates whom Parliament has decided in favour of.
Aber man muss in Mazedonien auch klar machen, diese Union ist eine Union der Werte.	However, we must also make it clear in Macedonia that this Union is a Union of values.
Nicht immer werden sie bei uns auch alle geachtet, aber diese Werte beinhalten ein hohes Maß an Toleranz, ein hohes Maß an Respekt vor dem anderen, ein hohes Maß des Minderheitenschutzes.	We do not always observe them all, but these values include a high level of tolerance, a high level of respect for others and a great commitment to protecting minorities.
Deswegen ist es meiner Ansicht nach in Mazedonien geboten, gemeinsam über die parteipolitischen Unterschiede hinweg an dieser Toleranzschwelle zu arbeiten.	That is why I believe that in Macedonia it is necessary to work together, across party political lines, taking account of this tolerance threshold.
Es muss einen gemeinsamen Kampf gegen Kriminelle geben.	We need to fight together against criminality.
Ich bedaure zutiefst gerade den Tod der vier mazedonischen Soldaten, der sich ja wohl in diesen Tagen ereignet hat.	I deeply regret, in particular, the death of four Macedonian soldiers in the last few days.
Es muss deswegen einen gemeinsamen Kampf gegen Kriminelle und Aufwiegler geben.	So we need to fight together against criminals and agitators.
Alle sind aufgerufen, sich zu distanzieren, diese Taten zu verurteilen und für ein Klima der Toleranz zu sorgen, täglich dafür zu werben, in allen Medien, auch im mazedonischen Parlament und in der mazedonischen Gesellschaft.	Everyone should distance themselves from these actions and condemn them, work towards a climate of tolerance, and do everything to promote it, in all the media as well as in the Macedonian Parliament and in Macedonian society.
Albanischer Terrorismus ist zu verurteilen, aber er kann nicht beantwortet werden durch slawomazedonischen Nationalismus.	Albanian terrorism must be condemned, but Slav-Macedonian nationalism is not an appropriate response to it.
Ich denke, Johannes hat es auch gesagt, er hat es nur nicht so nachdrücklich ausgedrückt wie ich.	I think Johannes Swoboda said that too, but perhaps he did not say it as emphatically as I have done.
Die Vernunft muss Einzug halten in die mazedonische Gesellschaft, und deswegen glaube ich, dass alle Politiker aufgerufen sind, die Gründe für solche Aktionen - vermeintliche oder echte - aus dem Weg zu räumen.	Reason must make its entry on the Macedonian stage and that is why I believe it is the duty of all politicians to sweep aside any grounds for such actions, be they perceived or genuine.
Wahr ist, die albanische Bevölkerung hat noch lange nicht die Teilnahme an öffentlichen Ämtern, an ein öffentliches Auftreten erreicht, die es ihr ermöglichte, jeden Angriff auf das fragile interethnische Gleichgewicht begründet zurückzuweisen.	It is true that the Albanian population is nowhere near having had appropriate access to public office and has not had a public presence which would enable it, with justification, to reject any attack on the fragile inter-ethnic balance.
