Herr Präsident, die zur Debatte stehenden Berichte sind zu befürworten.	Mr President, the reports we are debating should be endorsed.
Es beschleicht einen aber die Befürchtung, daß zum Teil wieder einmal viel Geld hauptsächlich für die Produktion von Papier ausgegeben werden soll.	Yet I have a sneaking suspicion that once again a lot of money is to be spent mainly on producing paper.
Nichts gegen detaillierte Untersuchungen und Studien, aber es muß doch überlegt werden, ob die 45 Mio. ECU, die für das mehrjährige Informationsprogramm zur Förderung der Informationsgesellschaft zur Verfügung stehen, nicht sinnvoller für die Realisierung konkret nutzbarer Projekte eingesetzt werden sollten.	I have nothing against detailed research and studies, but we have to consider whether it would not be more sensible to use the ECU 45 million available for the multiannual information programme to stimulate the establishment of the information society in order to implement projects of practical use.
Dazu ein konkretes Beispiel: Um der europäischen Tourismusindustrie im nächsten Jahrtausend ihre Wettbewerbsfähigkeit zu erhalten, wird es notwendig sein, flächendeckende elektronische Informations- und Reservierungssysteme zu schaffen.	Let me give you a concrete example: if the European tourist industry is to remain competitive in the next millennium we will have to create comprehensive electronic information and reservation systems.
Die technischen Voraussetzungen für derartige Systeme des Tourismusmarketings sind zwar bereits gegeben; dieser Wirtschaftszweig ist aber in seiner Kleinstrukturiertheit und Fragmentierung derzeit weder organisatorisch noch motivationsmäßig imstande, flächendeckenden Informations- und Reservierungssystemen Inhalt und verläßliche Aktualität zu verleihen.	The technical requirements for these kind of tourism marketing systems already exist; but because of its small-scale structures and fragmentation, the industry currently has neither the organizational ability nor the motivation to produce comprehensive, reliable and up-to-date information and reservation systems.
Ausschlaggebend für den Erfolg im Tourismus wird in Zukunft für die vielen Klein- und Mittelbetriebe, die ja das Rückgrat des europäischen Tourismus darstellen, neben dem Angebot die Genauigkeit und Raschheit der Information sein.	For the many small and medium-sized firms that, after all, represent the backbone of European tourism, the key to the success of tourism will be not just the supply of information but accurate and rapid information.
Die Gäste, also die Konsumenten touristischer Produkte, buchen immer kurzfristiger und werden immer anspruchsvoller.	The tourists, i.e. the consumers of tourist products, book their holidays increasingly late and are becoming increasingly fussy.
Detaillierte Information auf Knopfdruck und letztminütige Buchung ist eine selbstverständliche Erwartung der Konsumenten an die Anbieter.	The consumers naturally expect detailed information at the press of a button and last-minute booking facilities from their suppliers.
Die Vernetzung der Anbieter untereinander und vor allem der Anbieter mit den Märkten, insbesondere mit der Reisebürobranche, aber auch direkt mit den Konsumenten, zum Beispiel über Internet, ist daher eine Entwicklung, die europaweit gefördert werden muß.	So we must encourage the development of networking between suppliers among themselves and in particular between suppliers and markets, especially travel agencies, but also directly with the consumer, for instance via the Internet, on a Europe-wide basis.
Gerade im Zusammenhang mit den Bestreben, Arbeitsplätze zu erhalten und neue zu schaffen, muß sich die europäische Tourismusbranche bis in die abgelegensten Gebiete in weltweit abrufbare Informations- und Buchungssysteme einbringen.	The European tourist industry must set up information and booking systems that can be accessed world-wide even in the most remote regions, which will also help protect and create jobs.
Im Rahmen des Aktionsprogramms könnte auf diesem Gebiet zum Beispiel im Bereich der Schulung, Motivation und des know-how-Transfers ein bedeutender Fortschritt erzielt werden und einer Branche, die ständig Weltmarktanteile verliert, zu mehr Wettbewerbsfähigkeit verholfen werden.	In the framework of the action plan, considerable progress could be made in this respect in the area of school education, motivation and the transfer of know-how, which would help make an industry that is constantly losing world-market shares become more competitive.
