Herr Präsident, Herr Kommissar!	.
Die Sozialdemokratische Fraktion hat die Aufgabe übernommen, den Initiativbericht von Frau Estrela auszuarbeiten, und die Halbzeitbewertung vorzunehmen, und hat feststellen müssen, dass die Geschlechterdimension in der Strategie von Lissabon zu kurz kommt.	Mr President, Commissioner, the Social-Democratic Group has taken on the task of drawing up Mrs Estrela’s own-initiative report and carrying out the mid-term review, and it has found that the gender dimension is being short-changed in the Lisbon Strategy.
Das Motto „Gleiches Entgelt für gleiche Arbeit“ ist bereits angesprochen worden.	The motto ‘equal pay for equal work’ has already been mentioned.
Das haben wir seit Jahren auf dem Papier, aber in der Realität findet es keinen Niederschlag.	We have had that on paper for years, but it has not been put into practice.
Im EU-Durchschnitt sind 15% bis über 30% Realität.	The reality is an EU average of 15% to something over 30%.
Das kann so nicht weitergehen.	Things cannot go on like that.
In Unternehmen sind Frauen in Führungspositionen weitgehend absent.	In business, women are largely absent from executive positions.
Wir haben auch außerhalb der Europäischen Union gute Modelle – sehen wir doch einmal nach Norwegen.	We even have good models outside the European Union – take Norway, for one.
In Norwegen hat die Regierung ein Gesetz verabschiedet, um 40% Frauen in börsennotierten Unternehmen in die Aufsichtsräte zu bringen.	In Norway, the government has passed a law requiring 40% of supervisory board members in quoted companies to be women.
Haben Sie Mut solche Initiativen zu ergreifen, Herr Kommissar, und bringen Sie dies in die hinein.	Have the courage to take such initiatives, Commissioner, and make this part of the road map.
Die Forderung nach Selbständigkeit darf nicht nur auf dem Papier hängen bleiben.	The demand for independence must not be left only on paper.
Die Sozialpartner sind aufgefordert, hier aktiver zu werden.	The social partners must be more active here.
Wenn ich dann immer wieder höre, das läge auch an der Qualifizierung der Frauen, dann hängt mir das langsam zum Halse raus.	I am getting sick and tired of always hearing that it is because of women’s qualifications.
Heute – das ist auch angesprochen worden – sind Frauen mittlerweile besser ausgebildet sind und es gibt deutlich mehr Hochschulabsolventinnen als -absolventen, und trotzdem wird die gläserne Decke nicht durchbrochen.	As we have already heard, women are now better educated and there are far more women graduates than male graduates, but we have still not broken through the glass ceiling.
Also muss es andere Gründe dafür geben, dass Frauen nicht durchkommen, und da, muss ich sagen, fehlt es an politischem Willen.	There must therefore be other reasons why women are not coming through, and I have to say there is a lack of political will here.
Hier in diesem Haus und auch bei der Kommission ist ja durchaus immer wieder guter Wille propagiert worden.	Again and again there has been much talk of good will here in this House and in the Commission.
Wo hakt es dann letztendlich fest?	So where is the snag?
Woran liegt es, dass Frauen – auch im politischen Bereich – den Durchbruch letztendlich doch nicht schaffen?	Why is it that women – even in politics – are still not achieving the breakthrough?
Hier hilft unser Bericht von Frau Estrela, noch einmal aufzurütteln und dafür zu sorgen, dass sich die Rolle der Männer verändert.	Here Mrs Estrela’s report is helping to stir us up again and to ensure that the role of men changes.
Vereinbarkeit von Familie und Beruf und Gender Mainstreaming sind nicht allein ein Thema der Frauen.	Reconciling family and working life and gender mainstreaming are not matters for women alone.
Deshalb bitte ich, den Druck zu erhöhen.	I am therefore asking you to increase the pressure.
Ich bitte die Kommission, die nun endlich vorzulegen und nicht nur wieder Tatsachen zu beschreiben, sondern wirklich mutig Schritte nach vorn zu gehen.	I am asking the Commission at long last to present the road map and not merely to describe the facts again but to be really courageous and move forward.
Ein wichtiger, mutiger Schritt wird das neue Gender Institut sein.	The new Gender Institute will be an important and courageous step.
Damit können wir unter Beweis stellen, dass Europa Gleichstellung ernst nimmt.	It will enable us to demonstrate that Europe is taking equality seriously.
Ich bitte also darum, den Worten auch Taten folgen zu lassen.	I am therefore asking you to translate words into action.
Das Lissabonner Modell und die Lissabon-Strategie können nur erfolgreich sein, wenn Frauen voll integriert sind.	The Lisbon Model and the Lisbon Strategy can only be successful if women are fully integrated.
