– Herr Präsident, meine Damen und Herren! Badegewässer schlagen Wellen!	– Mr President, ladies and gentlemen, bathing water is making waves.
Auf der Grundlage von 1976 erstellt die Europäische Kommission jedes Jahr zu Beginn des Sommers die Badegewässerübersicht.	Every year, at the onset of summer, the Commission draws up, on the basis of the 1976 directive, the survey of bathing waters.
Diese Informationen werden von vielen Bürgerinnen und Bürgern in ganz Europa nicht nur zur Kenntnis genommen, sondern es werden inzwischen auch mehr als 2 Millionen Besucher auf den entsprechenden Internetseiten verzeichnet.	Not only does the European public take note of this information, but over two million visits are also made to the relevant websites.
Fest steht, die Badegewässer wurden in dieser Zeit europaweit wesentlich sauberer.	It is an established fact that bathing waters have become substantially cleaner right across Europe.
Trotz sintflutartiger Niederschläge und Überschwemmungen im Jahr 2002 erfüllten sogar 98,5 % der Küstengewässer Europas die Vorgaben der Richtlinie.	In 2002, despite positively diluvian rainfall and flooding, as much as 98.5% of Europe’s coastal waters complied with the directive’s specifications.
Die Überarbeitung einer Richtlinie nach mehr als einem Vierteljahrhundert ist aus mehreren Gründen sinnvoll.	There are several reasons why it makes sense to revise the directive after over a quarter of a century.
Wissenschaftliche und technische Erkenntnisse haben sich rasant entwickelt, die Erfahrungen aus bis zu 26 Jahren praktischer Anwendung – je nach Dauer der Mitgliedschaft in der Europäischen Union – sollten in eine Überarbeitung einfließen, die Wasserrahmenrichtlinie sollte mit der Badegewässerrichtlinie im Einklang stehen, der Schutz der Gesundheit der Badenden sollte weiter verbessert werden, und schließlich ist eine Vereinfachung der bestehenden Gesetze erstrebenswert.	Scientific and technical knowledge have expanded at breakneck speed, any revision is to draw on the experience of up to twenty-six years of applying the directive in practice – dependent on the length of time the country has been a Member State of the European Union, the water framework directive is to be harmonised with the bathing water directive, protection of the health of bathers is to be further improved, and, last of all, the simplification of the existing laws is worth striving towards.
Meine Fraktion teilt die Absicht der Kommission, die Qualität der Badegewässer zu verbessern.	My group shares the Commission’s intention to improve the quality of bathing water.
Das Baden als sinnvolle Freizeitbeschäftigung, aber auch der Nutzen der Badewässer für den Fremdenverkehr in allen unseren Mitgliedstaaten sollten gefördert werden.	Bathing should be promoted as a sensible leisure activity, as should the use of bathing waters for tourism in all our Member States.
Den nun langjährigen Erfahrungen zufolge rühren die größten Gefahren für die menschliche Gesundheit beim Baden von Fäkalstoffen her, die über unzureichend behandeltes Abwasser oder aus der Viehhaltung in die Badegewässer gelangen.	It is evident from what is now many years of experience that the greatest dangers to human health when bathing are presented by faecal matter finding its way into bathing waters as a result of inadequate treatment of waste water or from stock rearing.
Durch die neue Regelung sollen die zu messenden Parameter von 19 auf 2 abgesenkt werden, Darmenterokokken und Escherichia coli gelten als herausragende Indikatoren, und diese beiden Normen sollen deutlich verschärft werden. Chemische Parameter spielen dagegen keine Rolle, sind darüber hinaus in anderen Richtlinien geregelt und sollen deshalb nicht mehr gemessen werden.	The new rules are intended to reduce from 19 to 2 the number of parameters to be measured and to treat intestinal enterococci and as leading indicators; these two standards are to be made substantially more rigorous, but, by way of contrast, chemical parameters are disregarded and are no longer to be measured, as they are governed by other directives.
Die Häufigkeit der Probenahme soll gesenkt werden, wenn innerhalb von drei Jahren konstant eine gute Wasserqualität ermittelt wurde.	Samples are to be taken less frequently if a constantly high level of water quality is found over a period of three years.
Die Wasserqualität eines Badegewässers soll auf der Grundlage der Entwicklung der vergangenen drei Jahre und nicht mehr auf der Basis eines Jahres ermittelt werden. Dadurch würden sich einmalige Vorfälle – wie schlechte Witterungsbedingungen – weniger stark bemerkbar machen.	The quality of bathing water is to be ascertained on the basis of changes over the past three years and no longer on the basis of one single year, so one-off eventualities – such as poor weather conditions – will be less markedly apparent.
Durch diese Faktoren würden sich auch die Kosten für die Anwendung der Richtlinie in den Mitgliedstaaten verringern.	These factors would also reduce the costs involved in implementing the directive in the Member States.
Wichtig ist unserer Fraktion auch, dass verbesserte Informationen über die Wasserqualität vorgesehen werden, die auch über die Medien und das Internet verstärkt verbreitet werden sollen. Insofern unterstützen wir die Zielsetzung der Kommission und auch die dazu vorliegenden Änderungsanträge.	Our group also sees it as important that the provision of information on water quality should be improved, and that it should be more extensively disseminated via the media and the Internet.
Allerdings sollen unsere Änderungsanträge versachlichen und vereinfachen und vor allen Dingen die Kosten nicht weiter erhöhen.	With that in mind, we endorse the Commission’s objective and also the amendments tabled to that end.
Wir wollen also keine Einbeziehung der Freizeitaktivitäten, die Anforderungen an Bewirtschaftungsmaßnahmen scheinen uns ebenso übertrieben wie die neu eingeführten Badegewässerprofile. Soweit diese Maßnahmen mit der Wasserrahmenrichtlinie verzahnt werden, dienen sie der Vereinfachung, ansonsten müssen nach Auffassung unserer Fraktion nach dem Subsidiaritätsprinzip lokale und regionale Gegebenheiten berücksichtigt und flexibel gehandhabt werden.	Our amendments, however, are intended to bring about objectivity and simplicity and, above all, to avoid further increases in costs; hence, we do not want leisure activities to be included, and the management policies required strike us as every bit as over-the-top as the newly-introduced bathing water profiles These measures will help make matters simpler in so far as they dovetail with the water framework directive; otherwise, our group takes the view that the principle of subsidiarity requires that local and regional circumstances be taken into account and dealt with in a flexible way.
Gegen diese Aspekte verstoßen bereits teilweise die Vorschläge der Kommission, umso mehr aber auch einige Anträge des Umweltausschusses, und deswegen möchten wir in diesen Punkten dagegen stimmen.	Some of the Commission’s proposals already run counter to these considerations, but a number of amendments from the Committee on the Environment, Public Health and Consumer Policy even more so, and so we want to vote against these items.
