Herr Präsident, Herr Kommissar! Beschäftigungspolitik und soziale Sicherheit gehören zusammen.	Mr President, Commissioner, employment policy and social security go hand in hand.
Insofern ist eine gemeinsame Aussprache zum Beschäftigungsbericht 1996 und zur Novellierung des wichtigsten Sozialversicherungsgesetzes der Europäischen Union - der Verordnung 1408 - sinnvoll.	It is thus logical for us to hold a joint debate on the 1996 employment report and on the amendment to the European Union's most important social insurance legislation - Regulation 1408.
Hohe Arbeitslosenquoten gefährden unsere Sozialsysteme.	High levels of unemployment jeopardize our social systems.
Für die Bekämpfung der Arbeitslosigkeit gibt es keinen Königsweg, sondern nur den Weg der tausend kleinen Schritte, wie sie im Weißbuch zur Beschäftigung und in vielen anderen Dokumenten der Europäischen Union zu dem Vertrauenspakt vorgeschlagen werden, zum Beispiel flexible Arbeitsorganisation, positive Flexibilität der Arbeitszeit, Teilzeitarbeit.	There is no shortcut to combatting unemployment - the only way is by the countless short steps proposed in the White Paper on employment and in many other European Union documents on the confidence pact, for example flexible work organization, positive flexibility of working hours and part-time working.
Dabei geht es keinesfalls nur um Tagteilung, sondern ebenso um Lebensteilzeit. Ältere Arbeitnehmer erhalten die Möglichkeit eines gleitenden Übergangs in den Ruhestand.	This is certainly not confined to dividing up the day, but also includes dividing up one's working life: older employees are given the opportunity of a progressive transition to retirement.
In Deutschland erfolgt die Vorruhestandsleistung auf der Grundlage eines Gesetzes für Altersteilzeit.	In Germany, pre-retirement benefits are paid on the basis of a law on part-time working for older employees.
Stockt der Arbeitgeber das Teilzeitarbeitsentgelt und die Beiträge zur Rentenversicherung auf, dann erstattet die Bundesanstalt für Arbeit dem Arbeitgeber diese Leistung, wenn er einen Arbeitslosen oder Auszubildenden einstellt.	If the employer tops up the remuneration for part-time working and the pension insurance contributions, the Federal Institute for Labour reimburses the employer for these benefits if he takes on an unemployed person or trainee.
Die eingangs erwähnte Verordnung 1408 hat die Aufgabe, die gesetzlichen Systeme der sozialen Sicherheit für Wanderarbeitnehmer zu koordinieren.	Regulation 1408, which I mentioned earlier, is intended to coordinate the statutory social security systems for workers who move from one state to another.
Zu den Koordinierungsaufgaben zählt bisher nicht die Abstimmung der sehr unterschiedlichen Vorruhestandsregelungen, die in sieben EU-Staaten eingeführt sind.	This coordination has not hitherto included the harmonization of the widely differing pre-retirement arrangements that have been introduced in seven EU States.
Der Bericht Ribeiro beschreibt sehr gut die Schwierigkeiten, die dadurch und durch die wachsende Zahl der Systeme aufgetreten sind, vor allem wenn Arbeitsplatz und Wohnsitz des Arbeitnehmers in verschiedenen Ländern liegen, zum Beispiel bei Grenzgängern oder wenn der Wohnsitz in einen anderen Mitgliedstaat verlegt wird, das heißt, der Wanderarbeitnehmer in seine Heimat zurückkehrt.	The Ribeiro report provides a very good description of the problems that have arisen as a result of this and as a result of the increasing number of systems, especially if the employee's job and place of residence are in different countries, as with frontier workers, or if the worker moves his place of residence to another Member State, as when he returns to his home country.
Die mit dem Kommissionsentwurf beabsichtigte Ausdehnung des Geltungsbereichs der Verordnung 1408 auf Vorruhestandsleistungen ist zwingend, wobei auch tarifliche Regelungen einbezogen werden.	The intention of the Commission's draft to extend the scope of Regulation 1408 to pre-retirement benefits is obligatory, and collectively agreed arrangements are also to be included.
Die Kommission hat vernünftige Lösungen vorgeschlagen, so zum Beispiel den Export der Leistung vom Land der letzten Beschäftigung, in dem der Anspruch erworben wurde.	The Commission has proposed sensible solutions, such as for example the right to export the benefit from the country of last employment, in which the entitlement was acquired.
Die diskutierte Leistungserbringung durch die Arbeitsverwaltung des Wohnsitzlandes wäre für EU-Staaten, die den Vorruhestand nicht eingeführt haben, sehr problematisch.	The controversial provision of benefit by the labour authority in the country of residence would cause serious problems for EU States that have not introduced the preretirement status.
Im Änderungsantrag Nr. 1 und in der Begründung geht der Berichterstatter über die Problematik des Vorruhestandes hinaus. Er deutet Perspektiven an für eine Koordinierung der Sondersysteme des öffentlichen Dienstes und der nicht gesetzlichen Systeme der sozialen Sicherheit, bei denen nach meiner Überzeugung allerdings zu weitgehende europäische Vorschriften kontraproduktiv wären.	In Amendment No 1 and in the explanatory statement, the rapporteur goes beyond the problems of preretirement to suggest prospects for the coordination of the special civil service systems and non-statutory social security systems, though I am convinced that excessively detailed European regulations would be counter-productive here.
Der Bericht Ribeiro leistet einen wichtigen Beitrag zur Ausgestaltung der sozialen Dimension der Union. Die Fraktion der Europäischen Volkspartei wird ihm zustimmen.	The Ribeiro report makes an important contribution to planning the social dimension of the Union, and the Group of the European People's Party will vote in favour of it.
