Sehr geehrter Herr Präsident! Erlauben Sie mir, dass ich hier einen weiteren Gedanken einbringe.	Mr President, may I introduce a further thought?
Europas Wasserwirtschaft steht vor einem massiven Umbruch durch die Wasserrahmenrichtlinie.	The water framework directive will bring radical changes to Europe' s water industry.
Diese Richtlinie bietet aber auch die Chance, die jeweilige nationale Wasserwirtschaft und das Wasserrecht grundsätzlich zu überdenken und nationalen Versorgern und Industrieunternehmen neue Geschäftsfelder zu eröffnen.	But the directive is also an opportunity for a thorough rethink of our various national water industries and water legislation and for opening up new fields of business for national suppliers and undertakings.
Gerade im Bereich Wasser bieten sich enorme Chancen für die Wirtschaft, durch die Öffnung der Märkte mehr Wertschöpfung für alle zu erreichen.	Water offers industry tremendous opportunities to create more value added for all by opening up the markets.
Effizienzsteigerung durch neue Kooperationsformen in der Planung, Errichtung und Bewirtschaftung von Anlagen zwischen privater Industrie und kommunalen Versorgern sind ein erster notwendiger Schritt dazu.	Increased efficiency through new forms of cooperation between private industry and municipal suppliers in the planning, construction and operation of plants is the first essential step in that direction.
Ein zweiter Schritt muss dann die Wertschöpfungssteigerung durch den Export sein.	A second step must then be to increase value added through exports.
Gerade der Bereich Know-how, in dem einige Mitgliedstaaten heute schon einige starke Unternehmen vorzuweisen haben, bietet die Chance, durch verstärktes Bearbeiten von Auslandsmärkten weiter zu exportieren - ganz klar jedoch, Export immer nur im ökologisch vertretbaren Maß.	Know-how in particular, where some Member States already have a number of strong undertakings, offers the opportunity of increasing exports by paying more attention to canvassing foreign markets - but obviously exporting only to an ecologically acceptable extent.
Aber damit würden alle profitieren.	Everyone would gain from that.
Gemeinden und Konsumenten sparen Kosten.	Municipalities and consumers would save on costs.
Produzenten finden neue Märkte.	Producers would find new markets.
Ich glaube, der Export von Wasser, so wie andere Staaten ihr Gold in Form von Öl exportieren - wir in Österreich zum Beispiel haben das weiße, das flüssige Gold, das Wasser - wäre ein Gewinn für alle.	I believe everyone would gain from exporting water in the same way as other countries export their gold in the form of oil; we in Austria, for example, have white liquid gold in the form of water.
