Frau Präsidentin! Herr Ratspräsident Funke - fast sind wir Namenvettern!	Madam President, Mr Funke, we are almost namesakes!
Der Bericht Fantuzzi, zu dem ich ein paar Worte sagen möchte, hat ja große Beachtung gefunden - immerhin sind 93 Änderungsanträge von den Fraktionen eingebracht worden, und alle natürlich mehr oder weniger gerechtfertigt.	The Fantuzzi report, on which I should like to say a few words, has indeed received a great deal of attention - at any rate, 93 amendments have been tabled by the groups, all of which are, of course, justified to a greater or lesser extent.
Der Kollege Fantuzzi hat eine gute Arbeit abgeliefert, das muß ich ihm bestätigen - er trägt auch immer die schönsten Krawatten im Parlament, weil die in Italien hergestellt werden.	Mr Fantuzzi has done a good job - I have to grant him that - and he also always wears the nicest ties in Parliament, because they are made in Italy.
Aber er hat sich für eine 20 %ige Preissenkung ausgesprochen, und da bin ich dagegen und zwar deshalb: 20 % sind viel zu viel, als daß die Bauern es verkraften könnten.	But he has advocated a 20 % reduction in prices, which I oppose, and I shall tell you why: 20 % is far too much for farmers to withstand.
10 % Preissenkung, das können wir gerade noch mit schmerzverzerrtem Gesicht verkraften, vor allen Dingen, weil nur 50 % Ausgleich gegeben werden.	We can only just, with gritted teeth, withstand a 10 % reduction, above all because only 50 % of this will be compensated.
In meiner Region in Baden-Württemberg gibt es die Betriebe nicht, von denen Herr Rehder immer behauptet, die würden Millionen bekommen.	In my region in Baden-Württemberg, there are not any of these holdings which Mr Rehder always claims are receiving millions.
Die soll er mir mal zeigen.	Perhaps he should show them to me.
In meiner Region jedenfalls nicht, im Gegenteil, da haben es die Bauern schwer, und es wäre geradezu eine Beleidigung, wenn man ihnen ständig vorhalten würde, sie würden zu den reichen Landwirten gehören.	Not in my region in any case, where the situation is quite the opposite; farmers have a hard time of it there, and it would be nothing short of insulting to reproach them constantly for being some of the rich ones.
Wenn wir auf dem Weltmarkt wettbewerbsfähig sein wollen, Herr Kollege Funke, dann müssen wir auch wissen, ob die Bauern das verkraften.	If we want to be competitive on the world market, Mr Funke, then we also need to know whether farmers are able to withstand this.
Ich frage mich aber, mit wem die Wettbewerbsfähigkeit hergestellt werden soll.	I wonder, however, with whom we are supposed to compete.
Mit Ländern, in denen der Lohn bei nur 10 % unseres Lohnniveaus liegt?	With countries where wages are only 10 % of ours?
