Frau Präsidentin, Herr Kommissar! Mütter brauchen einen besonderen Schutz.	Madam President, Commissioner, mothers need special protection.
Da herrscht Einigkeit hier im Raum.	On that there is agreement in this Chamber.
Einem Kind das Leben zu schenken unter vollem seelischen und körperlichen Einsatz, das ist ein einschneidendes Erlebnis für jede Frau.	Having a child is physically and emotionally demanding, and is a profound experience for any woman.
Die körperlichen Veränderungen, die neuen Lebensumstände und vor allem die Erholungs- und Genesungsphase - sie machen einen ausreichenden Mutterschutz notwendig.	The physical changes, new life circumstances and, above all, the recovery and recuperation period - all these things make adequate maternity protection essential.
Diese Leistung muss von der Gesellschaft übernommen werden.	This is something that society must provide.
Wir streiten da nicht um den Grundsatz.	Hence, there is no dispute as to the principle.
Wir streiten um das Wie und die Konditionen.	The debate concerns how this is done and the conditions under which it is done.
Dabei dürfen wir nicht aus den Augen verlieren, dass die EU den Mindeststandard festlegt und die Mitgliedstaaten den Mutterschutz umsetzen, organisieren und bezahlen müssen.	In this regard, we should not forget that the EU lays down a minimum standard and it is up to the Member States to implement, organise and pay for maternity provision.
Wir fangen nicht bei Null an.	We are not starting from nothing.
Die Mitgliedstaaten haben ihren Mutterschutz sehr unterschiedlich organisiert, zum Teil ergänzt durch eine Elternzeit, die auch die Väter einbezieht.	The Member States have organised their maternity provision in very different ways, in some cases, supplementing this with parental leave to include fathers.
Väter müssen eingebunden werden in die Familienaufgaben, und wir sprechen da nicht von Urlaub, sondern von verantwortungsvoller Übernahme von Erziehungs- und Familienaufgaben.	Fathers need to be involved in family responsibilities - and we are talking here not about leave, but about shouldering the responsibilities involved in bringing up children and in family life.
Väterzeiten sind aber nicht Teil des Mutterschutzes, sondern immer Teil der Elternzeit.	However, paternity leave is not part of maternity provision; rather, it must always be part of parental leave.
Väter werden auch nicht krank durch eine Geburt.	Neither do fathers become ill as a result of a birth.
Ich gratuliere allen Mitgliedstaaten, die Väterzeiten eingerichtet haben, und ich freue mich, Herr Kommissar, auf den eben angekündigten Vorschlag der Kommission.	I congratulate all the Member States that have established paternity leave; likewise, Commissioner, I am pleased to hear of the Commission's proposal that has just been announced.
Wir dürfen den so wichtigen Mutterschutz nicht aufweichen durch eine Ausdehnung in die Elternzeiten hinein.	We cannot allow the important matter of maternity provision to be diluted by an extension of parental leave.
Beim Mutterschutz geht es um die Gesundheit.	Maternity provision is about health.
Keine Mutter ist 20 Wochen krank, und wer stillt, ist auch nicht krank.	No mother is sick for 20 weeks; neither are breastfeeding mothers sick.
Aus Verantwortung auch den Frauen gegenüber, die am Erwerbsleben teilnehmen, müssen wir den Mutterschutz vertretbar gestalten.	We have a responsibility to women who participate in working life to make maternity provision justifiable.
18 Wochen insgesamt, dabei in den letzten 4 Wochen nationale Gestaltungsmöglichkeiten für die Höhe der finanziellen Leistungen - das ist unser Vorschlag, und das sind die Änderungsanträge 115 und 116, die ich bitte zu unterstützen.	Our proposal is for 18 weeks in total, with the last four weeks of this being subject to national variation in the level of the financial payments made. This is set out in Amendments 115 and 116, which I urge Members to support.
Darüber hinaus fordere ich die Mitgliedstaaten auf, ihre Möglichkeiten zu nutzen und allen Familien und den Müttern mehr Leistungen anzubieten, die dann freiwillig angenommen werden können.	In addition, I call on the Member States to exploit their opportunities to offer all families and mothers more payments that can then be adopted on a voluntary basis.
Mütter bauen Zukunft, und sie brauchen unser aller Unterstützung.	Mothers are building the future, and they need every support that we can offer them.
