Herr Präsident! Herr Karas, ich möchte Ihnen gleich antworten.	Mr President, I would like to respond to you straightaway, Mr Karas.
Auch die Sozialisten in diesem Hause wollen den Binnenmarkt.	The Socialists in this House want the internal market too.
Auch wir kämpfen und argumentieren für den Euro, aber wir wollen eine soziale Marktwirtschaft, und wir wollen keine Marktwirtschaft, wie sie in Amerika praktiziert wird.	We too are campaigning for and arguing in favour of the euro, but we want a social market economy and not a US-style market economy.
Bis jetzt jedenfalls war sich dieses Haus bis auf wenige Ausnahmen einig, daß Amerika nicht unser Vorbild ist, sondern daß wir in Europa einen anderen Weg gehen wollen. Aus diesem Grunde bedaure ich, daß wir wahrscheinlich nicht zu einer Einigung kommen werden.	In any case, hitherto this House was agreed, with a few exceptions, that we did not wish to model ourselves on America, but that we wanted Europe to pursue a different path, hence my disappointment at the fact that we are unlikely to reach a consensus of opinion.
Es hat sich gezeigt, Herr Mann, daß es nicht ausreichen wird, schöne Appelle abzugeben und Forderungen zu stellen, sondern wir brauchen quantifizierbare Ziele.	We have seen, Mr Mann, that it will not be enough to deliver fine appeals and issue demands, for what we need are quantifiable objectives.
Diese Methode hat sich beim Euro bewährt, und das bewährt sich zur Zeit bei den Maßnahmen zur Jugendarbeitslosigkeit.	This method has proved its worth as regards the euro and is proving its worth at the moment as far as measures to combat youth unemployment are concerned.
Alle 15 Länder haben besondere Maßnahmen dazu angestrengt, und das wird auch allgemein notwendig sein.	All 15 countries have instituted specific measures to this end and there will be a need for this across the board.
Wir erwarten ebenfalls, daß in Zukunft eine ausführlichere Debatte über die Beschäftigungspolitik in den Mitgliedstaaten mit den Sozialpartnern, mit den regionalen Partnern, mit den Verantwortlichen vor Ort geführt wird - das ist nämlich noch nicht der Fall -, und wir erwarten selbstverständlich - da sind wir uns wieder einig - eine sozialpolitische Konvergenz, selbstverständlich mit dem Aspekt der Modernisierung der sozialen Systeme.	We are also expecting that in future there will be a more comprehensive debate on employment policy in the Member States, involving the two sides of industry, regional partners, those in charge at local level - for that is not yet the case - and of course we expect - and we are also agreed on this - that there will be socio-political convergence, in the light of modernisation of the social systems of course.
Wenn aber Herr von Wogau sagt, wir liegen in Europa weit zurück mit der Reform, dann frage ich mich: Mit wem vergleicht er uns denn?	But when Mr von Wogau says that we are way behind on the reform front in Europe then I am left wondering whom he is actually comparing us with.
Doch wohl nicht mit Japan?	Surely not with Japan?
Und das amerikanische System ist doch wohl auch nicht Ihr Ernst?	And surely you do not seriously mean the American system?
Schauen Sie sich das Gesundheitssystem dort an.	Take a look at the health care system there.
Nirgendwo in Europa ist es so teuer wie in Amerika und so miserabel.	Nowhere in Europe is it as expensive as it is in America, or as ghastly.
Und wir wollen natürlich auch den Frauen Chancen auf dem Arbeitsmarkt ermöglichen.	And of course we want to afford women opportunities on the labour market.
Auch das ist noch nicht ausreichend in den beschäftigungspolitischen Möglichkeiten erfaßt.	Insufficient consideration has been given to this aspect in the various employment policy options as well.
Zum Schluß gebe ich Ihnen in einem Punkt recht, nämlich was die Qualifizierung angeht: Es ist in der Tat ein Manko, daß Deutschland Experten aus Asien und Indien hereinholen muß.	Finally, there is one point which I will agree with you on, namely that concerning qualifications. It is indeed a shortcoming that Germany is having to bring in experts from Asia and India.
Diese Qualifizierung, diese Möglichkeiten der Ausbildung hätten wir seit Jahren nutzen müssen!	We ought to have begun attending to the question of qualifications and training opportunities years ago.
Aber die letzten 16 Jahre wurde in Deutschland leider in diesem Punkt geschlafen!	Unfortunately, however, Germany has rested on its laurels in this respect over the last 16 years.
