im Namen der Verts/ALE-Fraktion. - Herr Präsident! Kambodscha ist ein außerordentlich schönes Land mit einer großen Geschichte, aber diese Geschichte und das Land haben auch schreckliche Seiten.	on behalf of the Verts/ALE Group. - Mr President, Cambodia is a very beautiful country with a great history, but there are dark sides to both the country and its history.
Besonders aktuell: Es verschwinden Menschen, es werden Menschen ohne Gründe eingesperrt, es findet ein hohes Maß an Korruption statt, illegale Landnahme, Holzeinschläge usw. Und was uns Abgeordneten des Europäischen Parlaments am meisten Sorgen machen muss: Diejenigen, die das anprangern und kritisieren, werden in Scheinprozessen von der Straße geholt und eingesperrt.	The latest problems include people disappearing, people being imprisoned without trial, high levels of corruption, illegal land-grabbing and illegal logging. The thing which should most concern us as Members of the European Parliament is that the people who criticise and denounce these practices are dragged off the street, face sham trials and are then put in prison.
Sam Rainsy, Oppositionsführer in Kambodscha, ist mehrfach verfolgt worden.	Sam Rainsy, the opposition leader in Cambodia, has been subjected to serious persecution.
Er war bereits gewählt, wurde 1995 aus dem Parlament entfernt.	He has already been elected, but was thrown out of the parliament in 1995.
Er hat es geschafft, wiederzukommen.	However, he managed to return.
Es gab auf Wahlversammlungen eine Vielzahl von Anschlägen auf ihn, einmal mit 80 Toten.	There were a number of attacks on him during election rallies, one of which left 80 people dead.
Ich selbst habe ihn in Kambodscha besuchen dürfen.	I have had the privilege of visiting him in Cambodia.
Ich habe einen ausgesprochen friedlichen Menschen, einen überzeugten Kämpfer für Demokratie und Menschenrechte kennengelernt.	I found him to be a very peaceful person and a committed supporter of democracy and human rights.
Und jetzt wurde er mit fadenscheinigen Argumenten wegen einer symbolischen Aktion für 12 Jahre in Haft genommen.	Now he has been sentenced to 12 years in prison for a symbolic act on the basis of flimsy arguments.
Wer den Führer der Opposition einsperrt, der sperrt damit zugleich einen Gutteil der Menschen seines Landes ein, die von diesem Menschen vertreten werden.	Anyone who locks up the leader of the opposition party also locks up a large proportion of the people of the country who are represented by this person.
Wer den Führer der Opposition einsperrt und damit verhindert, dass er zu den nächsten Wahlen antreten kann, der verhindert damit Demokratie und die Wahrnehmung von Bürger- und Menschenrechten.	Anyone who locks up the leader of the opposition party and prevents him from taking part in the next elections is blocking the democratic process and violating civil and human rights.
Ich meine, dass wir das nicht hinnehmen dürfen, und appelliere an die Kommission, insbesondere Artikel 1 des Kooperationsabkommens mit Kambodscha einzufordern, nämlich die Achtung der Menschenrechte in Kambodscha als Voraussetzung für Hilfe seitens der Europäischen Union.	I believe that we should not accept this and I call on the Commission to demand that, in particular, the terms of article 1 of the cooperation agreement with Cambodia are fulfilled. This refers to respect for human rights in Cambodia being a precondition for the provision of aid by the European Union.
