Herr Präsident, es wurde schon einiges gesagt.	Mr President, a great deal has already been said.
Wir haben es wieder mit einem neuen Fall der Todesstrafe zu tun.	Once again, we have a new case of the death penalty.
Dieses Mal ist es der Fall Abu-Jamal, und dieses Mal ist es im Staat Florida.	This time it is the Mumia Abu-Jamal case, and this time it is in the State of Florida.
Was uns hier als Europäer und Europäisches Parlament in diesen Fragen vor allem immer wieder bewegt, ist die Tatsache, daß es erstens überhaupt noch eine Todesstrafe gibt in den Vereinigten Staaten, zweitens aber auch die Umstände, unter denen sie durchgeführt wird.	What has repeatedly motivated us as Europeans and the European Parliament in these matters is firstly the fact that the death penalty still exists at all in the United States, and secondly the circumstances under which it is carried out.
Jeder Fall, der so beurteilt oder verurteilt wird, hat sicher seine eigene Tragik und auch seine eigene Dramatik.	Each case which is judged or sentenced in this way certainly involves its own tragedy and its own drama.
Wir hatten neulich in Genf anläßlich der UNO-Menschenrechtskommission Gelegenheit, mit einem texanischen Anwalt, der gegen die Todesstrafe eintrat, zu sprechen.	During the meeting in Geneva recently of the UN Commission on Human Rights, we had the opportunity to speak to a Texan attorney who opposed the death penalty.
Er hat uns noch einmal besonders auf einen Faktor hingewiesen, den wir, glaube ich, nicht so kennen.	He drew attention again to one particular factor which I think we do not appreciate.
Erstens wissen die meisten Menschen in den Vereinigten Staaten überhaupt sehr wenig, warum und wieso die Todesstrafe ausgesprochen wird.	First of all, most people in the United States know very little about why and how the death sentence is pronounced.
Sie erfahren es nicht, sie interessieren sich auch nicht sonderlich dafür.	They do not hear about it and are not even particularly interested.
Meistens sind es nur die ganz dramatischen Fälle, die sie überhaupt erfahren.	They usually only ever hear of the dramatic cases.
Dazu kommt, daß die Art der Urteilssprechung von Staat zu Staat völlig unterschiedlich ist.	Also, the nature of the sentencing differs widely from one state to another.
Es genügt also praktisch, einen Schritt über eine Staatsgrenze hinweg zu tun, und man wird für die gleiche Tat nicht zum Tode verurteilt.	Stepping across a state boundary is practically enough to avoid being sentenced to death for the same crime.
Diese Unterschiedlichkeit des Strafmaßes ist etwas, was uns ja auch in jedem Fall beunruhigt, ganz besonders, wenn es um die letzte Strafe überhaupt geht, nämlich um die Todesstrafe.	This difference in the severity of the penalty is something which concerns us in all cases, most particularly if it involves the ultimate penalty, the death penalty.
Es gibt keine einheitliche Rechtsprechung auf dem Gebiet.	There is no uniform case law on this subject.
Der gleiche Fakt wird unterschiedlich beurteilt.	The same deed is assessed in different ways.
Mal ist es ein Massenmörder, mal ist es ein Erstmörder. Mord bleibt Mord!	Sometimes it might be a mass murderer, sometimes a first-time murderer.
In jedem Fall ist es eine böse Sache.	Murder is murder and is always dreadful.
Aber dieses, glaube ich, sollten wir auch deutlicher den Amerikanern gegenüber unterstreichen, warum wir über die Todesstrafe in den Vereinigten Staaten so besorgt sind.	But I think we should make it clearer to the Americans why we are so concerned about the death penalty in the United States.
