. Guten Abend, Frau de Palacio, guten Abend Herr Präsident!	Mr President, Commissioner de Palacio, good evening.
Herr Piétrasanta, ich bin froh, dass Sie auf diesen Antrag hingewiesen haben, den wir alle in großer Gemeinsamkeit unterzeichnet haben, denn das zeigt wirklich, dass wir hier etwas hilflos sind.	Mr Piétrasanta, I am glad that you have referred to the amendment that we all joined in signing, for that really does show our relative helplessness.
Auf der anderen Seite aber wollen wir auch, dass diese Themen weiterbehandelt werden.	On the other hand, though, we also want discussion of these topics to continue.
Herr Savary, es gefiel mir, als Sie sagten, 'ich spreche hier als Europäer', eben nicht als Experte oder Franzose.	I was pleased, Mr Savary, when you said that you were speaking as a European, as that means that you were not doing so as an expert or as a Frenchman.
Auch hier zeigt sich wieder, worum es eigentlich geht.	Here too, what is really at stake is again becoming apparent.
In der Tat diskutieren wir zu dieser Abendstunde nichts Geringeres als eine der Schlüsselfragen für Europa im 21. Jahrhundert.	The fact is that what we are discussing this evening is nothing less than one of the key issues for twenty-first century Europe.
Angesichts der Krise in der europäischen Wirtschaft schlechthin und insbesondere in dem von uns heute Abend behandelten Sektor muss ein selbständiges und unabhängiges Europa Wirtschaftszweige energisch fördern wollen, und das heißt, sich auf seine ursprünglichen Stärken besinnen.	Faced with the crisis in the European economy as a whole, and in particular in the sector we are discussing this evening, a self-supporting and independent Europe must want to energetically promote branches of business, and that will involve reflection on its original strengths.
Es hilft nicht weiter, es ist vielmehr eine gigantische Verschwendung öffentlicher Gelder, wenn über Jahrzehnte in allen Mitgliedstaaten eine Ausgabenpolitik betrieben wird, die es nicht schafft, neue Akzente zu setzen, sondern die auf Bewahrung althergebrachter Errungenschaften abzielt und die Augen so vor ökonomischen Realitäten verschlossen werden.	Not merely is it no help, it is also an enormous waste of public funds if, over a period of decades, all the Member States pursue an expenditure policy that, rather than introducing new angles, aims to maintain things they acquired long ago, so that their eyes remain closed to the economic realities.
Wir brauchen ganz einfach - wir haben es heute Abend alle betont - moderne Ansätze für die Zukunft Europas sowohl in wirtschaftlicher als auch in technologischer Hinsicht.	As everyone has stressed this evening, what we quite simply need is modern approaches to Europe's future, in both the economy and technology.
Ich möchte deshalb heute eine Lanze brechen für ein stärkeres Engagement Europas im Weltraum.	Today, therefore, I would like to go in to bat for a Europe that is more involved in space.
Europa darf eben nicht den Anschluss verlieren in einem zukunftsgerichteten Segment der Hochtechnologie, in dem wichtig Arbeitsplätze geschaffen werden können und bereits geschaffen worden sind.	The fact is that Europe must not miss the boat in a forward-looking high technology sector in which important jobs can be created, and already have been.
Deshalb brauchen wir ganz einfach mehr Engagement und mehr Unterstützung für die Raumfahrtpolitik.	So what we need, quite simply, is greater commitment and more support for a policy on space travel.
Statt kurzfristigem und kurzsichtigem Aktionismus, wie wir ihn leider nicht zuletzt auch bei mir zu Hause zur Zeit erleben, ist hier strategisches Denken über alle Grenzen gefordert.	What is called for here is strategic thinking over and above national frontiers, rather than the short-term and short-sighted activity for its own sake that we unfortunately see at present, not least in my homeland.
Man könnte fragen, warum Weltraum?	Why space, one might ask.
Warum soll sich Europa in den Weiten des Weltalls engagieren?	Why should Europe get involved in the far reaches of outer space?
Ist Geld nicht sinnvoller auf der Erde investiert?	Would it not make more sense to invest money on earth?
Haben wir überhaupt das Geld?	Do we have the money in the first place?
Ich antworte: Die Beherrschung und Nutzung des Weltraums ist der Schlüssel zum Erfolg in der Welt der modernen Technologie.	My answer is that mastery and exploitation of outer space is the key to success in the world of modern technology.
Lassen Sie mich dies an Beispielen erläutern.	Let me show this by way of some examples.
Egal, ob wir mit Kommunikations-, Navigations- oder Beobachtungssystemen arbeiten, Satelliten spielen dabei die entscheidende Rolle.	Whether the systems we are working with have to do with communications, navigation or surveillance, satellites have a crucial part to play in it.
Ganze Sektoren hängen, wie wir gerade gehört haben, bereits heute von der Nutzung der Satellitentechnologie ab, und wir sind bereits so daran gewöhnt, dass wir nicht weiter darüber nachdenken.	As we have just heard, entire sectors depend, even today, on the use of satellite technology, and we are already so accustomed to this that we give it no further thought.
Meteorologie, Kartographie, Verkehr, Medizin usw. und so fort: Geld in diese Wissenschaftsbereiche investiert, zahlt sich aus um ein Vielfaches. Nehmen Sie auch hier Galileo zum Beispiel.	Money, when invested in such areas of science as meteorology, cartography, transport, medicine, and so on, gives much more by way of a return - something of which Galileo is another example.
Wenn aber nicht ein ständiges updating erfolgt, wenn nicht geforscht wird, wenn nicht ständig Innovationen eingebracht werden, wenn nicht auch finanzielle Unterstützung bereitgestellt wird, dann wird der europäische Raumfahrtsektor dahinsiechen oder ganz verschwinden.	If, though, there is not constant updating, if we do not do research, if innovations are not constantly being introduced, if financial support is not also made available, the European space sector will languish or disappear altogether.
Wir brauchen also ein neues Kapitel der europäischen Raumfahrtpolitik, und ich begrüße sehr die positiven Ansätze, die im Grünbuch zur Raumfahrtpolitik enthalten sind.	What we need, then, is a new chapter in European space policy, and I very much welcome the positive approaches contained in the Green Paper on the subject.
