Herr Präsident!	.
Ich möchte nur auf einige Fragen eingehen.	Mr President, I would just like to respond to a few questions.
Herr Tannock, ich bin tief beeindruckt von Ihrem Bericht über die Wahlen.	Mr Tannock, I am deeply impressed by your report on the elections.
Ich würde nicht so weit gehen und das ukrainische Wahlrecht mit dem Recht unserer Länder vergleichen, denn andere Länder haben andere Wahlgesetze, aber worauf es ankommt ist, dass die Wahlen in der Ukraine in der Tat fair und demokratisch waren, und das halte ich für sehr wichtig.	I would not go so far as to compare Ukraine’s election law with the law of our countries, as different countries have different election laws, but the important thing is that the elections in Ukraine were indeed fair and democratic and I think that is very important.
Ich war auch sehr beeindruckt von den Wahlbeobachtern, die uns über den großen Enthusiasmus berichtet haben.	I was also very impressed by the election observers' report of the great enthusiasm.
Um diesen Enthusiasmus und auch den Glauben an die Europäische Union zu bewahren, müssen wir – die Europäische Union – nunmehr konkrete Schritte setzen. Dazu sind wir bereit.	In order to keep up this enthusiasm, and the faith in the European Union, we – the European Union, that is – must now take specific steps.
Ich bin durchaus auch der Meinung, dass es nicht vernünftig ist, von konkreten Zeiträumen zu sprechen.	We are ready to do so.
Aber um zu gehen, ohne zu stolpern, sollte man einen Schritt vor den anderen setzen. Das sollten wir tun, und wir sollten nicht Schritte überspringen.	I absolutely agree that it is not sensible to talk about specific timetables, but to avoid stumbling we need to take one step at a time, and not try to run before we can walk.
Es geht nunmehr darum, in einem nächsten Schritt eine verstärkte Zusammenarbeit zu finden.	The next step is to develop greater cooperation.
Dazu besteht konkreter Anlass, und das wird der Rat gemeinsam mit der Kommission tun.	There is a specific need for this, and the Council will do so in cooperation with the Commission.
Wir tun das, um der Ukraine zu helfen, sich weiter zu entwickeln und auch die nötigen Reformen umzusetzen.	We are doing this in order to help Ukraine to develop further and to implement the necessary reforms.
Wenn Herr Kaminski gesagt hat, eine Beurteilung der Wahlen und der Parteien steht uns nicht zu, so ist das völlig richtig.	When Mr Kaminski said that it was not up to us to assess the elections and the parties, he was quite right.
Aber wir können mit Zufriedenheit feststellen, dass doch jene Kräfte gewonnen und die Mehrheit haben, die für eine weitere Annäherung an die Europäische Union eintreten.	However, we can note with satisfaction that those who advocate a closer relationship with the European Union won and have the majority.
Daher sollten wir auch von unserer Seite die Hände entgegenstrecken.	We should therefore hold out our hand to them.
