Frau Präsidentin! Kanada ist - das möchte ich vorausschicken - ein wunderbares Land.	Madam President, Canada is - I would like to say this at the outset - a wonderful country.
Großartige Menschen, großartige Leistungen, ein wichtiger Partner für die EU.	Wonderful people, wonderful achievements - an important partner for the EU.
Aber einem guten Partner muss man auch Fragen stellen dürfen.	However, we must be able to ask questions of a good partner.
Wenn hier heute das Thema sehr simpel auf Sand und Seehunde reduziert wird, dann liegen manche unserer Kollegen falsch.	Many fellow Members are wrong to simply reduce this matter to sand and seals today.
Ölsand ist nur ein Beispiel für eine sagenhafte Umweltzerstörung.	The tar sands represent just one example of incredible environmental destruction.
Wer sich Kanada angesehen hat, weiß, dass hier Umweltzerstörung in Dimensionen wie in Brasilien stattfindet.	Anyone who has seen Canada knows that environmental destruction is taking place there on a scale to match Brazil.
Darüber hinaus hat diese Umweltzerstörung auch Einfluss auf die angestammte Bevölkerung, auf die first nations.	This environmental destruction also has an impact on the indigenous people, the First Nations.
Dort wird deren Umfeld zerstört.	Their environment is being destroyed.
Wer sich ein bisschen in Kanada auskennt, British Columbia besucht hat und weiß, wie hier von internationalen Konzernen darauf hingewirkt wird, die indigenen Völker dazu zu bewegen, auf ihre angestammten Gebiete zu verzichten und sich die Gebiete abkaufen zu lassen, der kann nicht einfach darüber hinweggehen.	Anyone who knows a bit about Canada, has visited British Columbia and knows how international corporations have used their influence here to make the indigenous peoples give up their ancestral areas and allow these areas to be bought up, cannot simply ignore this.
Wir sprechen sehr viel über klare Worte, über Minderheitenschutz in an die EU angrenzenden Ländern.	We talk a great deal about clear language and about protection of minorities in countries adjacent to the EU.
Es ist jedoch auch wichtig, dass wir über den Schutz der Minderheiten, der Urbevölkerung in Kanada ein Wort verlieren.	However, it is also important for us to speak out with regard to the protection of the minorities that are the aboriginal peoples of Canada.
