Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen!	Mr President, Commissioner, ladies and gentlemen.
Ich glaube, Herr Schnellhardt hat den entscheidenden Punkt benannt.	I think Mr Schnellhardt has highlighted the main point.
Die Geräte, um die es hier geht, Sportboote und vor allem auch Wasserscooter, dienen allein dem Freizeitsport.	The equipment at issue here - recreational craft and, more importantly, jet skis - is used solely for leisure activities.
Also nichts, was unsere Gesellschaft unbedingt braucht, sondern Freizeitverhalten von Bürgerinnen und Bürgern.	In other words, it is something our society can do without.
Wenn man die Umwelt nicht deswegen belastet, weil es gesellschaftlich notwendig ist, sondern aus reinem Freizeitvergnügen, sollten die Geräte so sauber und so leise sein, wie es irgend geht.	If we are to pollute the environment not because society needs to but merely in the pursuit of leisure, then this equipment should be as clean and quiet as possible.
Deswegen ist es richtig und notwendig, dass wir diese Richtlinie in dem einen oder anderen Punkt verbessern.	It is therefore right and proper that we should want to improve on one or two points in this directive.
Herr Berichterstatter, es geht nicht um die traditionellen Kanalschiffe in Großbritannien, es geht nicht um die Schiffe, die in Eigenarbeit gebaut wurden und nicht vermarktet werden.	With all due respect to our rapporteur, this is not about canal boats in Great Britain, it is not about self-build craft which are not marketed.
Die sind nicht das entscheidende Problem, und für die haben wir auch Ausnahmeregelungen geschaffen.	That is not where the problem lies and we have allowed derogations for these craft.
Das entscheidende Problem sind die Sportfahrzeuge und - ich sage noch einmal - insbesondere Wasserscooter, die in großen Stückzahlen produziert werden und in sensiblen, auch der Naherholung und der Trinkwassergewinnung dienenden Gewässern eingesetzt werden.	The main problem is with sports craft and - I repeat - jet skis in particular, which are produced in large numbers and used on sensitive inland waters, including waters used for relaxation and drinking water supplies.
Insofern brauchen wir für diese Bereiche sehr strikte Vorschriften, die die Technik, die wir ja bei mobilen Maschinen - bei PKW, bei LKW - schon adaptiert und eingeführt haben, auch auf die Motoren von Sportbooten übertragen.	In this respect, we need very strict provisions for these areas in order to transfer the technology which we have already adapted and introduced for other mobile engines - in cars and lorries - to engines for recreational craft.
Das kann man nicht von heute auf morgen machen.	This cannot be done from one day to the next.
Das ist auch völlig klar.	That much is obvious.
Da bedarf es einer gewissen Übergangszeit, da sind wir alle Realisten, und gestehen den Herstellern dieses zu.	We need a certain transitional period here, we are all pragmatists here, and we shall give manufacturers a transitional period.
Aber wir brauchen die technologische Umsetzung, damit Freizeitverhalten möglichst wenig Abgase und möglichst wenig Lärm erzeugt.	We need to apply the technology, however, so that leisure activities cause the minimum possible exhaust emissions and the minimum possible noise.
