im Namen der S&D-Fraktion. - Frau Präsidentin, verehrte Kolleginnen und Kollegen!	Madam President, ladies and gentlemen, let me just point one thing out before I start.
Lassen Sie mich bitte vorab eines feststellen: Der Basler Ausschuss ist eine Runde von mehr oder weniger klugen Zentralbankern und Aufsehern, aber er ist ganz sicherlich nicht der Rat der Weisen, der unfehlbar wäre, und er ist schon gar nicht das Gesetz!	The Basel Committee is a group of more or less intelligent central bankers and overseers, but it is certainly no infallible council of wise men and it is definitely not the law.
Der Gesetzgeber sitzt hier - Herr Kommissar, Sie wissen das, und wir wissen, dass Sie das wissen, - und dieser Gesetzgeber wird darauf achten, was auf den Tisch kommt, und ob das Sinn ergibt, was hier auf den Tisch kommt.	This House is the legislative body - Commissioner, you know that, and we know that you do - and this legislative body will pay close attention to what is put on the table and, where it makes sense, to what is put on the table here, too.
Natürlich wollen wir, dass die Eigenkapitalvorschriften verschärft werden.	Clearly, we do want the rules on capital requirements to be tightened up.
Was denn sonst nach dieser Krise, in der wir uns immer noch befinden? 20 bis 30 % des Bruttosozialprodukts unserer Volkswirtschaften sind als Bankenrettungsschirm verpfändet worden.	How could we not want that, in the wake of the economic crisis in which we still find ourselves? 20 to 30% of the gross national product of our national economies are in pawn as the rescue package for the banks.
Natürlich erwarten die Menschen draußen, dass wir anständige Bankenregeln machen, damit wir uns nicht wieder neu in eine solche Krise hineinbegeben.	The people expect us, of course, to make respectable banking rules so that we do not find ourselves in a crisis like this one again.
Natürlich wollen wir, dass es in dieser Bankensicherung antizyklische Elemente gibt, wie sie sich z. B. in Spanien schon jahrelang bewährt haben, auch dort gegen Widerstände durchgesetzt werden mussten, aber sich heute bezahlt machen, weil sie entsprechend frühzeitig umgesetzt worden sind und das Bankensystem nicht schlechter gemacht haben, sondern robuster haben werden lassen.	Clearly, we want there to be counter-cyclical elements in this banking safeguard like those, for example, that have already been proving their worth in Spain for years. Although there, too, they had to be implemented in the face of opposition, they are paying off today because they were implemented at an appropriately early point and they did not make the banking system worse; they made it more robust.
Aber es gibt zentrale Fragen, und ich bin Berichterstatter Karas ausdrücklich dankbar, dass er diese zentralen Fragen in den Mittelpunkt seines Initiativberichts gerückt hat, den wir voll und ganz unterstützen können.	There are key issues, though, and I am truly grateful to the rapporteur, Mr Karas, for having put these key issues at the heart of his own-initiative report, which we find ourselves absolutely and totally able to support.
Erstens: Ja in der Tat, wir brauchen eine Auswirkungsstudie, und zwar eine komplexe Auswirkungsstudie, die deutlich macht, was die Auswirkungen zum einen auf den finanziellen Sektor in allen seinen Teilen, aber natürlich insbesondere auf die reale Wirtschaft sind, auf die Frage, wie geht es eigentlich weiter mit den Kreditfinanzierungsbedingungen der kleinen und mittleren Unternehmen.	The first of these is that, yes, indeed, we do need an impact study, specifically a complex impact study that makes it clear what the impact is, for one thing, on the financial sector in all its parts but also, of course, in particular, what the impact is on the real economy. What is the impact on the issue of what the future actually holds for loan financing conditions for small and medium-sized enterprises?
Zweitens: Wir brauchen die Sicherheit dafür, dass die Vereinbarungen diesmal anders als in der Vergangenheit auch in anderen Hoheitsgebieten umgesetzt werden.	The second issue is that we need the certainty that this time, unlike in the past, the agreements will also be implemented in other territories.
Das wollen wir wissen, bevor wir die Gesetzgebung machen, weil ansonsten eine neue Asymmetrie eintreten wird, die wir nicht verantworten können.	We need to know that before we legislate, as otherwise there will be a new asymmetry for which we cannot be responsible.
Und drittens: Es darf keine Diskriminierung von Rechtsformen geben.	The third issue is that there can be no discrimination in terms of legal forms.
Diejenigen, die sich in der Vielgliedrigkeit des europäischen Bankensystems in der Krise besonders bewährt haben - und das sind die Banken, die auf den Mittelstand geachtet haben, das sind die Banken, die das Privatkundengeschäft im Auge gehabt haben und eben nicht die grenzüberschreitenden Risiken hervorgerufen haben -, dürfen nicht bestraft werden für die Solidität ihrer Aufstellung.	Those forms among the diversity of the European banking system that particularly proved themselves during the financial crisis - and that means those banks that looked after the small and medium-sized business sector and those banks that were focusing on private customers and thus did not elicit cross-border risks - must not be penalised for the solidarity of their establishment.
Das ist nicht hinreichend gewährleistet in der Vorlage, die wir haben.	The proposal on the table at the moment does not do enough to ensure this.
Deshalb sind wir der Auffassung, dass sie nachgebessert werden muss, und dass wir darüber nachdenken müssen, wie wir das denn praktisch auch anpacken können.	We therefore believe that the proposals need to now be improved and that we need to consider how we can tackle this issue in practical terms.
Das public banking insgesamt ist von hohem Wert, wenn es vernünftig betrieben wird.	Public banking overall is of major value, provided it can be run on a sensible basis.
Man muss hier auch - Stichwort stille Einlage - danach fragen, wie das eigentlich in Zukunft abgewickelt werden soll, wenn wir entsprechende Vorschriften einkaufen, wie sie in Basel vorgesehen sind.	We do also need to ask - and I am thinking here about silent partnership reserves - how this will actually be effected in future, if we buy the regulations as they are envisaged in Basel.
Das kann nicht das letzte Wort sein, und das ist auch nicht der letzte Punkt, wie wir ihn akzeptieren werden.	This cannot be the last word, nor is it the final version that we will accept.
Die Kapitalinstrumente müssen daran gemessen werden, inwiefern sie gleich und ohne falsche Vorbehalte Qualität sichern, bei Verlusten absorbierend zur Verfügung stehen, dauerhaft und zahlungsflexibel sind, so wie das auch vom Berichterstatter in seinem Bericht gefordert wird.	The capital instruments need to be measured in order to see the extent to which they ensure consistent quality without false provisos, are available to absorb losses, are durable and flexible in terms of payment, as the rapporteur also argues in his report.
Das ist eine vernünftige Grundposition, von der wir ausgehen.	It is a reasonable starting position for us to take.
Wir wollen, dass Hebelwirkungen begrenzt werden und dass den unterschiedlichen Risikoprofilen angemessen Rechnung getragen wird.	We want the leverage effects to be limited and reasonable allowance to be made for the different risk profiles.
So werden wir Ihren Vorschlag, Herr Kommissar, prüfen, und wir hoffen auf beste Zusammenarbeit mit dem Parlament.	We will examine your proposal, therefore, Commissioner, and we hope for the best of cooperation with Parliament.
