Herr Präsident, verehrte Kolleginnen und Kollegen!	Mr President, I need not repeat what the rapporteur said or the points Mr Coelho made.
Ich brauche nicht zu wiederholen, was die Frau Berichterstatterin gesagt hat, auch nicht, was der Kollege Coelho bereits ausgeführt hat.	All that is indeed very true and correct. It is easy to counterfeit the euro.
Das ist nämlich alles richtig und zutreffend. Der Euro kann leicht gefälscht werden.	We are going through a dangerous transitional phase in which a phenomenon has appeared in criminal law that is perhaps unique in monetary history.
Wir befinden uns in einer gefährlichen Übergangsphase, in der strafrechtlich ein - ich glaube, in der Geschichte des Geldwesens - wohl einzigartiges Phänomen auftritt, nämlich daß ein noch gar nicht vorhandenes Geld, das noch nicht in Umlauf ist, sondern nur als Buchgeld vorhanden ist, dennoch bereits gefälscht werden kann, daß aber aufgrund der Tatsache, daß es noch nicht als Währung in Umlauf ist, der Straftatbestand der Geldfälschung zu diesem Zeitpunkt noch nicht wirksam werden kann.	It is that a currency that does not even exist yet, that is not in circulation, but exists only as bank deposit money, can nevertheless be counterfeited already. Yet because that currency is not yet in circulation as such, counterfeiting euros does not at present constitute a criminal offence.
Ein ganz kompliziertes Problem.	It is a highly complex problem.
Das heißt, man kann, wenn wir nicht schnell handeln, - da hat die Kollegin Cederschiöld recht - jetzt schon ein paar falsche Euros machen und eventuell für deren Inumlaufbringung nicht zur Rechenschaft gezogen werden.	If we do not act promptly - as Mrs Cederschiöld rightly said - anyone can produce a few counterfeit euros now and possibly not be prosecuted for subsequently putting them into circulation.
Für manch einen, erlaube ich mir an Rande zu sagen, mag das eine attraktive Aussicht sein.	Let me say in passing that this may seem an attractive prospect for a number of people.
Was tut die Europäische Union nun dagegen?	So what is the European Union doing about it?
Eine Menge von richtigen Dingen, die die Kollegin Cederschiöld beschrieben hat, aber das Parlament muß im Zusammenhang mit dem, was sie beschrieben hat, weniger zum Inhalt des Rahmenbeschlusses, auch weniger zum Bericht, den die Kollegin Cederschiöld dazu verfaßt hat, etwas sagen, sondern zu den Verfahren, die angewendet werden.	It is doing a number of things that are right, as Mrs Cederschiöld has described; but, in the context of these things she described, Parliament must look not so much at the content of the framework decision, not so much at the report drawn up by Mrs Cederschiöld, but more at the procedures that are being applied.
Das Europäische Parlament ist vom Rat, der mit weitem Abstand undemokratischsten Institution in Europa, in einer Art und Weise konsultiert worden, die dem Begriff der Demokratie Hohn spricht.	The manner in which the Council, which is by far the most undemocratic institution in Europe, consulted the European Parliament makes a mockery of the concept of democracy.
Wir haben einen Text zur Konsultation übermittelt bekommen, an dem der Rat selbst über einen sehr langen Zeitraum gebastelt hat, übrigens nur zu Teilen mit Erfolg - da komme ich gleich noch drauf zu sprechen.	We received a text for consultation which the Council had been working on for a very long time, incidentally with only partial success - I will come to that in a moment.
Das Europäische Parlament soll nun innerhalb von drei Monaten zu diesem komplexen, schwierigen, teilweise widersprüchlichen Papier des Rates Stellung nehmen.	Now the European Parliament is supposed to state its position on this complex, difficult and, at times, contradictory Council document in the space of three months.
Es ist nur dem ungeheuren Einsatz der Kollegin Cederschiöld zu verdanken sowie dem Verzicht des Europäischen Parlaments, von seinem demokratischen Recht Gebrauch zu machen, in ausreichender Zeit und unter Verfügbarkeit aller Texte in allen Sprachen seine Konsultationsverfahren durchzuführen, daß wir jetzt in der vom Rat gewünschten zeitlichen Vorgabe zu einer Stellungnahme und damit zu der im März anstehenden Beschlußfassung kommen können.	It is only thanks to the immense efforts of Mrs Cederschiöld and to Parliament' s decision not to stand by its democratic right to conduct its advisory procedure over an adequate period of time and to have all the documents available in all the languages, that we have now managed to give our position by the date set by the Council, so that the decision scheduled for March can indeed be taken.
Bei einem so wichtigen Thema, wie dem der Geldfälschung oder des Schutzes vor der Geldfälschung und der strafrechtlichen Harmonisierung, die dafür notwendig ist, kann man eigentlich nicht in diesem Schweinsgalopp arbeiten, den uns der Rat abverlangt.	On a subject as important as counterfeiting and protection against counterfeiting and harmonising the necessary criminal law provisions we cannot really work at the ridiculous pace the Council is demanding of us.
Deshalb will ich für meine Fraktion hier in aller Deutlichkeit sagen: Wir haben mit der Kollegin Cederschiöld lange darüber diskutiert, ob es sinnvoll ist, so zu arbeiten.	So let me state quite clearly here, on behalf of my group, that we discussed at length with Mrs Cederschiöld whether it is reasonable to work like this.
Wir sind zu dem Ergebnis gekommen, daß es nicht so ist, aber angesichts der Wichtigkeit des Gegenstandes haben wir uns darauf geeinigt, das Verfahren so zu akzeptieren.	We concluded that it is not, but given the importance of the issue we nonetheless agreed to accept this procedure.
Der vorliegende Rahmenbeschluß ist ganz ohne Zweifel ein Fortschritt.	This framework decision does without any doubt represent some progress.
Nur, die eigentlich vom Rat gewünschte Rechtssicherheit - das hat die Kollegin Cederschiöld schon ausgeführt - wird am Ende nicht vollständig erreicht, weil bei den angestrebten Mindeststandards, dem Mindeststandard der Strafbarkeit und vor allen Dingen auch der Anwendung der gleichen Strafrechtsnormen in allen Mitgliedsländern - auch in denen, die den Euro noch nicht eingeführt haben, in denen aber theoretisch gefälscht werden könnte -, diese Defizite nicht behoben worden sind.	Only, as Mrs Cederschiöld pointed out, in the end it does not fully achieve the legal certainty the Council wanted because various shortcomings have not been dealt with. They relate to the minimum rules we are seeking to establish, the minimum rules relating to a punishable offence and in particular the application of the same criminal law norms in all Member States, including those that have not yet introduced the euro but where it could theoretically be counterfeited.
Sie sind unter anderem deshalb nicht behoben worden, weil der Rat wie üblich nicht über seinen eigenen Schatten springen kann und es auch bei diesem Rahmenbeschluß vorzieht, gerade im Bereich der justitiellen Zusammenarbeit weiterhin auf der Ebene der Regierungszusammenarbeit zu verharren.	One reason they have not been dealt with is that as ever the leopard cannot change its spots, i.e. in the case of this framework decision, which specifically relates to judicial cooperation, the Council once again prefers to adhere to the level of government cooperation.
Deshalb ist - das will ich hier zitieren - dieser Rahmenbeschluß auch nur eine Ergänzung eines internationalen Abkommens, das schlappe 71 Jahre alt ist, nämlich das Abkommen vom 20. April 1929 zur Bekämpfung der Falschmünzerei und der dazugehörigen Protokolle.	That is why, and I quote, this framework decision "is confined to supplementing the provisions of the International Convention of 20 April 1929 for the suppression of counterfeiting and its Protocol" , i.e. the provisions of a timeworn international convention that is a good 71 years old.
Das heißt, das, was wir jetzt bei dem Euro an justitieller Grundlage zu seinem Schutz erarbeiten, erfolgt nicht dort, wo es eigentlich hingehören müßte, nämlich im Bereich des Gemeinschaftsrechts, sondern es erfolgt als Ergänzung internationaler Übereinkommen, die 71 Jahre alt sind.	That means that the legal basis we are now seeking to establish to protect the euro does not derive from Community legislation, as it should, but merely takes the form of provisions supplementing an international convention dating back 71 years.
Ob das die Zukunft der Europäischen Union, der Justizzusammenarbeit in der Europäischen Union sein kann, das überlasse ich der Bewertung der hier anwesenden Festversammlung.	I leave it to the assembled company in this Chamber to decide whether that can be the future of a European Union based on judicial cooperation.
Ich danke Ihnen für die Aufmerksamkeit, die Sie mir bei unserem gemeinsamen Nachtprogramm geschenkt haben!	Thank you for your attention during our night sitting together.
