Herr Präsident! Was wollen wir mit dem Europäischen Diplomatischen Dienst erreichen?	Mr President, what do we want to achieve with the European diplomatic service?
Wir wollen, dass die politischen Prioritäten der Europäischen Union für das 21. Jahrhundert umgesetzt werden.	We want to set the political priorities of the European Union for the 21st century.
Viele Länder, viele Menschen außerhalb Europas erwarten eine starke Rolle der Europäischen Union, den Frieden zu sichern, Konflikte zu verhindern und dort, wo das nicht funktioniert hat, den Frieden wiederherzustellen und wiederaufzubauen.	Many countries and many people outside Europe expect Europe to play a strong role in peacekeeping and conflict prevention and, in areas where this has not worked, to restore peace and to help reconstruct the country in question.
Deswegen macht es auch Sinn, ein Peacebuilding Department vorzusehen.	For this reason, it makes sense to establish a peacebuilding department.
Nun ist es aber so, dass in den Verhandlungen die Vertreter der Mitgliedstaaten im Rat zum Teil mit beiden Füßen auf der Bremse stehen - und sogar die Vertreter von Mitgliedstaaten, die man als gemeinhin proeuropäisch ansieht, bestenfalls mit einem Fuß auf dem Gas und einem Fuß auf der Bremse stehen.	However, in the negotiations, some of the representatives of the Member States in the Council have put their foot heavily on the brakes, including the representatives of Member States which are generally regarded as pro-European. At best they have one foot on the accelerator and one on the brakes.
Das erzeugt zwar viel Hitze, aber wenig Bewegung.	This generates a lot of heat, but not much movement.
Wir würden uns daher wünschen, dass die Verhandlungen in Richtung eines wirklich starken Europäischen Auswärtigen Dienstes mit Kontrolle durch das Europäische Parlament gelingen.	We therefore hope that the negotiations for a really strong European External Action Service (EEAS) controlled by the European Parliament are successful.
Die Bürgerinnen und Bürger wollen, dass Europa mit einer Stimme spricht.	The citizens of Europe want Europe to speak with one voice.
Die Menschen außerhalb erwarten es.	People outside Europe expect this.
Der EAD wird das nicht alleine leisten können.	The EEAS will not be able to achieve this on its own.
Aber er ist ein Schritt in die richtige Richtung.	However, it represents a step in the right direction.
Sorgen wir dafür, dass das funktioniert.	Let us make sure that it works.
