. – Herr Präsident!	.
Ich habe nur eine Minute, also werde ich mich kurz fassen.	Mr President, I have only a minute, so I will be brief.
Frau Rothe, unermüdliche Kämpferin, vielen Dank für dieses gute Werk.	Many thanks, Mrs Rothe, you tireless campaigner, for this good piece of work.
Ich möchte ein Beispiel für das Potenzial anführen. In Oberösterreich werden pro Jahr 1 500 Häuser gebaut.	I would like to give an example of the potential involved here; in Upper Austria, 1 500 new houses are built every year.
Vor zehn Jahren waren davon 1 200 mit Ölheizungen ausgestattet.	Ten years ago, 1 200 of them were fitted with oil heating.
Dieses Jahr wurden in Oberösterreich ganze sieben mit Ölheizungen ausgestattet. Alles andere wurde ersetzt durch Biomasse, Netzwerke oder Pellets-Heizung.	In Upper Austria this year, only seven were so equipped; all the others used biomass, networks or pellets instead for heating.
Das hat Arbeitsplätze geschaffen für die Waldwirtschaft, für die Landwirtschaft, für die lokalen Installateure, und sogar die Ölhändler sind heute Pellets-Händler.	That created jobs in the forestry sector, in agriculture, and for local installing engineers, so that today, indeed, oil merchants have gone over to selling pellets.
Dahin müssen wir, d. h. wir müssen die gute Praxis, die lokal und regional vorhanden ist, auf die europäische Ebene übertragen.	That is the way we must go, or, to put it another way, we have to take the good practice that is to be found at the local and regional levels, and put it to work across Europe.
Übrigens hat auch Dänemark in diesem Bereich vorbildliche Arbeit geleistet. Wir hier im Parlament werden heute Nachmittag in dieser Richtung abstimmen.	I might add that Denmark, too, has done exemplary work in this respect, an example that we in this House will, this afternoon, vote to follow.
Sie müssen dann Ihre Arbeit machen.	It will then be for you to put the work in.
Und noch ein Wort zum Grünbuch: Herr Kommissar, wenn wir die Herzen der Europäer gewinnen wollen, dann muss in das Grünbuch ein Kapitel hinein: Das ist das, was die Bürger von Europa, von uns, erwarten, und Sie sollten nicht hinter diesen Standard zurückfallen.	Just another thing on the subject of the Green Paper, Commissioner: if we are to win Europeans over, there needs to be a chapter in it with the title ‘’ That is what the people of Europe expect of us, and you should not fall short of that standard.
