Herr Präsident!	.
Bei meinem jüngsten Besuch in dem Land, über das ich berichte - Lettland -, habe ich den Eindruck gewonnen, dass die Mitgliedschaft in der Europäischen Union in den Köpfen der politischen Elite noch nicht angekommen ist.	Mr President, on my latest visit to the country on which I am reporting – Latvia – I gained the impression that membership of the European Union has still not found its way into the minds of the political elite.
So wurde vom Monitoring-Bericht erwartet, dass er die Erfolge des Heranführungsprozesses preist.	They expected the monitoring report to praise the successes of the alignment process.
Das ist aber nicht seine Aufgabe.	That is not its purpose, however.
Seine Aufgabe ist es, die für das Zusammenleben in der Europäischen Union direkt und indirekt relevanten Probleme zu analysieren, damit die Integration in der Europäischen Union zum Erfolg aller Beteiligten wird.	Its purpose is to analyse the problems of direct and indirect relevance for coexistence within the European Union, so that integration into the European Union can be a success for all concerned.
Ich habe mich darüber gefreut, dass der Repräsentant der lettischen Regierung in Brüssel und ehemalige Chef-Unterhändler des Landes meine Arbeit als gründlich und seriös beurteilt und mir bestätigt hat, dass der Bericht die Probleme des Landes trifft.	I was pleased that the Latvian Government’s representative in Brussels and the country’s former chief negotiator considers my work thorough and sound and has confirmed to me that the report correctly identifies the country’s problems.
Ich möchte mich an dieser Stelle für den intensiven Austausch mit der Botschaft und den anderen Ministerien sowie den staatlichen Stellen bedanken.	I would at this point like to express my thanks for the intensive discussions with the embassy and other ministries and state bodies.
Diese haben mir mit ihren Informationen dabei geholfen, einen realistischen Überblick über die Situation im Land zu bekommen.	The information they provided helped me to gain a realistic picture of the situation in the country.
Ich möchte mich auch für die gute Zusammenarbeit bei den KollegInnen bedanken.	I would also like to thank my colleagues for their close cooperation.
So konnte ich - anders als die Kommission - feststellen, dass die Maßnahmen des neuen Antikorruptionsbüros als wirkungsvoll und erfolgsversprechend eingestuft werden können.	Unlike the Commission, I found that the work of the new Corruption Prevention Bureau can be described as effective and promising.
Ich bin davon überzeugt, dass Lettland sein negatives Image dadurch beseitigen kann.	I am convinced that it will enable Latvia to overcome its negative image.
Ich bin bei meinem Besuch im Land auch einer engagierten Justizministerin begegnet, und ich bin davon überzeugt, dass die Reformen bei ihr in guten Händen liegen und schneller, als im Kommissionsbericht vermutet, zum Erfolg führen.	When I visited the country, I also met a committed minister of justice, and I am convinced that with her the reforms are in good hands and will bring success quicker than assumed in the Commission report.
Gleiches kann ich aus dem Bereich Agrarpolitik berichten.	I can say the same about agricultural policy.
Ich habe mich ebenfalls darüber gefreut, dass ich mit meinem Bericht eine politische Debatte über die wohl wichtigste gesellschaftliche Frage im Land angestoßen habe, nämlich: Wie kann die Integration der russischsprachigen Bevölkerung besser gelingen?	I was also pleased to find that my report triggered a political debate about what is probably the country’s greatest social problem, how to better integrate the Russian-speaking population.
In der Auseinandersetzung über meinen Bericht wurde darüber diskutiert, wie für immerhin ein Fünftel der Bevölkerung die Staatsbürgerschaft erreicht werden kann und wie der Prozess beschleunigt werden kann.	The debate surrounding my report included a discussion of how citizenship can be achieved for what amounts to one fifth of the population and how the process can be speeded up.
In der Hoffnung, dass die Debatte über meine Vorschläge, die ja auch vom Europarat bekräftigt wurden, zum Erfolg, also zu größeren Einbürgerungszahlen führen, habe ich die Vorwürfe, Verurteilungen und Beschimpfungen, die sich in der letzten Zeit über mich ergossen haben, geduldig ertragen.	I have borne patiently the accusations, condemnations and insults that have been hurled at me recently in the hope that the debate on my proposals, which after all were backed by the Council of Europe, would have a successful outcome, that is result in higher figures for naturalisation.
Anders als von einzelnen lettischen Politikern behauptet, sind der Inhalt und die Forderungen meines Berichtes identisch mit denen anderer europäischer Institutionen.	Contrary to what some Latvian politicians are claiming, the content of my report and the things that it calls for are identical to those of other European organisations.
Allerdings darf man dem Europarat und dem Hohen Kommissar der OSZE nicht vorwerfen, dass sie einer bestimmten politischen Familie zugehören.	We cannot accuse the Council of Europe and the OSCE High Commissioner of belonging to a particular political family.
Es stimmt allerdings, dass ich in meinem Bericht den heroischen nationalen Ansprüchen eines Teils der sich für unfehlbar haltenden politischen Elite im Land nicht gerecht geworden bin.	It is of course true that in my report I did not satisfy the heroic national pretensions of part of the country’s political elite that considers itself infallible.
Das war nicht mein Ziel.	That was not my aim.
Ich habe diesen Bericht in der Verantwortung gegenüber den gemeinsamen Werten in unserer Europäischen Union geschrieben.	I wrote this report with a sense of responsibility to the common values of our European Union.
Dazu gehört, dass die Würde des Menschen unteilbar ist, und dazu stehe ich.	These include the indivisibility of human dignity and I stand by that.
