Herr Präsident, meine Damen und Herren! Ich kann dem Berichterstatter nur recht geben.	Mr President, ladies and gentlemen, I can only agree with the rapporteur.
Bei der Anwendung neuer Technologien darf nicht die Technik, sondern muß immer der Mensch im Mittelpunkt stehen.	In the application of new technologies it is not the technology that should be centre stage but always the people.
Seine individuellen Rechte und Bedürfnisse haben Vorrang und müssen auf jeden Fall geschützt werden.	Their individual rights and needs have priority and must be protected at all times.
So selbstverständlich diese Feststellung klingt, so schwer ist es oftmals, sie in die Praxis umzusetzen.	As obvious as this observation sounds, it is often difficult to put it into practice.
Die Geschichte der Richtlinie über die Verarbeitung personenbezogener Daten und den Schutz der Privatsphäre im Bereich der Telekommunikation hat es uns wieder einmal gezeigt.	The history of the Directive concerning the protection of personal data and privacy in the context of telecommunications has shown this once more.
Es war ein langer, steiniger Weg, der erst im Vermittlungsverfahren ein gutes Ende fand.	It was a long and rocky road which only had a happy ending in the conciliation procedure.
Die Richtlinie ergänzt die allgemeine Datenschutzrichtlinie im Hinblick auf den Persönlichkeitsschutz angesichts der technischen Möglichkeiten moderner Netze für die Telekommunikation.	The Directive supplements the general data protection directive as regards the protection of privacy in view of the technical facilities available to the latest telecommunications networks.
Sie räumt dem Datenschutz bei der Telekommunikation einen ähnlichen Stellenwert ein wie dem Schutz der Gesundheit, bei dem das Europäische Parlament in vielen Bereichen unseres Lebens besonders strenge Maßstäbe anlegt.	It gives data protection in the context of telecommunications a similar importance to the protection of health for which the European Parliament has set particularly tough standards in many areas of our lives.
Dieses hohe Niveau ist beim Schutz personenbezogener Daten und der Abgrenzung des privaten Bereichs gegenüber Dritten absolut notwendig.	This high standard is an absolute necessity to protect personal data and safeguard people's private lives against third parties.
Andernfalls besteht die Gefahr, daß wir die Individualität einzelner Menschen auf dem Altar der Möglichkeiten einer durchaus notwendigen und begrüßenswerten Technik opfern und den finanziellen Begehrlichkeiten derjenigen schutzlos ausliefern, die über die Telekommunikation herrschen.	On the other hand, there is a danger that we are sacrificing people's individuality on the altar of the opportunities offered by a technology which is absolutely necessary and welcome and delivering them up without protection to the financial greed of those who run the telecommunications industry.
Anders ausgedrückt: Wir mußten einen Individualschutz erreichen, der jedem selbst die Entscheidung überläßt, wie weit die moderne Telekommunikation an ihn herankommen kann.	In other words, we have to arrive at an individual protection scheme which leaves the decision to each person as to how much access to him or her modern telecommunications should have.
Lassen Sie mich das Beispiel des Direktverkaufs per Telefax oder Telefon nennen.	Let me quote you the example of direct selling by fax or telephone.
Wer hätte sich nicht schon über den ungebetenen Anruf eines Versicherungsvertreters zur Unzeit geärgert?	Who has not been annoyed by an unsolicited call from an insurance sales person at an inconvenient moment?
Das ist mit dem Inkrafttreten der Richtlinie vorbei. Dann bedürfen solche und vergleichbare Anwendungen der Telekommunikationstechnik der Zustimmung der Betroffenen.	This will be a thing of the past when the directive comes into force as this and similar applications of telecommunications technology will require the consent of the person affected.
Ich setze mich für das Vermittlungsergebnis ein, weil es gelungen ist, bei einem hohen Individualschutz das zweite wichtige Ziel nicht aus dem Auge zu verlieren: Der freie Datentransfer muß gewährleistet sein.	I support the result of the conciliation procedure because while maintaining a high level of protection it has managed not to lose sight of the second main goal: the free transfer of data must be guaranteed.
Lassen Sie mich zum Schluß auf ein geradezu kurioses Beispiel hinweisen, wie der ungehinderte Datenaustausch in Gefahr geraten war.	Let me conclude by pointing out a particularly strange example of the way the unrestricted exchange of data had been put at risk.
Da gab es angesichts weltumspannender Datennetze tatsächlich die Idee, unter dem Rubrum Subsidiarität in der Europäischen Union die Telekommunikation von Land zu Land unterschiedlich zu regeln.	Faced with data networks that span the globe, someone actually had the idea that, under the heading of subsidiarity in the European Union, telecommunications should be regulated differently in each country.
Da muß jemand Kommunikation und Kommerz verwechselt haben.	They must have got communications and commerce mixed up.
Uns ist es gelungen, dies zu verhindern, und das ist gut so!	We have succeeded in preventing this, and a good thing too!
