Herr Präsident, Frau Malmström, Herr Barrot, ein Wunder ist geschehen.	Mr President, Mrs Malmström, Mr Barrot, a miracle has occurred.
Zum ersten Mal in fünf Jahren werde ich Zeuge, wie der Rat an dieser Aussprache teilnimmt, und ich möchte dem schwedischen Ratsvorsitz meinen aufrichtigen Dank für dieses wichtige Zeichen aussprechen.	For the first time in five years, I am witnessing the Council taking part in this debate, and I would like to offer my sincere thanks to the Swedish Presidency of the Council for this major signal.
(Beifall)	(Applause)
Ich begrüße Sie herzlich zur Plenarsitzung, zum ersten Mal ist der Rat bei einer Aussprache über seine Entlastung vertreten.	A warm welcome to you to the plenary session, the first time the Council has been represented at the debate on its discharge.
Ende gut - alles gut, wie wir in Deutschland sagen?	All's well that ends well, as we say in Germany?
Nein, nicht in diesem Fall.	No, not this time.
Das Entlastungsverfahren mit dem Rat hat sich als unsäglich erwiesen und muss dringend auf die interinstitutionelle Tagesordnung gesetzt werden, die, nebenbei gesagt, erweitert werden muss, um die Präsidentin des Europäischen Rates zu umfassen.	The discharge procedure with the Council has shown itself to be ineffable and in urgent need of a place on the interinstitutional agenda, which, incidentally, needs to be extended to include the President of the European Council.
Wir haben einen neuen Akteur auf der europäischen Bühne und das vorhandene Verfahren kann und darf nicht so wie bisher fortgesetzt werden.	We have a new player on the European stage, and the existing procedure cannot, and must not, continue as it is.
Die Art und Weise, in der das Parlament um Informationen und Gesprächspartner betteln muss, um Antworten auf seine ausstehenden Fragen zu erhalten, ist einer parlamentarischen Demokratie unwürdig.	The way that Parliament has to beg for information and dialogue partners in order to get answers for its outstanding questions is unworthy of a parliamentary democracy.
Der Rat gebärdet sich als höchste und absolutistische Behörde, und ich, als Bürger der Europäischen Union, stehen beschämt über sein Verhalten vor den Wählern meines Wahlkreises.	The Council styles itself as the ultimate and absolutist body and I, as a citizen of the European Union, stand before the voters of my constituency ashamed of this behaviour.
Das Verfahren, dass wir bisher hatten, ist einfach absurd und darf zukünftig keine Fortsetzung mehr finden.	The procedure that we have had so far is simply absurd and it must not be allowed to carry on in future.
Ich möchte mich nochmals beim schwedischen Ratsvorsitz bedanken.	I would like to thank the Swedish Presidency once again.
Wir haben einen interessanten Anfang gemacht.	We have made interesting beginnings.
Zuerst gab es dieses Gespräch, ein neuer, nie dagewesener Meilenstein, und die Tatsache, dass Sie heute anwesend sind, ist ein fantastisches Signal.	Firstly, there was this conversation, a new and unprecedented milestone, and the fact that you are present here today is a fantastic signal.
Der Ratsvorsitz muss sich, wie alle anderen EU-Institutionen, der Entlastung durch das Parlament anbieten; gleiches gilt, jetzt natürlich mehr denn je, für den Hohen Vertreter als Leiter des Auswärtigen Dienstes.	The Presidency of the Council, like all the other EU institutions, must put itself forward for discharge by Parliament, and the same applies, now more than ever, of course, to the new High Representative, as head of the new External Action Service.
Wir Abgeordnete müssen jetzt zeigen, dass uns dieses Thema wichtig ist, und dass wir es gemeinsam voranbringen müssen.	We MEPs must now show that this issue is important to us and that we have to drive it forwards together.
Diese Thema muss auf jeder Tagesordnung sein, und ich möchte die Kommission bitten, es auf die Tagesordnung zu setzen.	This issue must be on every agenda, and I would like to ask the Commission to put it on the agenda.
Es gefällt uns nicht, wie die Aussprache bisher verlaufen ist.	We do not like how the debate has been going so far.
Die Tatsache, dass wir nichts haben, nicht einen einzigen Vorschlag dafür, wie die Dinge in der Zukunft laufen sollen, beunruhigt uns.	The fact that we have nothing, not one single proposal, for how things should be in the future, disturbs us.
Lissabon darf kein Synonym für eine undurchschaubare Europäische Union werden, in der die Überwachung durch das Parlament plattgewalzt wird.	Lisbon must not become a synonym for an opaque European Union in which parliamentary supervision has been steamrollered.
Es ist die Möglichkeit für einen neuen Anfang mit einer starken Beteiligung von Seiten der gewählten Vertreter des Volkes, und die Gewährung der Entlastung für die zukünftigen Präsidentin des Europäischen Rates ist die erste Bewährungsprobe.	It is an opportunity for a new beginning with strong participation on the part of the elected representatives of the people, and the granting of discharge for the future President of the European Council is the first acid test.
