Herr Präsident, es ist bereits der zweite Bericht über Malta, den ich vorlegen darf.	Mr President, this is already the second report on Malta which I have had the honour of tabling.
Es steht außer Zweifel, dass das Europäische Parlament den Beitrittsprozess Maltas, dieser kleinen Mittelmeerinsel an der Scharnierstelle zwischen der Europäischen Union und Afrika, positiv und konstruktiv unterstützt und bewertet.	The European Parliament without doubt views the accession process of Malta, this small Mediterranean island at the interface between the European Union and Africa, positively and is supporting it constructively.
Der Bericht orientiert sich einerseits an den Kopenhagener Kriterien, die für alle Beitrittskandidaten gleichermaßen gelten, und geht andererseits auf die Besonderheiten Maltas ein, die sich aus seiner Insellage und aus seiner wirtschaftlichen und sozialen Struktur ergeben.	The report is, on the one hand, guided by the Copenhagen criteria, which apply equally to all of the accession countries, and on the other hand, it examines Malta's special characteristics, which result from its island position and from its economic and social structure.
An der politischen Grundsituation Maltas hat sich ja nichts geändert.	Malta's basic political situation is, of course, unchanged.
Malta erfüllt weiterhin die politischen Kriterien von Kopenhagen.	Malta is continuing to fulfil the Copenhagen political criteria.
Seine Institutionen sind demokratisch und funktionieren reibungslos.	Its institutions are democratic and function smoothly.
Es gibt keine besonderen Probleme in Bezug auf die Menschenrechte.	There are no particular problems as regards human rights.
In der Gesamtsituation der wirtschaftlichen, sozialen und kulturellen Rechte ist die Lage befriedigend.	The overall situation as far as economic, social and cultural rights are concerned is satisfactory.
Im wirtschaftlichen Bereich verfügt Malta über eine funktionierende Marktwirtschaft und ist in der Lage, mittelfristig dem Wettbewerb der EU standzuhalten, sofern es die noch anstehenden Strukturreformen durchführt.	In terms of the economy, Malta is a functioning market economy and is in a position to withstand competition from the EU in the medium term, provided that it carries out the structural reforms that are still pending.
Malta ist in diesem Bereich auf einem guten Weg, sowohl was den Abbau von Einfuhrabgaben bei Fertigerzeugnissen bis 2003 als auch die Beseitigung bestehender Kapitalkontrollen bis Ende 2002 betrifft.	Malta is doing well in this field, with regard both to phasing out import levies on finished products by 2003 and abolishing the remaining capital controls by the end of 2002.
Auch das 1999 verabschiedete weitreichende Privatisierungsprogramm, einschließlich wichtiger Versorgungsbetriebe in den nächsten fünf Jahren, weist in die richtige Richtung.	The far-reaching privatisation programme which was adopted in 1999, and which includes plans to privatise major utilities over the next five years, is also heading in the right direction.
