Frau Präsidentin! Ich danke unserer Berichterstatterin für ihren guten, umfassenden Bericht.	Madam President, I would like to thank our rapporteur for her sound and comprehensive report.
In den Grundsätzen besteht in diesem Haus ein breiter Konsens.	There is a broad consensus on the general principles here in the House.
Es ist höchste Zeit, dass der Gipfel zwischen der EU und Afrika im Dezember stattfindet.	The EU-Africa Summit in Lisbon in December cannot come too soon.
Es ist gut, dass wir uns auf eine gemeinsame Strategie einigen werden.	I welcome the fact that we will be agreeing a joint strategy.
Die Haltung des EP zum Sonderfall Mugabe ist seit Jahren bekannt.	The European Parliament's position on the special case of Mr Mugabe has been known for years.
Aber dieser Herr darf nicht zum Stolperstein für ein neues Kapitel der europäisch-afrikanischen Beziehungen werden.	However, this gentleman must not become a stumbling block to a new chapter in European-African relations.
Ich bin überzeugt, es gibt genügend europäische Regierungschefs, die klare und explizite Worte gegenüber diesem Herrn parat haben.	I believe there are enough European heads of government who have a clear and unequivocal message for that gentleman.
Dazu muss er anwesend sein und die Worte ertragen.	That is why he needs to be present and endure the message that will be delivered.
Als Vorsitzender der Delegation für die Beziehungen zum Panafrikanischen Parlament darf ich Ihnen einige spezifische parlamentarische Wünsche an die künftige Zusammenarbeit mit auf den Weg geben, auf die wir uns letzte Woche in Midrand geeinigt haben.	As Chairman of the delegation for relations with the Pan-African Parliament, may I express some specific parliamentary wishes for the future cooperation which we agreed last week in Midrand.
Die Parlamente Afrikas sind bisher weitgehend vernachlässigte Institutionen, das heißt, sie werden trotz ihrer auf dem Papier stehenden verfassungsmäßigen Rolle in der Regel weder von den eigenen Regierungen noch von den Geldgebern wirklich ernst genommen.	Africa's parliaments have tended to be neglected institutions. They have an important constitutional role on paper but their own governments and, indeed, donors tend not to take them very seriously.
Dabei hätten diese Parlamente bei entsprechender Ausstattung und nach erfolgreichem umfänglichem capacity building für die Abgeordneten und die Mitarbeiter in den Parlamentsverwaltungen, den Ausschüssen und den Fraktionen durchaus das Potenzial, ihre eigentlich vorgesehene politische Kontrolle der Exekutive tatsächlich wahrzunehmen.	Yet with proper resources and after successful and comprehensive capacity-building for Members and staff in the parliamentary administrations, committees and groups, these parliaments have the potential to perform their true role of exercising proper political scrutiny of the executive.
Das hätte auch den unwiderstehlichen Charme, dass wir eine einheimische, demokratisch legitimierte Überprüfungsinstanz hätten, die gerade bei auftretenden Problemen als Kritiker eher akzeptiert würde als auswärtige Geldgeber.	The irresistible appeal of this scenario is also that we would thus have scrutinising bodies at local level with democratic legitimacy, and when problems arise, their criticisms would be more likely to be accepted than those of foreign donors.
Ich fordere daher die Kommission auf, in ihre Länderprogramme gezielt das capacity building von Parlamenten mit aufzunehmen, damit wir in einigen Jahren tatsächlich feststellen können, dass afrikanische Politik in der Umsetzung zugunsten der Menschen besser geworden ist, auch mit Hilfe der jeweiligen nationalen Parlamente.	I therefore urge the Commission to incorporate parliamentary capacity-building on a targeted basis into its country programmes, so that in a few years time, we can genuinely see that African politics have become much more responsive, in practice, to the public's needs, also thanks to the involvement of the national parliaments.
