Wir beraten jetzt über unseren Bericht über die Lage der Schiffbauindustrie der Europäischen Union.	We are now discussing our report on the situation in world shipbuilding.
Hier haben wir zwei Vorlagen der Kommission, und zwar beide aus dem letzten halben Jahr, den zweiten und den dritten Bericht über die Lage der Schiffbauindustrie.	We have two documents from the Commission before us, namely the second and third reports on the situation in world shipbuilding, both of which have been presented in the past six months.
Unsere Stellungnahme, die wir im Ausschuss für Industrie, Außenhandel, Forschung und Energie einstimmig verabschiedet haben, bezog sich damals auf den zweiten Bericht.	The opinion which we unanimously adopted in the Committee on Industry, External Trade, Research and Energy related to the second report.
Der dritte Bericht ist erst danach erschienen, und zwischenzeitlich haben die Kommission und der Rat darüber befunden, ob die Schiffbaubeihilfen, die am Jahresende 2000 für die Werften der Europäischen Union auslaufen sollen, verlängert werden können.	The third report had not appeared by that time, and the Commission and the Council have subsequently reached a decision on whether the deadline for phasing out aid to shipyards can be extended beyond the scheduled date of 31 December 2000.
Zu unserem großen Bedauern haben Kommission und Rat einer Verlängerung dieser Schiffbaubeihilfen nicht zugestimmt, obwohl die schwierige Lage der Schiffbauindustrie sich um keinen Deut gebessert hat.	To our deep regret, the Commission and the Council have not decided to extend the provision of aid to shipyards, even though the plight of the shipbuilding industry has not become any less desperate.
Dies geht darauf zurück, dass Südkorea mit aggressiven Methoden und mit Dumping-Preisen versucht, seinen Anteil am Weltmarkt für den Schiffbau auszuweiten.	This situation stems from the fact that South Korea has been employing aggressive methods and offering its vessels at dumping prices in order to increase its share of the world shipbuilding market.
Bei den Aufträgen im Jahr 2000, die bisher vorliegen, hat Südkorea nach dem Bericht der Kommission über 40 % aller Neubauaufträge an Land ziehen können, und das auf der Grundlage von Krediten südkoreanischer Banken, die zum Teil in Staatshand sind, auf der Grundlage von Staatsgarantien, die einer Subvention gleichkommen.	South Korea has received more than 40% of all the shipbuilding orders that have been placed in the year 2000, according to the Commission report; it has been able to do this on the basis of loans from South Korean banks, some of which are state-owned, by virtue of state guarantees which are tantamount to subsidisation.
Die Preise für Schiffneubauten sind in den letzten Jahren drastisch gesunken und haben 1999 aufgrund dieser Politik Südkoreas ihren Tiefpunkt erreicht.	The prices of new ships have plummeted in recent years, reaching an all-time low in 1999 because of this policy that South Korea is pursuing.
Europa - einschließlich Norwegens - hat heute nur einen Anteil von 16 % am Weltschiffbau, und neben Korea hält noch Japan einen Anteil von 25 %, und die gesamte übrige Welt, einschließlich der USA, kommt auf nur noch 19 %. Und das in einem Bereich, in dem die Personalkosten längst nicht mehr der ausschlaggebende Faktor sind, sondern in dem es eine hohe Technisierung gibt.	Europe, including Norway, only has a 16% share of the world shipbuilding market. Japan, with a 25% share, lies in second place behind Korea, while the rest of the entire world, including the United States, accounts for no more than 19%, and that in an industry in which labour costs have long been supplanted by technology as the main production factor.
Eine Technisierung, die dazu geführt hat, dass auch vergleichbare Kalkulationen von außen überprüft werden können.	It is this capital-intensive structure of the industry which enables outsiders to check pricing calculations and make comparative assessments.
Wir haben im Ausschuss für Industrie, Außenhandel, Forschung und Energie begrüßt, dass die Europäische Kommission Initiativen ergriffen hat, um im Rahmen eines Streitbeilegungsverfahrens in der WTO für Klärung zu sorgen.	We in the Committee on Industry, External Trade, Research and Energy welcomed the fact that the European Commission has taken steps to have the issue resolved by means of a dispute-settlement procedure before the World Trade Organisation.
