Frau Präsidentin! Ich möchte zuerst Griechenland ein Lob aussprechen.	Madam President, I would like to start with some praise for Greece.
Der Weg zur Lösung der Griechenlandkrise führt nur über harte Reformmaßnahmen in Griechenland.	The solution to the Greek crisis must entail tough reform measures in Greece.
Das ist der richtige Weg.	That is the right path to take.
Alle anderen Dinge, die hier vorgeschlagen wurden, sind gegen die europäischen Verträge, und ich erwarte sowohl vom Kommissionspräsidenten als auch von diesem Parlament, dass es die Verträge einhält und keine Vorschläge unterbreitet, die gegen die Verträge sind.	Everything else that has been proposed here runs counter to the European treaties, and I expect both the President of the Commission and Parliament to abide by the treaties and not to make proposals that run counter to the treaties.
Zum Kollegen Schulz will ich sagen: Lautstärke ersetzt keine Sachkenntnis.	To Mr Schulz I would say: turning up the volume is no substitute for knowing the facts.
Es sind nicht die Spekulanten, die Griechenland in Schwierigkeiten gebracht haben.	It is not speculators that have resulted in Greece's problems.
Es sind die internen Regeln, die mangelnde Bereitschaft der Mitgliedstaaten, den Stabilitäts- und Wachstumspakt einzuhalten.	It is the internal rules - the fact that the Member States have not been prepared to comply with the Stability and Growth Pact.
Deutschland und Frankreich, und nicht Griechenland, waren die bösen Buben, die im Jahre 2003 und 2004 allen anderen Mitgliedstaaten ein negatives Beispiel gegeben haben.	Germany and France - not Greece - were the culprits, setting all the other Member States a bad example back in 2003 and 2004.
Nicht die anderen!	Not the others.
Das soll kein Vorwurf an Griechenland sein, aber wenn wir die Regeln nicht ändern, und wenn die Bereitschaft nicht da ist, dass sich die Mitgliedstaaten an die eigenen Regeln halten, dann wird die Eurozone Probleme bekommen.	This is not meant as a criticism of Greece, but if we do not change the rules and the Member States are not prepared to abide by their own rules, then the euro area is going to have problems.
Nun wird hier behauptet, die Schuld läge bei den Spekulanten.	Now it is being asserted that the blame lies with speculators.
Dabei ist weniger als ein Drittel der griechischen Staatsschuld durch Kreditausfallsicherungen abgesichert.	Less than a third of the Greek national debt is secured by Credit Default Swaps.
Weniger als ein Promille der weltweiten CDS-Derivate sind auf Griechenland gesetzt.	Less than one thousandth of global CDS derivatives relate to Greece.
Das ist eine Ausrede!	That is just an excuse.
Solange wir nicht in der Lage sind - und die Finanzminister sind die bösen Buben! -, die Regeln durchzusetzen und uns daran zu halten, werden wir immer wieder in neue Schwierigkeiten geraten.	For so long as we are unable to implement the rules and stick to them - and the finance ministers are the culprits here - we will repeatedly find ourselves in difficulties.
Das ist der Schlüssel, nicht der Vorwurf an irgendeine Regierungschefin, die sich an die europäischen Verträge und an ihre eigene Verfassung hält.	That is the key; not reproaching any particular Head of Government who is abiding by the European treaties and her own constitution.
(Beifall)	(Applause)
