Herr Präsident! Erlauben Sie mir drei Bemerkungen zur künftigen Ratstagung.	Mr President, I would like to make three comments on the forthcoming Council meeting.
Zum Ersten: Das irische Ja ist meines Erachtens in erster Linie auf die Finanzkrise zurückzuführen, und vor einem Jahr wurden ja Banken mit Steuermitteln saniert.	Firstly, the Irish 'yes' vote is, in my opinion, primarily a result of the financial crisis, while the banks were rescued a year ago with taxpayers' money.
Jetzt aber erwarten die Bankiers wieder Rekordgehälter.	Now the bankers will once again be receiving record salaries.
Die EU wird sicher daran gemessen werden, inwieweit sie der Vernichtung von Steuermilliarden in diesem Bereich Einhalt gebieten kann.	The EU will certainly be measured by the extent to which it can bring an end to the disappearance of billions of euros of tax payers' money into this black hole.
Das Zweite: Dank Lissabon-Vertrag werden ja jetzt neue EU-Spitzenpositionen besetzt.	Secondly, new faces are filling the top positions within the EU as a result of the Treaty of Lisbon.
Die fachliche Qualifizierung ist dabei offenbar zweitrangig, handelt es sich bei den Kandidaten doch zumeist um in ihren Heimatländern demokratisch gescheiterte Altpolitiker, die abgewählt wurden.	Their professional qualifications are definitely second-rate, because the majority of the candidates are failed politicians who have been voted out of power in their native countries.
Und wer soll jetzt die EU repräsentieren?	Who will represent the EU now?
Der Ratspräsident, der Hohe Vertreter oder doch der Kommissionspräsident?	The Council President, the High Representative or the Commission President?
Da erwartet uns Chaos.	There is certain to be chaos.
Und die dritte Bemerkung, Herr Präsident: Wenn jetzt der Lissabon-Vertrag auch in Tschechien vom Staatspräsidenten Václav Klaus unterschrieben wird, unter der Bedingung, dass er eine Fußnote erhält, wonach die Beneš-Dekrete in Kraft bleiben, Dekrete die völker- und menschenrechtswidrig sind, dann gäbe es zweierlei Grundrechte: für Deutsche, für Sudetendeutsche und für die anderen.	My third comment, Mr President, is as follows. If President Václav Klaus of the Czech Republic signs the Treaty of Lisbon, on the condition that a footnote is included which ensures that the Beneš Decrees remain in force, in other words, decrees which run contrary to international law and human rights, then there will be two types of fundamental rights: those for Germans, for Sudeten Germans and for all the others.
Das darf nicht sein!	That cannot be allowed to happen!
