im Namen der GUE/NGL-Fraktion. - Herr Präsident! Diese Debatte war überfällig.	on behalf of the GUE/NGL Group. - Mr President, this debate was long overdue.
Es ist gut, dass wir sie heute führen.	I am glad that we are holding it today.
Depleted Uranium oder abgereichertes Uran wird von vielen und vor allem westlichen Staaten als Munition in ihren Kriegen benutzt, weil DU eine starke Durchschlagskraft vor allem gegen Panzer hat.	Depleted uranium is used by many countries, and especially Western countries, as ammunition in their wars because of its high penetrative power, especially against armoured vehicles.
Doch DU-Munition ist sowohl chemisch hochgiftig - also toxisch - als auch radioaktiv.	DU munitions, however, contain highly poisonous chemical substances - in other words they are toxic - and they are radioactive too.
DU-Munition ist auch ein Abfallprodukt der Atomindustrie, das bei der Anreicherung von Uran oder bei der Atomwaffenproduktion anfällt.	Depleted uranium is a by-product of the nuclear industry, resulting from the enrichment of uranium or the production of nuclear weapons.
Auch darin, in der Nutzung von Atomenergie, liegt das Problem.	The use of nuclear energy, in short, is also part of the problem.
DU-Munition hat Langzeitwirkung.	DU munitions have long-term effects.
DU wird bei hohen Temperaturen beim Auftreffen auf ein festes Ziel freigesetzt und verbrennt zu DU-Oxyd, und es entsteht feiner alpha-radioaktiver toxischer Staub, der leicht inhaliert und durch Wind und Wasser verbreitet werden kann.	When a hard target is hit, depleted uranium is released at high temperatures and burns into depleted-uranium oxides, which take the form of a fine alpha-radioactive toxic dust that is easily inhaled and can be spread by wind and water.
Dieser Staub ist aus der Umwelt schwer zu beseitigen und setzt sich bei Einatmung in den Lungen fest.	This dust is difficult to remove from the environment and is trapped in the lungs on inhalation.
Es gibt das Golfkrieg-Syndrom, das Balkan-Syndrom, und es ist immer wieder das gleiche Phänomen festzustellen, dass Soldaten offensichtlich Krebs bekommen, zum Beispiel Lungenkrebs.	We know of the Gulf War syndrome and the Balkans syndrome; time and again the same phenomenon has been observable, with combatants evidently contracting cancers, such as lung cancer, because of their exposure to DU oxide.
Es gibt auch eine Zunahme derartiger Krebsphänomene bei der Bevölkerung in den Gebieten, wo diese Waffen eingesetzt wurden.	There have also been increases in the incidence of such cancers among the population of areas where these munitions have been used.
Interessant ist, dass DU-Munition als solche eine sehr geringe militärische Effektivität hat, aber sehr viele nicht kalkulierbare Risiken aufweist.	The interesting thing is that the military effectiveness of DU munitions is actually very limited, while their use entails numerous incalculable risks.
Die NATO hat im Angriffskrieg gegen Jugoslawien DU-Munition eingesetzt.	NATO used DU munitions in its war of aggression against Yugoslavia.
Im Irak hat die US-Armee DU-Munition eingesetzt - insgesamt 300 Tonnen.	In Iraq the US forces have used a total of 300 tonnes of DU munitions.
Es gibt eine erhöhte Anzahl missgebildeter Kinder, insbesondere in Bagdad.	There is an increased percentage of deformed children in that country, especially in Baghdad.
Die Regierung von Afghanistan hat jetzt eine Untersuchung über den Einsatz von DU-Munition in Afghanistan gefordert, und sie sagt, dass das US-Militär sie nicht darüber informiert habe, dass DU-Munition vor allem im Osten Afghanistans eingesetzt wurde.	The Government of Afghanistan has now called for an inquiry into the use of DU munitions in Afghanistan and says that the US military did not inform it that DU munitions were being used, particularly in the eastern part of the country.
Im Libanon-Krieg wurde DU-Munition insbesondere von Israel eingesetzt, und im ersten Golf-Krieg wurde DU-Munition auch sehr umfangreich eingesetzt.	DU munitions were used in the war in Lebanon, mainly by Israel, and they were also used very extensively in the first Gulf War.
Es ist die Rede von 66.000 kontaminierten Soldaten.	The figure of contaminated combatants has been put at 66 000.
Das Problem ist offensichtlich.	The problem is plain to see.
Inzwischen bekommen die ersten Veteranen Kriegsrenten als Folge dieser DU-Munition, zum Beispiel Kenny Duncan aus Großbritannien.	The first war pensions for the effects of depleted uranium have been awarded to veterans such as Kenny Duncan from the UK.
Wenn DU-Munition Kosmetik wäre oder etwa ein Stoff in Verbindung mit Nahrungsmitteln, so wäre sie schon längst verboten.	If DU dust were a cosmetic product or a substance used in food production, for example, it would have been banned long ago.
Soldaten werden angewiesen, Schutzanzüge anzuziehen, wenn sie mit DU-Munition zu tun haben.	Troops are instructed to wear protective clothing when dealing with DU munitions.
Die Soldatenvereinigung EUROMIL fordert ein Verbot dieser Waffen.	EUROMIL, the European Organisation of Military Associations, has been calling for a ban on weapons that fire these munitions.
Belgien hat DU-Munition verboten. Gratulation hierzu!	Belgium has banned DU munitions, and for that we congratulate it.
Bei der Abstimmung im Abrüstungsausschuss der Vereinten Nationen waren 122 Länder dafür, 35 Länder enthielten sich, 6 waren dagegen, darunter Frankreich, Großbritannien, die Niederlande und Tschechien.	The UN Disarmament and International Security Committee voted by 122 to 6, with 35 abstentions, to call for a report on the harmful effects of the use of armaments and ammunitions containing depleted uranium.
Was wir brauchen, ist ein Verbot des Einsatzes und der Produktion von DU-Munition.	The six votes against included those of the Czech Republic, France, the Netherlands and the United Kingdom. What we need is a ban on the production and use of DU munitions.
