Was hört man von den Regierungen?	What do we hear from the governments?
Wir machen einen Vertrag!	We hear that they are putting a treaty together!
Eine internationale Organisation ist ja wirklich das Letzte, was wir brauchen.	Well, an international organisation really is the last thing that we need.
Es ist nicht ein politisches Gemeinwesen, das den Nationalismus besiegt.	It is not the sort of political community that will defeat nationalism.
Eine solche Balance zwischen Nationalismus und Europa geht in der konkreten Praxis immer zu Lasten Europas.	In actual practice, Europe always loses out from any such balance between it and nationalism.
Die Bürger wollen eine Verfassung, weil sie sehen, dass es hier um ein politisches Gemeinwesen geht, weil das Versprechen der politischen Einigung Europas die politische Einigung dieses Kontinents war.	The public want a constitution because they can see that it is about a political community, and because what they had been promised was the political unification of Europe, the political unification of this continent.
Nein, wir hören wieder vom Vertrag.	What we get instead is more talk of a treaty.
Noch mehr Wettbewerb haben Sie heute versprochen.	You also, today, promised us even more competition.
Ich habe weder in den Niederlanden noch in Frankreich noch irgendwo in Europa in Hunderten von Diskussionen und Veranstaltungen den Ruf nach mehr Wettbewerb gehört.	Never - in the Netherlands, in France, or anywhere else in Europe, at hundreds of debates and events - have I heard calls for more competition.
Nur die Eliten, nur die Neoliberalen, nur die Regierungen schreien immer nach noch mehr Wettbewerb.	'More competition' is something demanded only by the elites, by the neoliberals, and by governments.
Ich sage Ihnen, weil ich die Gelegenheit habe aufzugreifen, was mir die Bürger sagen: Wir brauchen eine Balance zwischen der wirtschaftlichen und der politischen Integration. Wir brauchen eine Sozialunion.	Let me tell you, speaking as one who has been given the chance to pick up what the people are saying, that what we need is a balance between economic and political integration, in the shape of a social Union.
Wie oft wollen Sie den Lissabon-Prozess in intergouvernementaler, selbstherrlicher Verwaltung noch Jahr für Jahr mit Nullbilanzen vor der europäischen Öffentlichkeit darlegen, mit Nullbilanzen?	How often do you propose - through your intergovernmental, self-aggrandising management of the Lisbon process - to report to the public that it has yielded nothing?
Das verlangen die Bürger.	That is what the public demand to know.
Wo bleibt das Gespräch der Regierungen über eine Sozialunion, über die Beendigung des Steuerdumpings und des Sozialdumpings in Europa.	What has become of the governments' dialogue on a social Union, on putting an end to tax dumping and social dumping in Europe?
Das wollen die Bürger.	That is what the public want to know.
Ich höre im Trojanischen Pferd immer andere Dinge: militärische Zusammenarbeit - schon wieder Sicherheit. Aber von einer gemeinsamen, demokratischen, autonomen Außenpolitik, von einer verantwortlichen Rolle in der Welt und innerhalb der WTO, die ein gerechtes Welthandelssystem verteidigt und die Entwicklungspolitik auf eine andere Ebene stellt, davon höre ich nichts.	From deep within the Trojan Horse, I keep on hearing other things, like talk of military cooperation - security again - but nothing whatever about a common, democratic, autonomous foreign policy, about playing a responsible role both globally and within the WTO, a role defending a fair system of global trade and putting development policy on a completely different level.
Ich habe das Gefühl, dass der Bürger in dieser Krise verschwunden ist.	I get the feeling that, in amidst this crisis, the ordinary citizen has been lost from sight.
Die gepanzerten und in Ritterkostümen auftretenden Regierungen stehen wieder vor uns und stellen sich Europa in den Weg.	The governments, in the armour and costume of knights, have reappeared before us and are blocking Europe's way.
