Berichterstatterin. - Frau Präsidentin! Auch ich möchte mich bedanken für die lebhafte Debatte.	rapporteur. - Madam President, I, too, would like to give my thanks for a lively debate.
Ich kann nur noch einmal betonen: Ich bleibe dabei, es ist ein Meilenstein für den Umwelt- und Verbraucherschutz, und vor allem ist es eine Sternstunde für Europa.	I would like to emphasise once again that I am still of the same opinion; this is a milestone for environmental and consumer protection and, most of all, it is a magic moment for Europe.
Denn Europa wird auf die Überholspur gesetzt.	Europe is now in the fast lane.
Europa zeigt: Es ist weltweit Vorreiter.	Europe is showing that it is the world's trailblazer.
Denn dieser Ausstiegsbeschluss aus den hochgefährlichen Pestiziden ist weltweit einmalig, und damit kann die Europäische Union auch wuchern.	This decision to phase out highly toxic pesticides is unique in the world and the European Union can profit therefore from this.
Nun zu den in dieser Debatte immer wieder vorgebrachten Argumenten, die Importfrage sei nicht geklärt: Das ist falsch, die Importfrage ist geklärt!	Now, with regard to the arguments put forward again and again in this debate that the matter of imports has not been clarified: that is incorrect, the matter of imports has indeed been clarified.
Mit dem Verbot dieser hochgefährlichen Stoffe werden sie in Europa illegal.	With the ban on these highly toxic substances, they will become illegal in Europe.
Das heißt, wenn wir Importe haben - nehmen wir Obst und Gemüse -, dann müssen diese Importe selbstverständlich der europäischen Gesetzgebung genügen, und zwar über die Rückstandsmengenverordnung.	That means that when we have imports - let us take fruit and vegetables as an example - these imports must, of course, comply with European legislation and, specifically, by means of the Regulation on Maximum Residue Levels.
Wenn bei der Rückstandsmengenprüfung Substanzen - Pestizide - gefunden werden, die in Europa verboten wurden, ist das Produkt illegal.	If substances, such as pesticides, that have been banned in Europe are found in the residue quantity test, then the product is illegal.
Das heißt, auch die Banane, die aus Costa Rica kommt und mit krebserregenden Stoffen behandelt wird, die bei uns dann auf den Index gesetzt und damit verboten werden, ist dann in der Europäischen Union illegal.	This means that bananas coming from Costa Rica and treated with carcinogenic substances that we have put on the index and that are therefore banned are illegal within the European Union.
Das ist also hier ganz eindeutig dadurch geklärt, dass wir auch die Rückstandshöchstmengenverordnung mit hinzunehmen.	This is clarified quite clearly in the Regulation on Maximum Residue Levels.
Somit besteht gar kein Grund, hier weiter Stimmung, Panik und Angst zu betreiben!	Therefore, there is no reason whatsoever to encourage further dissent, panic and fear!
Ich kann nur noch einmal darauf hinweisen - dankenswerterweise hat die Kommissarin das schon herausgehoben: In der ersten Studie der PSD hieß es, 80 % der Pestizide verschwinden vom Markt. Inzwischen hat man diese Zahl erheblich reduziert.	All I can do is point out, once again, and thankfully the Commissioner has already highlighted this, that while the initial PSD study indicated that 80% of pesticides would disappear from the market, this figure has been considerably reduced in the meantime.
Leider sind Sie mit keinem Wort auf diese Korrektur der PSD-Studie eingegangen.	Unfortunately, you did not mention this correction in the PSD study.
Beenden Sie also bitte diese Angst- und Stimmungsmache!	Therefore, please stop creating this fear and dissension.
Lassen Sie uns wirklich diesen Erfolg feiern, den wir hier alle hoffentlich zugunsten der Bürgerinnen und Bürger Europas, für die Umwelt, für den Gesundheitsschutz erzielen.	Let us now really celebrate the success we are all here hopefully achieving for the benefit of the citizens of Europe, for the environment and for health protection.
(Die Präsidentin entzieht der Rednerin das Wort.)	(The President cut off the speaker)
