Herr Präsident, sehr geehrte Abgeordnete!	Commission.
Obwohl das Europäische Parlament über seine Geschäftsordnung debattiert, möchte ich doch die Gelegenheit wahrnehmen, das Wort zu ergreifen.	Mr President, honourable Members, although it is for Parliament to debate its own Rules of Procedure, I would like to take the opportunity to say a few words.
Das Entlastungsverfahren ist natürlich ein sehr, sehr wichtiges Verfahren für die Kommission, und es ist im Vertrag selbst verankert.	The discharge procedure is of course of very great importance to the Commission, and it is enshrined in the Treaty itself.
Es ist jetzt auch in der Haushaltsordnung noch einmal klarer verankert: Es gibt zwei bestehende Rechtsgrundlagen, die natürlich mit ausschlaggebend sind.	Now it has a place, and is couched in even clearer terms, in the financial regulation, so that there are two existing legal bases, which of course have to be taken together in reaching decisions.
Ich muss deshalb die Frage aufwerfen, ob alle eingereichten Änderungsanträge im Einklang mit diesen Rechtsgrundlagen stehen.	I must therefore raise the question of whether all the amendments that have been submitted are in accordance with these legal bases.
Das Parlament hat mit dem Rat und dem Rechnungshof während der letzten beiden Jahre über die Neufassung der Haushaltsordnung verhandelt und sehr intensiv daran gearbeitet.	Over the last two years, Parliament has negotiated with the Council and the Court of Auditors and done very in-depth work on the recast financial regulation.
Am Ende ist man zu einem guten und klaren Ergebnis gekommen.	A good and clear result has finally been achieved.
In Artikel 146 Absatz 1 heißt es: 'Auf Empfehlung des Rates, der mit qualifizierter Mehrheit beschließt, erteilt das Europäische Parlament vor dem 30. April des Jahres n+2 der Kommission Entlastung für die Ausführung des Haushaltsplans des Haushaltsjahres n. Kann die in Absatz 1 vorgesehene Frist nicht eingehalten werden, so teilt das Europäische Parlament oder der Rat der Kommission die Gründe für den Aufschub des Entlastungsbeschlusses mit.	Article 146 (1) states: 'The European Parliament, acting on a recommendation from the Council, which shall act by a qualified majority, shall give a discharge to the Commission before 30 April of the year n+2 in respect of the implementation of the budget of the financial year n. Where the time period provided for in paragraph 1 cannot be adhered to, the European Parliament or the Council shall notify the Commission of the reasons for the suspension of the discharge resolution.
Vertagt das Europäische Parlament die Erteilung des Entlastungsbeschlusses, so trifft die Kommission so schnell wie möglich Vorkehrungen, um die Hinderungsgründe auszuräumen.'	Where the European Parliament defers the grant of the discharge resolution, the Commission shall act as soon as possible to remove the causes of impediment.'
So weit das Zitat aus Artikel 146.	End of quotation from Article 146.
Die Absicht der Legislativbehörde für diese Formulierung war meines Erachtens klar.	I believe that the legislative authority had a clear aim in choosing this formulation.
Wenn der Entlastungsbeschluss ausnahmsweise vertagt wird, so soll sehr schnell eine Antwort von Seiten der Kommission gegeben werden, um die Hinderungsgründe auszuräumen.	Where, exceptionally, the discharge resolution is deferred, the Commission is to respond very quickly in order to remove the causes of the impediment.
Nun wird in den Vorschlägen hier Oktober vorgeschlagen, also sechs Monate später.	Now these proposals refer to October, all of six months later.
Das ist natürlich nicht unbedingt eine schnelle Reaktion im Sinne des Artikel 146.	That is, of course, not exactly a quick response within the meaning of Article 146.
Es sind auch drei andere Probleme mit diesem Vertagungsverfahren verbunden.	This deferment procedure also involves three other difficulties.
Erstens: Die Kommission muss darauf achten, dass das Parlament die Gründe für den Aufschub des Entlastungsbeschlusses realistisch und im möglichen Rahmen hält.	The first is that the Commission has to take care that Parliament keeps the reasons for the suspension of the discharge resolution realistic and within the bounds of feasibility.
Zweitens: Wenn Aktionen vorgesehen sind, sind sechs Monate wiederum relativ kurz.	The second is that, if it is envisaged that action will be taken, six months is again a relatively short period.
Wenn Antworten und Verpflichtungen vorgesehen sind, dann kann oder sollte die Kommission das auch schneller vorlegen.	If the Commission is meant to come up with responses and commitments, it can - and should - do so more quickly.
Drittens: Wenn diese Bedingungen in der Geschäftsordnung selbst als eine normale Möglichkeit vorgesehen sind, ist natürlich das Risiko gegeben, dass der Aufschub als regelmäßiger Vorgang erachtet wird.	Thirdly, if these conditions are to be seen as a normal option in the Rules of Procedure themselves, there is of course the risk of suspension being regarded as a regular course of action.
Ich möchte darauf hinweisen, dass das Parlament natürlich auch jetzt schon Instrumente in der Hand hat, um die Kommission zu weiteren Aktivitäten und Aktionen zu veranlassen. Das ist ja in den letzten Jahren auch geschehen.	I would like to point out that Parliament already, of course, has instruments available, by which it can impose further tasks and actions on the Commission, and, indeed, it has done so in recent years.
Mit dem Beschluss über das Entlastungsverfahren waren ganz klare Forderungen verbunden, worüber die Kommission einen follow up-Bericht erstellt - und zwar nicht fakultativ, sondern, weil sie dazu verpflichtet ist - und klarlegen muss, welche Maßnahmen sie entsprechend dem Resolutionsbeschluss vorgelegt hat.	The resolution on the discharge procedure was combined with quite unambiguous demands, concerning which the Commission is drawing up a follow-up report - not as a matter of choice, but because it is obliged to - and has to set out in clear terms what measures it has submitted in accordance with the motion for a resolution.
Gestern Abend wurden nun noch Änderungsanträge zu der Frage der Oktober-Option - so möchte ich es einmal nennen - eingereicht, die nun weitere Fragen aufwerfen.	Yesterday evening, amendments were tabled on what I would like to call the 'October option' question, and these now raise further issues.
Die Kommission würde es deshalb begrüßen, wenn hierzu noch einmal eine Klärung stattfinden könnte.	The Commission would therefore welcome it if these could be further clarified.
