Herr Präsident, liebe Kolleginnen und Kollegen!	the opinion of the Committee on Foreign Affairs, Human Rights, Common Security and Defence Policy.
Herr Titley, der Verfasser der Stellungnahme des Ausschusses für auswärtige Angelegenheiten wird an der Debatte nicht teilnehmen können und hat mich gebeten, im Namen des Ausschusses einige Bemerkungen zu machen.	Mr President, ladies and gentlemen, the draftsman of the opinion of the Committee on Foreign Affairs, Mr Titley, is unable to attend the debate and has asked me to make various comments on the Committee's behalf.
Drei Schwerpunkte hat sich der Ausschuss gesetzt: Erstens deutlich zu machen, welche außenpolitischen Prioritäten die Europäische Union im neuen Haushaltsjahr setzen will, ohne dass der vorgegebene Finanzrahmen gesprengt wird.	The Committee has set itself three objectives: firstly, to make clear which foreign policy priorities the European Union intends to set in the new financial year without wrecking the stipulated financial framework.
Zweitens: Wir wollen mehr Transparenz.	Secondly, we want more transparency.
Einige Nomenklaturänderungen des Haushaltes sollen den Mittelabfluss erhöhen.	A number of amendments to the budget's nomenclature are designed to increase the flow of resources.
Auch diese Änderungsvorschläge haben keine finanziellen Konsequenzen, führen aber zu mehr Transparenz im Haushalt, die auch die Haushaltskontrolle erleichtern wird.	These proposed amendments also have no financial implications, but will lead to more budget transparency and thus facilitate budgetary control.
Das dritte Anliegen, insbesondere des Verfassers der Stellungnahme und des Ausschusses, ist die Verbesserung der Sicherheit unserer Delegationen in der Welt.	The third issue, which is a particular priority for the draftsman of the opinion and the Committee, is to improve the security of our delegations around the world.
Da gibt es einigen Nachholbedarf, den wir unterstützen wollen.	Remedial action needs to be taken here and we want to support this process.
Lassen Sie mich zu diesen drei Punkten etwas sagen.	Let me take each of these three points in turn.
Zum Ersten: Finanzielle Aufstockungen für politische Prioritäten planen wir für die grenzüberschreitenden Programme bei TACIS.	On the first point, we are planning some increases in funding to reflect political priorities for the cross-border programmes under TACIS.
Die neuen Außengrenzen der Europäischen Union brauchen eine stärkere Förderung der Kooperation über diese Grenzen hinweg, wofür wir einige Erhöhungen vorgeschlagen haben.	The European Union's new external borders require more funding for cooperation across these borders, which is why we have proposed a number of increases.
Das zweite Kapitel ist die nukleare Sicherheit.	The second issue is nuclear safety.
Auch das ist eine Priorität dieses Parlaments, und diese wollen wir auch in Haushaltszahlen im nächsten Jahr wiederfinden.	This too is a priority for this House, and we want to see this reflected in the budget figures for next year.
Antipersonenminen und schneller Reaktionsmechanismus sind ebenfalls Punkte, für die wir Haushaltserhöhungen vorgesehen haben.	Anti-personnel mines and the rapid reaction mechanism are also areas where we have proposed budget increases.
Ein weiterer Punkt - das ist das Spiel fast wie bei Dinner for one an Silvester -: Die Kommission kürzt jedes Jahr die Gelder für Menschenrechts- und Demokratielinien und das Parlament stockt sie wieder auf.	Then we have a scenario reminiscent of the film Dinner for One at New Year, with the 'same procedure as every year', when the Commission cuts the funding for human rights and democracy budget lines and the Parliament bumps it up again.
Das haben wir auch in diesem Jahr vor, und wir würden die Kommission bitten, im nächsten Jahr einmal anzuerkennen, dass das Parlament diese Prioritäten setzt und dass sich das auch im Haushaltsvorentwurf wiederfindet.	We intend to do so this year as well, and we would ask the Commission to take note for once next year that Parliament is setting these priorities and that this should be reflected in the draft budget.
Im Bereich der Transparenz möchten wir Afghanistan als eigene Linie haben und nicht als Unterpunkt zu Asien.	In the interests of transparency, we would like Afghanistan to be a separate budget line, not a sub-item under Asia.
Dorthin werden in den nächsten Jahren viele Gelder fließen, deshalb ist dies sehr bedeutsam.	A great deal of money will flow to Afghanistan over the coming years, so this is very important.
Als Letztes: Der Verfasser der Stellungnahme hat auch darauf gedrängt, dass in Zukunft eine regelmäßige Offenlegung der Linien für Palästina gewährleistet ist, so dass man von vornherein erkennen kann, wohin das Geld geht.	Finally, the draftsman has also urged us to ensure that there is, in future, regular disclosure of the budget lines for Palestine so that it can be ascertained from the outset where the money is going.
Hier ist, glaube ich, eine Verbesserung der Haushaltskontrolle erforderlich.	In my view, better budgetary control is needed here.
Das sind unsere Prioritäten.	These are our priorities.
Lassen Sie mich abschließend eine Bitte an den Rat richten.	Let me conclude by addressing a request to the Council.
Bei neuen außenpolitischen Zusagen bittet das Parlament, in Zukunft stärker beteiligt zu werden, ansonsten werden wir unglaubwürdig, wenn der Rat immer neue Zusagen macht, ohne dass das Geld dafür bereitsteht.	This House asks to be involved more closely in future when making new political promises in the foreign policy field. Otherwise, if the Council continues to make a succession of new promises without the money to back them up, we will forfeit our credibility.
