. – Herr Präsident!	.
Um der Forderung des Kollegen Schulz nach Differenzierung gleich zu Beginn nachzukommen, möchte ich ausdrücklich sagen, dass sich meine Fraktion einerseits mit großer Mehrheit für die Aufnahme von Verhandlungen mit der Türkei aussprechen wird und ausdrücklich unterstützen wird, was im Bericht formuliert ist, dass nämlich das Ziel dieser Verhandlungen die EU-Mitgliedschaft der Türkei sein soll, dass wir aber andererseits große Probleme mit dem Bericht selbst haben.	Mr President, in order, right at the start, to comply with Mr Schulz’s demand for a nuanced approach, let me make it clear that my group will, on the one hand, vote by a large majority for the commencement of negotiations with Turkey and will expressly endorse what is set out in the report, namely that these negotiations should have Turkish membership of the EU as their objective, but that we do, on the other hand, have serious problems with the report itself.
Es ist nicht die Schuld des Kollegen Eurlings, den ich hier als sehr kompetent und engagiert erlebt habe.	This is no fault of Mr Eurlings, who has struck me as being very competent and committed in this matter.
Ich muss aber ausdrücklich und mit Bedauern sagen, dass ich enttäuscht und auch überrascht bin, dass ausgerechnet die Sozialdemokratische und die Grüne Fraktion in allen konkreten Fragen, wo man abrechenbar zeitlich und sachlich im Verhandlungsprozess hätte messen können, ob es weitere Fortschritte gibt, entsprechende Änderungsanträge zurückgewiesen haben.	I have to say, though, and with regret, that I am both disappointed and surprised that – of all people – the Socialist Group in the European Parliament and the Group of the Greens, on all the practical issues in which the negotiation process could have measured further progress in terms of time and impact, have rejected amendments to that effect.
Wir haben einen kritischen ausgewogenen Bericht, aber die Kritik bewegt sich auf einer metaphilosophischen und derart allgemeinen Ebene, dass wir damit kaum arbeiten können.	The report we have before us is balanced in its criticisms, but those criticisms are metaphilosophical and so generalised that we can hardly get to grips with them.
Wir erkennen an, dass es in der Türkei in den vergangenen zwei Jahren beträchtliche positive politische und rechtliche Veränderungen gegeben hat. Aber es muss doch tatsächlich möglich sein, zu problematisieren, dass die Realität vielfach mit dem nicht übereinstimmt.	Whilst we acknowledge that Turkey has seen considerable positive changes in both the political and legal spheres over the past two years, it must actually be possible to expand on the fact that the reality is often rather different.
Man muss in einem Bericht, in dem wir zweimal zu Recht das Problem des griechisch-orthodoxen Seminars von Chalki ansprechen, auch die Frage von vier Millionen Kurden ansprechen können, die Flüchtlinge in einem Land sind, in dem mehr als 4000 Dörfern zerstört wurden.	In a report that twice, and rightly, addresses the problem of the Greek Orthodox seminary at Halki, it must also be possible to address the issue of the four million Kurds who are refugees in a country in which over four thousand villages have been destroyed.
Anders als andere Fragen haben solche Dinge in dieser Konkretheit leider nicht in diesem Bericht Aufnahme gefunden, und ich vermute, dass das geschehen ist, um den Gegnern einer Aufnahme der Türkei kein Instrument in die Hand zu geben.	In contrast to other issues, these things have not been specifically mentioned in this report, and I suspect that this has been done in order to avoid providing opponents of Turkish accession with ammunition.
Aber gerade in diesen sensiblen Fragen, wo es um die Substanz, die Voraussetzung, das Wertepotential der Europäischen Union in ihrer Prinzipialität geht – Frau Bonino hat dieses Problem ja aufgeworfen –, halte ich das für einen taktisch völlig falschen Weg.	Yet Mrs Bonino has drawn attention to the problem that these thorny issues touch upon the substance, the presuppositions, and the potential value of the principles on the basis of which the European Union exists, and I believe this, tactically speaking, to be quite the wrong road to take.
Meine Fraktion wird diese Relativierung nicht mitmachen.	My group will have no part in this sort of relativism.
Wir werden den Verhandlungsprozess nutzen, um das, was alte sozialdemokratische und grüne Forderungen gewesen sind, in dieser notwendigen Konkretheit – und ich habe das von den Kolleginnen und Kollegen in dieser Form auch gelernt – weiter anzuführen.	We will take the negotiating process as an opportunity to further set out those things that – as I have learned from other Members – are the necessary practical details of what Socialists and Greens have long demanded.
Ich war mit Kolleginnen und Kollegen in der kleinen kurdischen Stadt Kiziltepe wo am 21. November ein Lastwagenfahrer und sein zwölfjähriger Sohn erschossen worden sind.	With fellow Members of this House, I visited the small Kurdish town of Kiziltepe, where, on 21 November, a lorry driver and his twelve-year old son were shot dead.
Der Gouverneur erklärte, man hätte zwei bewaffnete Terroristen umgebracht.	The governor announced that two armed terrorists had been killed.
In jedem Mitgliedsland der EU hätte ein Gouverneur dafür zurücktreten müssen.	In any EU Member State, a governor would have had to step down for that.
Diesen Maßstab werden wir auch weiterhin anlegen.	That is the standard we will continue to apply.
Ich will zum Abschluss noch etwas anderes sagen: Wir werden nicht zulassen, dass die Türkei statt einer privilegierten Partnerschaft eine diskriminierende Mitgliedschaft erhält, wie es die Kommission vorsieht.	I want to conclude by saying something else. We will not allow Turkey to gain, rather than a privileged partnership, the discriminatory membership that the Commission envisages.
