Herr Präsident, ich denke, wir sollten auf den Boden der Realität zurückkehren.	Mr President, I think we should come back down to earth.
Sie haben Frau Green kritisiert.	You criticized Mrs Green.
Sie haben dann sehr wohl Herrn Konrad das Wort erteilt.	But you did then call Mr Konrad.
Herr Konrad sah sich gemüßigt zu provozieren.	Mr Konrad saw fit to be provocative.
Ich fand Ihre Äußerung provokativ in Richtung dieser Gäste, die voller Emotionen hierher gekommen sind, die Existenzängste haben, die ihren Job verlieren, deren Familien nicht wissen, wie es weitergehen soll.	I found his remarks provocative towards these guests who have come here with their emotions running high, fearing for their livelihood, with their jobs on the line, with families who do not know what will happen to them.
Daraufhin hat auch der Präsident diese Gäste kritisiert und gesagt, sie sollen still sein, sonst müßten sie leider die Tribüne verlassen.	Whereupon, Mr President, you also criticized these guests and told them to be quite otherwise they would have to leave the gallery.
Wir wissen, daß es nicht richtig ist, von der Tribüne herab zu agitieren, aber diese Menschen wußten das mit Sicherheit nicht!	We know that it is not right to agitate from the public gallery, but these people were surely unaware of that!
Kehren wir auf den Boden der Realität zurück!	Let us come back down to earth!
Was ist der Hintergrund für ihre Gefühle, was ist der Hintergrund für ihre Ängste?	What lies behind these emotions? Why are they so anxious?
Sollten wir nicht froh sein -und bei dieser Frage geht es auch um die Identität dieses Hauses -, daß Leute, die betroffen sind, die Ängste haben, die von uns als Parlament Politik erwarten, zu uns kommen!	Should we not be pleased - and this question concerns the very identity of this House - that people who are troubled, who are fearful, who expect political action from our Parliament, have come to us.
Und dann zu fordern, sie müssen rausgeschmissen werden, wie es schon mehrere Kollegen gesagt haben, das ist angesichts des Problems, dem sich diese Leute gegenübersehen, außerordentlich geschmacklos!	And then to demand, as several Members have done, that they be expelled is, in view of the problem facing these people, in extremely bad taste.
Zweitens möchte ich eine persönliche Erklärung abgeben.	Secondly, I should like to make a personal statement.
Ein Abgeordneter mit dem Namen Féret, ein Abgeordneter der Front National, hat sowohl Frau Green als auch mich als faschistisch bezeichnet.	A Member called Féret, a representative of the Front National, called both Mrs Green and myself fascists.
Ich weise das strikt von mir!	I utterly repudiate that!
Wohlgemerkt, es ist ein Abgeordneter der Front National, der eine Sozialdemokratin und eine Grüne als Faschisten bezeichnet.	It was a Member representing the Front National, mark you, who used the term 'fascist' to describe a Social Democrat and a Green.
Das spricht, glaube ich, für sich selbst!	That, I believe, speaks for itself!
