Herr Präsident!	.
Es handelt sich bei Usbekistan um eine alte Kulturlandschaft, die unter anderem Staaten wie die Khanate von Buchara und Kokand hervorgebracht hat, dann aber Opfer eines aggressiven Kolonialismus wurde.	Mr President, Uzbekistan is an ancient cultural landscape which, having brought forth such states as the Khanates of Bukhara and Kokand, fell victim to aggressive colonialism.
Wir haben heute vom europäischen Kolonialismus in Afrika gesprochen, aber dort waren es der sowjetkommunistische Kolonialismus und vorher der zaristische Kolonialismus in Zentralasien.	Today, we have been discussing European colonialism in Africa, but in this instance the colonialism was Soviet and Communist in character, following on the heels of Tsarist colonialism in Central Asia.
Dieser Kolonialismus hat erst 1989 mit dem Sturz der kommunistischen Regime in Mitteleuropa geendet. Das möchte ich dem Kollegen Kohlíček hier sagen.	It was only in 1989, with the overthrow of the Communist regime in Central Europe, that this colonialism was brought to an end – something I would like to say for Mr Kohlíček’s benefit.
Wir haben die Verpflichtung, die Situation dort realistisch zu sehen.	We are under the obligation to consider the situation there in a realistic light.
Diese Länder wurden mit Monokulturen gestraft, sie wurden ausgeplündert, sie wurden ausgesaugt, und jetzt sind sie mühsam auf dem Weg, sich ihre Staatlichkeit zu erarbeiten.	These countries were punished by being turned into monocultures, they were plundered and bled dry, and now they have set out on the laborious road to statehood.
Dafür muss man ein gewisses Verständnis haben, und deswegen bedürfen sie auch unserer ganzen und intensiven Hilfe.	One has to have a certain sympathy for their situation, and they also need all the intensive help we can offer.
Dies heißt aber nicht, dass wir Menschenrechtsverletzungen dulden.	That does not mean, however, that we can turn a blind eye to human rights abuses.
Unsere Aufforderung ist klar und eindeutig: Wir verlangen von der usbekischen Regierung, dass sie die Untersuchungen, die überfällig sind, nicht weiter behindert und dass sie alle Gefangenen freilässt sowie Grund- und Menschenrechte gewährt.	What we call for is clear and unambiguous: we demand that the Uzbek Government should cease from obstructing the investigations that are already overdue, that it should release all detainees and grant fundamental and human rights.
Aber wir werden hier nur auf dem Weg des Dialogs vorankommen, und nicht mit einseitiger Bevormundung!	If we are to make any headway here, though, it will be by dialogue and not by treating the other party as a child.
Wir müssen wissen, dass es auch terroristische und destabilisierende Elemente in der ganzen Region gibt und außerdem nach wie vor den Einfluss Moskaus, das erst in jüngster Zeit in großem Ausmaß Tellerminen – hiermit haben wir uns oft im Haus beschäftigt – an Usbekistan geliefert hat, um zum Beispiel Grenzanlagen auszubauen.	We have to be aware of the presence of terrorists and destabilising elements throughout the region, not to mention the continuing influence of Moscow, which has recently been supplying Uzbekistan with large quantities of plate mines, which we have often had cause to discuss in this House, and which are intended, among other things, for the further fortification of the borders.
Nach wie vor agieren hier russische Truppen in einer Art und Weise, als wären dies immer noch koloniale Gebilde!	Russian troops are still present, acting as if this were still colonial territory.
Auch dies können wir so einfach nicht akzeptieren, zumal in diesem Raum auch wichtige geostrategische Interessen der Mächte – auch auf dem Energiesektor –aufeinander treffen.	That is something else that we cannot accept just like that, since this is a region in which the powers’ vital geo-strategic interests collide, not least in the energy sector.
Deshalb ganz klar: Menschenrechtspolitik und offene und faire Partnerschaft gegen jeden Kolonialismus in diesem Raum!	So let it be said loud and clear that, in this area, there are two opposites: human rights and open and fair partnership on the one hand, and colonialism in whatever shape or form on the other.
