Herr Präsident! Der Sprache der Eisenbahner verdanken wir zahlreiche Redewendungen.	Mr President, it is to 'railway speak' that we owe numerous figures of speech.
Der Zug ist abgefahren, sagen wir etwa, wenn wir spät dran sind.	For example 'the train has departed' is what we say when we arrive late.
Für unseren Zug trifft das leider zu.	Unfortunately the same can be said of our train.
Das Paket der drei Richtlinienvorschläge betreffend die Bahn-Infrastrukturen, dem wir morgen zustimmen werden, ist überfällig.	The package of three proposals for directives concerning the railway infrastructures, to which we will give our assent tomorrow, is long overdue.
Das, was in langwierigen Verhandlungen zuletzt im Vermittlungsausschuss erreicht wurde, kommt eigentlich zehn Jahre zu spät.	The ultimate outcome of the lengthy negotiations within the Conciliation Committee, has in fact come ten years too late.
Den Beweis dafür liefert leider die Statistik.	The statistics bear this out, I am sorry to say.
In den letzten Jahren ist es zu einem gewaltigen Rückgang der Gütertransporte auf der Schiene gekommen, und vieles spricht dafür, dass es sehr schwer sein wird, in absehbarer Zeit eine Trendwende herbeizuführen.	There has been a massive decline in the amount of freight transported by rail over the last few years, and there is every reason to believe that it will be very difficult to reverse the trend in the foreseeable future.
Wenn wir uns vergegenwärtigen, dass wir den gemeinsamen Markt für Waren im Jahr 1970 verwirklicht haben und den Binnenmarkt 1992/1993, dann sind wir heute, im Jahr 2001, deutlich verspätet unterwegs. Unser Zug fährt auch auf einer Lafa, einer Langsamfahrstrecke.	If we call to mind that we accomplished the single market for freight in 1970, and the internal market in 1992/1993, then since this is now the year 2001, we are clearly going to reach our destination late, added to which, our train is travelling on a go-slow stretch.
2003 für die Öffnung des transeuropäischen Schienenverkehrs klingt zwar noch halbwegs engagiert, 2008 auch für den nationalen Güterverkehr, ist aber sicher schon das falsche Signal.	Setting a deadline of 2003 for the opening-up of the trans-European rail freight network certainly sounds reasonably committed, as does a deadline of 2008 for national freight traffic, but this is surely sending out the wrong signals.
Wenn man sieht, dass die Anbindung des Ostgüterverkehrs auf der Schiene noch nicht einmal wirklich angesprochen ist, dann haben wir auch hier schon wieder eine Verspätung aufgerissen.	When you consider that the question of committing eastern freight traffic to the rail has not even been properly addressed then clearly this is yet another area which will set us back.
Es gibt auch andere bessere Signale, grünes Licht sozusagen.	There are other, better signals too, a green light as it were.
Man soll nicht übersehen, was an positiven Ergebnissen erreicht wird.	We must not overlook what has been achieved in the way of positive results.
So ist zum Beispiel mit der Schaffung von unabhängigen Regulierungsstellen zumindest freie Fahrt für mehr Wettbewerb signalisiert, und man kann hoffen, dass notwendige Reformen nicht auf dem Abstellgleis stecken bleiben.	Thus, for example, the creation of independent regulatory authorities does at least give the go-ahead for more competition, and we can only hope that the necessary reforms do not get stuck on the sidings.
Die Ausnahmebestimmungen für bestimmte Mitgliedstaaten sind nach längerem Hin und Her - und wenn man das kleine Luxemburg übersieht - nur mehr den wirklich peripheren Unionsstaaten eingeräumt, und das Projekt bessere Eisenbahn/Güterverkehr ist zumindest auf Schiene gesetzt.	The exemption provisions for certain Member States are, after a great deal of to-ing and fro-ing - and not including the small country of Luxembourg - only really for the benefit of the truly peripheral Member States, and at least the project for improving the railways and freight transport is up and running.
Interoperabilität steht als Nächstes auf der Tagesordnung, und für mehr Intermodalität stellen wir derzeit die Weichen.	Interoperability is the next item on the agenda, and we are currently setting the points for more intermodality.
Irgendwann einmal wird es auch freie Fahrt für Europas Eisenbahnbürger heißen und nicht nur freie Fahrt auf Europas Straßen.	At some stage it will be all systems go for Europe' s rail passengers, and not just on Europe' s roads.
Man darf die Hoffnung nicht aufgeben, und in diesem Sinn herzlichen Dank den beiden Berichterstattern und der Kommissarin, deren Zusammenwirken hier bereits angesprochen und zu Recht gelobt wurde.	We must not lose hope and with that in mind I would like to say a big thank you to both rapporteurs and to the Commissioner, whose combined efforts have already been mentioned today and for which they have rightly been commended.
