Frau Präsidentin, lieber Stavros Dimas! Herzlich willkommen in der Runde hier.	Madam President, allow me to extend a warm welcome to Stavros Dimas.
Wir freuen uns darauf, mit Ihnen in Bali über den Weg, den Europa in der Klimapolitik gehen will, diskutieren zu können.	We look forward to our discussions with you in Bali about the path that Europe intends to pursue in the field of climate policy.
Ich denke, dass es eine gemeinsame Herausforderung ist, Klimapolitik zu betreiben.	I see the pursuit of climate policy as a challenge for all of us.
Das ist nicht nur etwas für verträumte Umweltleute, das ist nicht allein etwas für liberale Kaufleute, sondern wir müssen alle gemeinsam diese Herausforderung annehmen, und der Klimaausschuss ist auf dem Wege, das zu üben.	It is not the preserve of misty-eyed environmentalists or of liberal merchants but a challenge to which we must all respond together, and the Temporary Committee on Climate Change is starting to do just that.
Das ist noch nicht bei allen angekommen, aber immerhin sind wir auf einem guten Wege.	Not everyone appreciates this yet, but we have nevertheless made a good start.
Bali ist ein Meilenstein, das ist keine Frage.	Bali is a milestone - no doubt about that.
Eine Lücke nach Bali - das würde heißen, eine Lücke nach Kyoto - wäre eine Katastrophe, nicht nur für die Umwelt, sondern auch für die Wirtschaftspolitik, denn ohne feste Daten kann sie nicht investieren.	A post-Bali gap, which would also be a post-Kyoto gap, would be a disaster, not only for the environment but also in terms of economic policy, because industry cannot invest without hard and fast data.
Es geht auch darum, wo wir im Moment stehen, und was wir tatsächlich in Bali anzubieten haben. Denn nur dann, wenn wir etwas anbieten können, können wir auch erwarten, dass andere Kontinente mit uns gehen, um mit uns gemeinsam das Problem zu lösen.	It is also a matter of where we stand at the present time and what we actually have to offer in Bali, for we must have something to offer, otherwise we cannot expect other continents to join us in a common effort to solve the problem.
Deswegen ist es richtig, dass wir hier engagiert Angebote machen: drei mal zwanzig ist eine ganze Menge, und wir werden noch froh sein, wenn wir diese Ziele erreichen.	This is why it is right and proper that we should be committed to making offers here. Three times twenty per cent amounts to a great deal, and we would be happy to hit these targets.
Ich sehe da durchaus noch große Hindernisse, aber wir werden dorthin kommen.	I still see major obstacles ahead, to be sure, but we shall make it.
Ich glaube aber auch, dass wir, gerade weil wir mit gutem Beispiel vorangehen müssen, auch erreichen werden, dass wir eine europäische Umweltaußenpolitik bekommen, die auch darauf Einfluss nimmt, warum wir eigentlich diese riesengroßen Brände in der ganzen Welt haben, die mehr CO2 erzeugen als alle europäischen Kraftwerke zusammen.	Besides, precisely because we need to set a good example, I do believe we shall arrive at a European environmental foreign policy that serves to influence the search for answers to questions such as why these huge conflagrations break out across the globe, producing more CO2 than all of Europe's power stations put together.
Ich glaube, da muss Europa eingreifen, da sind wir auf einem guten Weg, und dann werden die Amerikaner aus dem Inneren der USA - nicht so unbedingt durch ihre Regierung - auf einen positiven Handlungszwang kommen.	I believe Europe has to get involved here, and we are well on the way to doing so, and then Americans within the United States - not necessarily through their government - will be given a positive stimulus to move forward too.
Genau da werden wir hinkommen.	That is precisely where we are heading.
Ich sehe im Klimawandel ausschließlich eine riesengroße ökonomische Chance.	I regard climate change entirely as a golden economic opportunity.
Wenn wir sie nicht wahrnehmen, werden andere diese Chance wahrnehmen.	If we do not take it, others surely will.
