Frau Präsidentin! Ich möchte zwei Aspekte zum Thema Türkei anmerken.	Madam President, I would like to comment on two aspects of the Turkish issue.
In der Regel wird über die ethnischen Konflikte gesprochen - völlig zu Recht.	It is generally the ethnic conflicts that are discussed, and rightly so.
Da gibt es einiges aufzuarbeiten und einiges zu beklagen.	There is still work to be done in this area and some difficulties remain.
Was aber in der Regel übersehen wird, ist, dass es in der Türkei immer noch erhebliche Probleme mit Gewerkschaftsrechten und Arbeitnehmerrechten gibt.	However, what people usually overlook is the fact that there are still significant problems in Turkey with regard to trade union and employee rights.
Die türkische Regierung geht nach wie vor - unter Umständen sogar mit Polizeigewalt - gegen Gewerkschaften vor, die sich für ihre Mitglieder, für Arbeitnehmerinnen und Arbeitnehmer einsetzen.	The Turkish Government continues to oppose trade unions - in some circumstances even using the power of the police - which provide support for their members, in other words, for Turkish working people.
Das ist kürzlich wieder in dem Arbeitskampf der Tekel-Arbeiter geschehen.	This has happened recently in the dispute involving the Tekel workers.
Das ist die eine Anmerkung, die ich zu machen habe.	That is one of the comments that I would like to make.
Zu einer demokratischen Gesellschaft gehören also auch Arbeitnehmer- und Gewerkschaftsrechte, für die ist auch zu streiten.	A democratic society must protect the rights of employees and trade unions and it is important to fight for these rights.
Auch dafür steht die EU im Wort, vor allem wenn sie sich als soziale EU versteht.	The EU also supports these rights, in particular, in its role as a social European Union.
Der zweite Aspekt ist die Privatisierung.	The second factor is privatisation.
Die Türkei passt sich an die EU an, auch bei den Privatisierungen.	Turkey is adapting to the EU and this includes the area of privatisation.
Den Tekel-Arbeitern - im Augenblick sind es 12 000, die im Ausstand sind - droht der Verlust ihrer Arbeitsplätze, oder sie haben sie infolge von Privatisierungen mittlerweile verloren.	The Tekel employees, of whom 12 000 are currently on strike, are threatened with the loss of their jobs or have already lost them as a result of privatisation.
Es sind aber nicht nur die Tekel-Arbeiter in der Tabakindustrie, es sind auch rund 500 000 Menschen im Tabakanbau in der Südosttürkei, die in den letzten Jahren ihre Arbeitsplätze verloren haben, mit dem Ergebnis, dass die Türkei von einem der bedeutendsten Produzenten und Exporteuren von Tabak mittlerweile zu einem Importeur von Tabak geworden ist.	However, it is not only the Tekel employees who work in the tobacco industry. Around 500 000 people employed in growing tobacco in south-eastern Turkey have lost their jobs in recent years, with the result that, having been one of the major producers and exporters of tobacco, Turkey has now become an importer.
Vor einer Woche hatte ich die Möglichkeit, in Ankara zu sein und mit den Tekel-Arbeitern zu reden.	A week ago, I had the chance to go to Ankara and speak with the Tekel employees.
Wenn es so weitergeht, dass infolge von Privatisierungen in dem Maße Arbeitsplätze abgebaut und Industriezweige zerstört werden, sinkt einfach die Zustimmung der Menschen in der Türkei zu einem EU-Beitritt.	If the process of cutting jobs and destroying whole sectors of industry continues as a result of privatisation, the people of Turkey will lose their enthusiasm for accession to the EU.
Da stehen wir in der Pflicht, auch die soziale Dimension der EU nach vorne zu tragen.	Therefore, we must put the focus on the social aspect of the EU.
Das möchte ich hier nochmals anmerken.	I would like to emphasise that once again.
