Herr Präsident, Herr Kommissar! Ich habe Akin Birdal vor etwa zwei Wochen in der Türkei getroffen.	Mr President, Commissioner, I met Akin Birdal about two weeks ago in Turkey.
Ich habe gesehen, wie er noch unter den Verletzungen des Attentats leidet.	I saw that he is still suffering from the injuries he sustained in the assassination attempt.
Ich habe seine Rede, die er zur Menschenrechtskonferenz in Ankara gehalten hat, gehört und darauf geantwortet.	I listened to his speech to the human rights conference in Ankara, and responded to it.
Es war eine sehr moderate Rede.	It was a very moderate speech.
Ich würde der türkischen Regierung empfehlen, die jetzige Situation wirklich zu nutzen, um mit Menschen wie Akin Birdal, die eine gemäßigte, vernünftige Haltung an den Tag legen, zu reden und die innere Krise in der Türkei, insbesondere was die Kurdenfrage betrifft, zu lösen.	I would advise the Turkish Government really to make use of the present situation to talk to people like Akin Birdal, who display a balanced, reasonable attitude, and to solve the internal crisis in Turkey, in particular the Kurdish issue.
Ich glaube, es ist im Sinne von Akin Birdal, wenn ich jetzt auch einige grundsätzliche Bemerkungen zur aktuellen Krisensituation mache.	I believe that Akin Birdal would also wish me to make a few fundamental remarks on the present critical situation.
Es wurde heute morgen in diesem Haus von Pauline Green und anderen bereits dargestellt, daß wir die Haltung, die die Türkei in der Frage des Herrn Öcalan und dessen möglichen Asyls derzeit einnimmt, ablehnen.	It has already been stated this morning in the House, by Mrs Green and others, that we reject Turkey's current position on the case of Mr Ocalan and his possible asylum.
Gerade ich, der ich mich bemühe, ein vernünftiges Verhältnis zwischen der Europäischen Union und der Türkei herzustellen und aus diesem Grunde dreimal in diesem Jahr in der Türkei war und Gespräche geführt habe, muß die türkische Haltung zurückweisen.	I of all people, who make every effort to build up decent relations between the European Union and Turkey - and have been to Turkey three times this year and held talks for that very reason - have to dismiss the Turkish stance.
Ich möchte die türkische Regierung noch einmal auffordern, die Chance jetzt zu ergreifen, daß es dann, wenn es auch einen positiv beantworteten Asylantrag gibt, auch auf allen Seiten den Verzicht auf Gewalt geben sollte, auch auf der Seite der PKK und der kurdischen politischen Vertreter.	I should like to urge the Turkish Government once again to seize the opportunity now, so that even if the application for political asylum is accepted, neither side should resort to violence, and that also applies to the PKK and the Kurds' political representatives.
Es sollte Gespräche geben, die nicht mit der PKK geführt werden müssen, sondern für die sich durchaus auch Akin Birdal als ein Gesprächspartner anbietet, so daß es eine Lösung im Sinne der sprachlichen und kulturellen Autonomie innerhalb der einheitlichen Türkei geben kann.	There should be talks, which must not be held with the PKK, but with Akin Birdal, who is also quite prepared to take part in such talks, so that a solution can be reached providing linguistic and cultural autonomy within a unified Turkey.
Auch dafür kämpfen Akin Birdal und seine Organisation.	Akin Birdal and his organisation are fighting for this too.
Ich meine daher ganz im Interesse von Akin Birdal, daß die türkische Regierung die Chance wahrnehmen soll, aus dieser Krisensituation heraus das Beste zu machen und eine friedliche interne Lösung der Kurdenfrage anzustreben.	That is why I my belief is, in Akin Birdal's best interests, that the Turkish Government should take the opportunity to make the best of this crisis and work towards a peaceful internal solution to the Kurdish issue.
