– Vielen Dank Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen!	– Thank you, Mr President.
Vor ziemlich genau einem Jahr haben wir hier in diesem Kreis über SARS diskutiert.	Commissioner, ladies and gentlemen, it was almost a year ago exactly that this House discussed SARS.
Damals wie heute ist von vielen Kolleginnen und Kollegen gesagt worden, dass die Globalisierung und der europäische Binnenmarkt, die ja grundsätzlich positiv sind, nur dann gut funktionieren können, wenn wir auch Maßnahmen zum Schutz der menschlichen Gesundheit ergreifen.	Now, as then, many Members are saying that globalisation and the European internal market, which are essentially good things, can work well only if we also take action to protect people’s health.
Europa muss hier gemeinsam handeln, denn die Viren und die Bakterien machen nun mal nicht an der Grenze halt.	This is where Europe needs to take joint action, for viruses and bacteria do not, after all, stop at borders.
Ich möchte das Beispiel von Herrn Mulder aufgreifen.	Let me pick up Mr Mulder’s example.
Der Flughafen Düsseldorf liegt sehr, sehr nahe an der niederländischen Grenze. Deswegen fliegen auch viele Niederländer von Düsseldorf aus in den Urlaub, und viele Menschen aus Nordrhein-Westfalen aus der Nähe von Düsseldorf fliegen von Schiphol.	Düsseldorf’s airport is very, very close to the Dutch border, and so it is from Düsseldorf that many Dutch people fly when they go on holiday, and a lot of people from the part of North Rhine-Westphalia around Düsseldorf fly from Schiphol.
Man kann den Leuten nicht erklären, dass es sinnvoll ist, dass wir in Schiphol ganz andere Sicherheitsmaßnahmen haben als in Düsseldorf.	People will not understand why safety measures at Schiphol have to be quite different from those in Düsseldorf.
Die Viren halten sich jedenfalls nicht an die Grenzen, die nationalstaatlich unterschiedlich festgelegt werden. Deswegen glaube ich, dass wir hier mehr Maßnahmen auf europäischer Ebene brauchen.	In any case, viruses do not make a stop at the borders, which are themselves established in different ways by nation-states, and so I believe this is where we need more measures taken at European level.
Vor einem Jahr habe ich Herrn Byrne bei seinem Anliegen unterstützt, dass wir in die europäische Verfassung mehr Kompetenzen zur Bekämpfung solcher Bedrohungen einbringen müssen.	A year ago, I backed Commissioner Byrne when he was trying to get more competences to combat this sort of threat included in the European constitution.
Oft schießt Herr Byrne ja über das Ziel hinaus, und wenn das der Fall war, habe ich ihm das auch gesagt. Aber in diesem Fall hat er wirklich Recht, und wir sollten ihn unterstützen.	Admittedly, he does often overshoot the mark, and when he did, I told him so, but, in this case, he really is right, and we should be behind him.
Nun haben wir im Konvent nicht das erreicht, was wir eigentlich wollten, aber trotzdem gibt es einen Fortschritt, und das ist ein Grund mehr, für eine europäische Verfassung einzutreten, weil wir dann auch diese Gefahren besser bekämpfen können.	Although the Convention did not achieve what we actually wanted, progress has been made, and that is another reason to press for a European constitution, which will better enable us to combat these dangers.
Zum Schluss möchte ich das aufgreifen, was Frau Roth-Behrendt zur Forschung gesagt hat.	I would like to conclude by taking up Mrs Roth-Behrendt’s point about research.
Es ist richtig, dass wir mehr für die Forschung im medizinischen Bereich tun müssen, und wir dürfen dabei nicht nur an kurzfristig realisierbare Produkte denken.	We do indeed have to do more for medical research, and when we do, we must not think only in terms of products that are capable of being used in the short term.
Der Schutz der menschlichen Gesundheit ist auch ein Forschungsziel, für das es sich lohnt, einzutreten und Geld auszugeben, wenn es keine Firma gibt, die das kurzfristig machen will.	The protection of people’s health is a research objective too, one that it is worth pushing, one on which it is worth spending money if there are no firms willing to do it in the short term.
Denn die Gefahr kann plötzlich entstehen, und dann müssen wir vorbereitet sein, auch wenn die Industrie bis zu dem Zeitpunkt, zu dem die Gefahr entsteht, noch keine Anstrengungen unternommen hat.	Dangers can present themselves without warning, and so we have to be prepared, even if industry has made no effort by the time the danger arises.
