Herr Präsident! Der Bericht Bourlanges ist ein ausgezeichneter Bericht.	Mr President, the Bourlanges report is excellent, as was only to be expected.
Das war auch nicht anders zu erwarten. Jean-Louis Bourlanges ist seit vielen Jahren eine Speerspitze im Prozeß der europäischen Integration.	For many years Jean-Louis Bourlanges has spearheaded the process of European integration.
Obwohl - wenn wir ihn uns ansehen, ist vielleicht das Wort Speer" spitze" nicht unbedingt das richtige.	Looking at him, though, perhaps he is not quite as pointed as a spearhead.
Der Bericht Bourlanges ist aber auch ein wichtiger Bericht.	But the Bourlanges report is also an important one.
Er erinnert uns nämlich rechtzeitig daran, daß die Union permanent vor zwei Aufgaben steht: Erweiterung und Vertiefung.	For it reminds us in good time that the Union is constantly facing two tasks: enlargement and deepening.
In den letzten Monaten haben wir viel über das Thema Erweiterung gesprochen.	We have spoken a great deal about enlargement over the past months.
Wir haben dabei immer wieder auf Hausaufgaben der Kandidatenländer hingewiesen, zu Recht hingewiesen.	And we have repeatedly and rightly referred to the homework the applicant countries must do.
Ich erinnere etwa an die Diskussion in diesem Haus im Vorfeld des Wiener Gipfels.	Let me remind you, for instance, of the debate in this House prior to the Vienna summit.
Unsere Hausaufgaben hier im Hause und hier in der Union dürfen wir dabei aber nicht aus den Augen verlieren.	At the same time we must not forget to do our own homework here in this House and here in the Union.
Die Europäische Union muß handlungsfähig erhalten werden oder, genauer gesagt, sie muß ihre Handlungsfähigkeit verbessern.	The European Union must remain able to act, or to be more precise, become more able to act.
Hier hat Amsterdam einiges gebracht, aber die berühmte letzte Viertelstunde wurde sichtlich nicht genutzt.	Amsterdam has brought some progress in this area, but the opportunity for progress at the last minute was clearly not taken.
Offengeblieben sind vor allem die wichtigen Themen der Entscheidungsfindung im Rat.	In particular, the important questions of decision-making in the Council have remained open.
Mit diesen Themen befaßt sich der Bericht Bourlanges und versucht, hier konstruktive, zukunftsweisende Lösungen zu finden.	The Bourlanges report considers these questions and seeks constructive, forward-looking solutions to them.
Im großen und ganzen ist dies meines Erachtens ausgezeichnet geglückt, und das ist auch von vielen meiner Vorredner hervorgehoben und unterstrichen worden.	By and large, I believe it has done so with great success, as many of the previous speakers have pointed out and emphasised.
Ich glaube, daß wir in dem einen oder anderen Punkt der prinzipiell richtigen Forderung nach genereller Einführung der qualifizierten Mehrheitsabstimmungen im Rat doch noch ein Fragezeichen entgegensetzen müssen.	I believe there are still some question marks in regard to certain parts of the call - however right in principle - for the general introduction of majority voting in the Council.
Insbesondere was das Thema Eigenmittel und qualifizierte Mehrheit anbelangt, möchte auch ich Skepsis anmelden, was die Ziffern 28, 32 und 33 anbelangt.	I am particularly sceptical about paragraphs 28, 32 and 33 concerning own resources and qualified majority voting.
Einen letzten Punkt möchte ich noch zur Sprache bringen, der in einem Änderungsantrag unseres Kollegen Saint-Pierre zu Recht angesprochen wurde: Wir müssen uns auch mit der Methode der nächsten Vertragsreform auseinandersetzen, und hier ist die Gemeinschaftsmethode und nicht die Methode der Regierungskonferenz, wo nur das Veto regiert, die richtige.	Let me address a last point that was rightly raised in an amendment tabled by Mr Saint-Pierre. We must also consider the method of the next treaty reform, and here it is the Community method that is the right one, not the intergovernmental conference method, which is governed only by the power of veto.
