Herr Präsident, vielleicht brauche ich meine sieben Minuten Redezeit nicht.	Mr President, perhaps I will not need my whole seven minutes of speaking time.
Man kann es ja auch etwas kürzer machen.	After all, one can keep it a bit shorter.
Wir Verkehrspolitiker versuchen immer, präzise zu sein, ohne das groß ausufern zu lassen.	We transport politicians always try to be precise, without letting things get out of hand.
Als wir 1994 mit der Arbeit an den TEN begannen, war ja von Anfang an klar, daß die TEN eben kein einmaliger, eruptiver Akt sein werden, ein Beschluß, und dann haben wir sie einfach so, sondern es war klar, es wird einen Prozeß geben, der über viele Jahre andauern wird und auch ständig überprüft werden muß.	When we began working on the TENs in 1994, it was clear from the outset that the TENs will not be some unique event that suddenly erupts like a volcano, something that is decided just like that; what was clear is that there will be a process that will continue for a number of years and will also have to be reviewed constantly.
Deshalb lautet der Titel der Entscheidung von Rat und Parlament aus 1996 ja sinnvollerweise "Leitlinien für den Aufbau eines transeuropäischen Verkehrsnetzes" .	That is why the 1996 decision taken by the Council and Parliament is sensibly entitled 'Guidelines for the development of the trans-European transport network'.
Im Vermittlungsverfahren konnten sich Rat und Parlament nicht auf die - wie wir damals als Parlament gesagt haben - notwendige Aufnahme von Häfen in die TEN einigen.	During the conciliation procedure the Council and Parliament could not agree on what Parliament called for at the time, namely the need to include ports in the TENs.
Ich denke, dabei ist ja auch einem relativ schlichten Gemüt und Verstand einleuchtend, daß ein Verkehrsnetz ohne Knotenpunkte letztlich ja nur einen Torso darstellt, aber es hat ja auch niemand behauptet, daß sich im Rat nur schlichte Gemüter versammeln.	I think that anyone with any brains and common sense will realise that a transport network without interconnection points is an incomplete system, but then nobody has ever pretended that every member of the Council shines with common sense.
Das würde ich hier gar nicht wagen.	I would never go so far as to say that.
Im Vermittlungsverfahren gab dann die Kommission - Sie, Herr Kommissar - eine Erklärung ab, daß alsbald ein Vorschlag für die Seehäfen auf dem Tisch liegen würde.	During the conciliation procedure the Commission - indeed you, Commissioner - declared that a proposal on seaports would be on the table immediately.
Alsbald hat ein bißchen länger gedauert, als wir das normalerweise definieren.	Immediately took rather longer than we would normally understand by the word.
Aber im Ergebnis hat es zum, wie ich meine, sehr sinnvollen Vorschlag geführt, daß Seehäfen, Binnenhäfen und intermodale Terminals in einem Vorschlag zusammengefaßt werden.	But in the end we did get what I would regard as a very sensible proposal, namely to bring seaports, inland ports and intermodal terminals together in one proposal.
Sinnvoll deshalb, weil alle drei ja schließlich Verkehrsknotenpunkte darstellen, und als solche sind sie halt Voraussetzung für den Verbund der verschiedenen Verkehrsträger untereinander.	It makes sense because all three are after all transport connection points and as such they are indeed the condition for linking the various transport modes together.
Dazu kommt, daß sich Seehäfen und Knotenpunkte im Landesinneren wechselseitig beeinflussen und für die Entwicklung des intermodalen Verkehrs wichtig und bedeutend sind.	Moreover, seaports and inland connection points interact with one another and are a significant factor in the development of intermodal transport.
Entscheidend für die Entwicklung der Seehäfen ist der Markt.	The market is crucial to the development of seaports.
Das wird auch von uns nicht angetastet und sollte daher bei europäischen Kriterien für Seehäfen keine Wettbewerbsverzerrungen nach sich ziehen, wenn wir Kriterien dazu aufstellen.	We do not deny that either and so when we lay down European criteria for seaports this must not lead to any distortions of competition.
Nur beim Volumenkriterium erscheinen mir 1, 5 Millionen Tonnen Güterumschlag pro Jahr für ein europäisches Netz weiß Gott angemessener als nur eine Million, wie sie die Kommission vorschlägt.	But regarding the volume criterion, I believe that a traffic volume of 1.5 million tonnes of freight a year is quite certainly more appropriate for a European network than the 1 million proposed by the Commission.
Völlig unverständlich wird die Kommission aber bei Spezifikationen für Seehäfen.	What is totally incomprehensible, however, is the Commission's specifications for seaports.
Da wird sehr lange richtigerweise von Hafeninfrastruktur gesprochen, zum Schluß aber im Vorschlag der Kommission gesagt, Infrastrukturvorhaben sind nicht förderungsfähig.	Quite rightly, there is a great deal of detail about port infrastructure, but in the end the Commission proposal says that infrastructure projects are not eligible for aid!
Das halten wir, das halte ich für völlig falsch.	We, and indeed I, regard that as totally wrong.
Wir bleiben bei unserer alten Linie. Wir wollen Hafeninfrastruktur grundsätzlich als förderungsfähig anerkennen, nicht aber eben die Suprastruktur, was eine andere Sache ist.	We stick to our original approach: we want to recognise port infrastructure as eligible for aid on principle, but certainly not superstructure, which is a different matter.
Damit auch klar ist, was mit Infrastruktur gemeint ist, schlägt mein Bericht eine Grunddefinition von Infrastruktur vor.	To make it quite clear what infrastructure means, my report proposes a basic definition of the term.
Schließlich haben wir alle irgendwelche Förderphantasien im Kopf, was denn alles gefördert werden könnte.	After all, we have all sorts of fancies in our mind about all the things that could be supported.
Damit sich die Förderphantasien aber in Grenzen halten, soll auch eine Grunddefinition von Infrastruktur in den künftigen Netzen enthalten sein.	But if these are to be kept in check, we must also have a basic definition of what infrastructure means in the future networks.
Bei den Binnenhäfen stellt sich die Lage etwas anders dar.	The situation regarding inland ports is somewhat different.
Natürlich sollen Binnenhäfen, wie die Kommission es vorschlägt, mit Umschlagsanlagen für den intermodalen Verkehr ausgestattet sein; das wäre ein Kriterium.	Of course, as the Commission proposes, they should be equipped with transhipment installations for intermodal transport; that would be one criterion.
